"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","lon","lat"
"4407  OLD YORK RD","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-07-16T22:06:45.000","2015-07-17T22:06:45.000","WILSON PARK","15-00562670","MD","NEW","2015-07-17T15:17:10.000","21212",NA,NA,NA,-76.6077467,39.3437492
"515 S HANOVER ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-03-26T10:20:25.000","2015-03-27T10:20:25.000","OTTERBEIN","15-00238320","MD","CLOSED","2015-05-29T19:56:45.000","21201","Abate","Duplicate Complaint","2015-05-29T19:56:00.000",-76.6156759,39.28257
"620 S STREEPER ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-15T03:57:55.000","2015-06-16T03:57:55.000","CANTON","15-00462303","MD","DUPCLOSD","2015-06-15T03:57:55.000","21224",NA,NA,NA,-76.576617,39.2847859
"3222  ELMORA AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-20T00:08:23.000","2015-06-21T00:08:23.000","FOUR BY FOUR","15-00481115","MD","DUPCLOSD","2015-06-20T00:08:23.000","21213",NA,NA,NA,-76.577747,39.316044
"198 W CONWAY ST","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-04-15T01:35:40.000","2015-04-16T01:35:40.000","INNER HARBOR","15-00293039","MD","CLOSED","2015-05-29T19:53:27.000","21201","Abate","Duplicate Complaint","2015-05-29T19:53:00.000",-76.6176424,39.2841722
"4705  CROSSWOOD AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-01T00:21:47.000","2015-06-02T00:21:47.000","MORAVIA-WALTHER","15-00424809","MD","DUPCLOSD","2015-06-01T00:21:47.000","21214",NA,NA,NA,-76.562763,39.340131
"3700  SPRINGWOOD AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-05-24T01:03:22.000","2015-05-25T01:03:22.000","GLENHAM-BELFORD","15-00404316","MD","DUPCLOSD","2015-05-24T01:03:22.000","21206",NA,NA,NA,-76.5440969,39.350305
"6413  CEDONIA AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-07-06T18:13:16.000","2015-07-07T18:13:16.000","ROSEMONT EAST","15-00528988","MD","NEW","2015-07-07T18:45:48.000","21206",NA,NA,NA,-76.533374,39.353253
"2901  EASTERN AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-06-07T18:48:26.000","2015-06-08T18:48:26.000","CANTON","15-00443816","MD","DUPCLOSD","2015-06-15T10:54:52.000","21224",NA,NA,NA,-76.5756647,39.2860943
"2613  ROSELAWN AVE","BALTIMORE","ECCSLOW","ECC-Street Light Out","2015-07-13T19:38:59.000","2015-07-14T19:38:59.000","HARFORD-ECHODALE/PERRING PARKWAY","15-00550715","MD","OPEN","2015-07-13T19:40:08.000","21214",NA,NA,NA,-76.5630291,39.3580793
