"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"Cityworks SR Comments","512 E 21ST ST","BALTIMORE","TRMSLPMS","TRM-StLight Pole Missing","2015-04-06T21:27:19.000","2015-04-13T21:27:19.000","EAST BALTIMORE MIDWAY","UPDATED","15-00269040","MD","HOLDLOCK","2015-04-07T11:08:01.000","2015-04-06T22:27:01.000","21218",NA,NA
"Cityworks SR Comments","1200  DIVISION ST","BALTIMORE CITY","TRMSLPMS","TRM-StLight Pole Missing","2014-10-23T12:35:04.000","2014-10-30T12:35:04.000","UPTON","UPDATED","14-00797946","MD","CLOSED","2014-10-24T18:14:51.000","2014-10-24T18:29:43.000","21217",NA,NA
"Cityworks SR Comments","3400 W CATON AVE","BALTIMORE CITY","TRMSLPMS","TRM-StLight Pole Missing","2014-10-15T21:48:26.000","2014-10-22T21:48:26.000","SAINT JOSEPHS","UPDATED","14-00778225","MD","CLOSED","2014-10-18T11:16:42.000","2014-10-18T11:21:12.000","21229",NA,NA
"Cityworks SR Comments","300  CATHEDRAL ST","BALTIMORE CITY","TRMSLPMS","TRM-StLight Pole Missing","2014-08-27T12:04:55.000","2014-09-03T12:04:55.000","DOWNTOWN","UPDATED","14-00645313","MD","CLOSED","2014-08-29T13:01:11.000","2014-08-29T13:42:36.000","21201",NA,NA
"Cityworks SR Comments","400  YALE AVE","BALTIMORE","TRMSLPMS","TRM-StLight Pole Missing","2015-06-16T10:55:18.000","2015-06-23T10:55:18.000","IRVINGTON","UPDATED","15-00466570","MD","CLOSED","2015-06-19T19:24:12.000","2015-06-19T19:27:28.000","21229",NA,NA
"Cityworks SR Comments","922 N BROADWAY","BALTIMORE","TRMSLPMS","TRM-StLight Pole Missing","2015-06-11T17:44:58.000","2015-06-18T17:44:58.000","GAY STREET","UPDATED","15-00455745","MD","CLOSED","2015-06-12T18:37:37.000","2015-06-12T18:46:22.000","21205",NA,NA
"Cityworks SR Comments","1410  BUSH ST","BALTIMORE","TRMSLPMS","TRM-StLight Pole Missing","2015-07-17T20:00:57.000","2015-07-24T20:00:57.000","CARROLL - CAMDEN INDUSTRIAL AREA","UPDATED","15-00565846","MD","CLOSED","2015-07-30T10:53:12.000","2015-07-30T11:01:17.000","21230",NA,NA
"Cityworks SR Comments","551  LIGHT ST","BALTIMORE","TRMSLPMS","TRM-StLight Pole Missing","2015-05-26T00:47:42.000","2015-06-02T00:47:42.000","INNER HARBOR","UPDATED","15-00406551","MD","CLOSED","2015-05-28T18:41:01.000","2015-05-28T18:44:22.000","21202",NA,NA
