"UniqueID","StreetAddress","City","State","ZIP","i"
10001,"161 E RANDALL ST","BALTIMORE","Maryland","21230",5
10002,"1800 INVERNESS AVE","BALTIMORE","Maryland","21230",5
10003,"2203 BRADDISH AVE","BALTIMORE","Maryland","21216",5
10004,"4200 BOSTON ST","BALTIMORE","Maryland","21224",5
10005,"6300 WEIDNER AVE","BALTIMORE","Maryland","21212",5
10006,"WALKER AVE & YORK RD","BALTIMORE","Maryland","21212",5
10007,"3917 FALLS RD","BALTIMORE","Maryland","21211",5
10008,"5500 GREENSPRING AVE","BALTIMORE","Maryland","21209",5
10009,"4512 YORK RD","BALTIMORE","Maryland",NA,5
10010,"2123 SIDNEY AVE","BALTIMORE","Maryland","21230",5
10011,"3200 PRESSTMAN ST","BALTIMORE","Maryland","21216",5
10012,"2214 E BALTIMORE ST","BALTIMORE","Maryland","21231",5
10013,"PADDINGTON RD & SPRINGLAKE WAY, BALTIMOR",NA,"Maryland",NA,5
10014,"2900 E NORTHERN PKWY","BALTIMORE","Maryland","21214",5
10015,"4607 CHATFORD AVE","BALTIMORE","Maryland","21206",5
10016,"1542 NORTHGATE RD","BALTIMORE","Maryland","21218",5
10017,"1321 LEMMON ST","BALTIMORE","Maryland","21223",5
10018,"501 E 33RD ST","BALTIMORE","Maryland","21218",5
10019,"3600 W GARRISON AVE","BALTIMORE","Maryland","21215",5
10020,"S CHESTER ST & FLEET ST, BALTIMORE, MD,",NA,"Maryland",NA,5
10021,"500 N KRESSON ST","BALTIMORE","Maryland","21205",5
10022,"2530 E FAYETTE ST","BALTIMORE","Maryland","21224",5
10023,"2400 EASTERN AVE","BALTIMORE","Maryland","21224",5
10024,"DUDLEY AVE & LYNDALE AVE","BALTIMORE","Maryland","21213",5
10025,"400 WELLESLEY ST","BALTIMORE","Maryland","21229",5
10026,"1500 RACE ST","BALTIMORE","Maryland","21230",5
10027,"5633 BELLE AVE","BALTIMORE","Maryland","21207",5
10028,"2507 HAMILTON AVE","BALTIMORE","Maryland","21214",5
10029,"3112 ROSEKEMP AVE","BALTIMORE","Maryland","21214",5
10030,"2718 E MADISON ST","BALTIMORE","Maryland","21205",5
10031,"700 NORTH PT RD","BALTIMORE","Maryland","21224",5
10032,"4451 5TH ST","BALTIMORE","Maryland","21225",5
10033,"1 N CAREY ST","BALTIMORE","Maryland","21223",5
10034,"2200 BRYANT AVE","BALTIMORE","Maryland","21217",5
10035,"2300 S CLINTON ST","BALTIMORE","Maryland","21224",5
10036,"W FOREST PARK AVE & PURNELL DR, BALTIMOR",NA,"Maryland",NA,5
10037,"1650 GLENEAGLE RD","BALTIMORE","Maryland","21239",5
10038,"400 WELLESLEY ST","BALTIMORE","Maryland","21229",5
10039,"1516 N ELLWOOD AVE","BALTIMORE","Maryland","21213",5
