"activity","address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","updateddate","zip","outcome","lon","lat"
"Cityworks SR Comments","1415 S HANOVER ST","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-06-26T18:13:39.000","2015-07-17T18:13:39.000","SBIC","15-00502433","MD","O-WIP","2015-07-02T17:41:54.000","2015-06-26T18:32:18.000","21230","UPDATED",-76.6149379,39.2732279
"Cityworks SR Comments","N CHESTER ST & ASHLAND AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-03-17T19:18:47.000","2015-04-07T19:18:47.000","MIDDLE EAST","15-00213301","MD","O-WIP","2015-03-26T19:16:17.000","2015-03-17T20:04:21.000","21205","UPDATED",-81.1878355,35.2797776
"Dispatch Work Crew","DORCHESTER RD & AYRDALE AVE","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-10-18T19:30:48.000","2014-11-08T19:30:48.000","CALLAWAY-GARRISON","14-00786379","MD","CLOSED","2014-12-05T11:56:19.000","2014-10-21T11:32:00.000","21215",NA,-2.6738565,50.7284235
"Cityworks SR Comments","4622  ASBURY AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-02-13T15:14:38.000","2015-03-06T15:14:38.000","FRANKFORD","15-00105026","MD","CLOSED","2015-04-20T11:41:46.000","2015-02-18T21:08:23.000","21206","UPDATED",-76.5596844,39.3318067
"Cityworks SR Comments","BELAIR RD & SINCLAIR LN","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-05-22T01:51:53.000","2015-06-12T01:51:53.000","CLIFTON PARK","15-00400346","MD","CLOSED","2015-07-01T12:59:32.000","2015-05-23T10:40:17.000","21213","UPDATED",-76.4688967,39.4084423
"Dispatch Work Crew","1447  ROLAND HEIGHTS AVE","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-11-04T18:12:58.000","2014-11-25T18:12:58.000","MEDFIELD","14-00831035","MD","CLOSED","2014-12-24T11:53:49.000","2014-12-24T11:53:00.000","21211",NA,-76.643158,39.3393749
"Dispatch Work Crew","2301  GWYNNS FALLS PKWY","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-06-22T11:03:27.000","2015-07-13T11:03:27.000","MONDAWMIN","15-00484018","MD","O-WIP","2015-06-29T13:02:51.000","2015-06-24T11:42:00.000","21217",NA,-76.6547952,39.3148021
"Dispatch Work Crew","W LAFAYETTE AVE & POPLAR GROVE ST","BALTIMORE CITY","BGESLPIN","BGE-StLight Pole Installation","2014-10-14T17:25:42.000","2014-11-04T17:25:42.000","FRANKLINTOWN ROAD","14-00774207","MD","CLOSED","2014-12-02T12:06:12.000","2014-10-17T11:11:00.000","21216",NA,-76.6429403,39.2989043
"Dispatch Work Crew","1808  PENNSYLVANIA AVE","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-07-13T15:36:58.000","2015-08-03T15:36:58.000","UPTON","15-00549578","MD","O-WIP","2015-07-22T19:03:18.000","2015-07-15T11:34:00.000","21217",NA,-76.6358822,39.3045285
NA,"5600  PULASKI HWY","BALTIMORE","BGESLPIN","BGE-StLight Pole Installation","2015-05-01T18:48:20.000","2015-05-22T18:48:20.000","ARMISTEAD GARDENS","15-00341814","MD","CLOSED","2015-06-08T17:31:58.000",NA,"21205",NA,-76.5506193,39.3011132
