"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","lon","lat"
"1 N CURLEY ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-11T13:26:11.000","2015-07-31T13:26:11.000","BALTIMORE-LINWOOD","15-00454640","MD","OPEN","2015-06-11T13:26:11.000","21224",NA,NA,NA,NA,NA
"N WOODYEAR ST & W NORTH AVE, BALTIMORE,",NA,"SIGNFADE","TRT-Sign Faded","2015-07-09T12:49:59.000","2015-08-28T12:49:59.000","PENN NORTH","15-00538482","MD","O-PENDNG","2015-07-30T16:00:48.000",NA,NA,NA,NA,NA,NA
"ROLAND AVE &W 36TH ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-03-24T22:00:14.000","2015-05-13T22:00:14.000","HAMPDEN","15-00234249","MD","CLOSED","2015-05-12T09:57:55.000","21211","Generate Work Order","Sign erected","2015-05-12T09:57:00.000",NA,NA
"6437  EASTERN AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-29T21:35:24.000","2015-07-18T21:35:24.000","PULASKI INDUSTRIAL AREA","15-00421934","MD","OPEN","2015-05-29T21:35:24.000","21224",NA,NA,NA,NA,NA
"1201 E COLD SPRING LN","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-07-30T14:56:18.000","2015-09-18T14:56:18.000","NEW NORTHWOOD","15-00603598","MD","OPEN","2015-07-31T18:30:21.000","21239",NA,NA,NA,NA,NA
"2500 W LOMBARD ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-04-16T18:52:04.000","2015-06-05T18:52:04.000","SHIPLEY HILL","15-00299623","MD","O-PENDNG","2015-05-29T18:12:24.000","21223",NA,NA,NA,NA,NA
"937 S CHARLES ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-20T14:35:02.000","2015-07-09T14:35:02.000","FEDERAL HILL","15-00395448","MD","CLOSED","2015-06-12T13:17:23.000","21230",NA,NA,NA,NA,NA
"532 N POTOMAC ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-22T11:37:31.000","2015-08-11T11:37:31.000","ELLWOOD PARK/MONUMENT","15-00484137","MD","CLOSED","2015-08-04T11:39:07.000","21205","Generate Work Order","Sign erected","2015-08-04T11:38:00.000",NA,NA
"1900  ETTING ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-29T12:58:40.000","2015-07-18T12:58:40.000","DRUID HEIGHTS","15-00419655","MD","O-PENDNG","2015-07-17T16:08:05.000","21217",NA,NA,NA,NA,NA
"200 E RANDALL ST","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-27T12:39:03.000","2015-07-16T12:39:03.000","RIVERSIDE","15-00411469","MD","CLOSED","2015-06-29T10:27:59.000","21230","Dispatch Investigator","Sign erected","2015-06-29T10:27:00.000",NA,NA
"2922  ARUNAH AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-06-20T11:50:39.000","2015-08-09T11:50:39.000","FRANKLINTOWN ROAD","15-00481423","MD","OPEN","2015-06-20T11:50:39.000","21216",NA,NA,NA,NA,NA
"3800  ELMORA AVE","BALTIMORE","SIGNFADE","TRT-Sign Faded","2015-05-24T20:23:25.000","2015-07-13T20:23:25.000","BELAIR-EDISON","15-00404742","MD","O-PENDNG","2015-06-22T15:28:20.000","21213",NA,NA,NA,NA,NA
