"UniqueID","StreetAddress","City","State","ZIP","i"
2501,"2115 FLEET ST","BALTIMORE","Maryland","21231",2
2502,"1906 MOUNT ROYAL TER","BALTIMORE","Maryland","21217",2
2503,"700 S CATON AVE","BALTIMORE","Maryland","21229",2
2504,"1015 E PRATT ST","BALTIMORE","Maryland","21223",2
2505,"N HOWARD ST & PARK AVE","BALTIMORE","Maryland","21201",2
2506,"W MOUNT ROYAL AVE & DOLPHIN ST","BALTIMORE","Maryland","21201",2
2507,"1900 EAGLE DR","BALTIMORE","Maryland","21207",2
2508,"5513 PILGRIM RD","BALTIMORE","Maryland","21214",2
2509,"5800 THE ALAMEDA","BALTIMORE","Maryland","21239",2
2510,"3308 NERAK RD","BALTIMORE","Maryland","21208",2
2511,"3317 SHELBURNE RD","BALTIMORE","Maryland","21208",2
2512,"W MADISON ST & CATHEDRAL ST","BALTIMORE","Maryland","21201",2
2513,"640 WASHINGTON BLVD","BALTIMORE","Maryland","21230",2
2514,"4001 HARFORD RD","BALTIMORE","Maryland","21214",2
2515,"3901 HILLEN RD","BALTIMORE","Maryland","21218",2
2516,"2100 LAKE AVE","BALTIMORE","Maryland","21218",2
2517,"1210 E 33RD ST","BALTIMORE","Maryland","21218",2
2518,"623 HOMESTEAD ST","BALTIMORE","Maryland","21218",2
2519,"415 E 32ND ST","BALTIMORE","Maryland","21218",2
2520,"3104 N CALVERT ST","BALTIMORE","Maryland","21218",2
2521,"6509 HILLTOP AVE","BALTIMORE","Maryland","21206",2
2522,"ROLAND AVE &W COLD SPRING LN","BALTIMORE","Maryland","21210",2
2523,"4100 ROBERTON AVE","BALTIMORE","Maryland","21206",2
2524,"2605 WHITNEY AVE","BALTIMORE","Maryland","21215",2
2525,"KIRK AVE &E 25TH ST","BALTIMORE","Maryland","21218",2
2526,"SINCLAIR LN &N ROSE ST","BALTIMORE","Maryland","21213",2
2527,"555 W 29TH ST","BALTIMORE","Maryland","21211",2
2528,"1 E UNIVERSITY PKWY","BALTIMORE","Maryland","21218",2
2529,"400 W UNIVERSITY PKWY","BALTIMORE","Maryland","21210",2
2530,"100 W UNIVERSITY PKWY","BALTIMORE","Maryland","21210",2
2531,"AISQUITH ST & DARLEY AVE","BALTIMORE","Maryland","21218",2
2532,"700 NORTH POINT RD","BALTIMORE","Maryland","21224",2
2533,"23 N FULTON AVE","BALTIMORE","Maryland","21223",2
2534,"6635 BELAIR RD","BALTIMORE","Maryland","21206",2
2535,"W FRANKLIN ST & PENNSYLVANIA AVE","BALTIMORE","Maryland","21201",2
2536,"3900 LYNDALE AVE","BALTIMORE","Maryland","21213",2
2537,"2800 ELLICOTT DWY","BALTIMORE","Maryland","21216",2
2538,"1400 N ELLAMONT ST","BALTIMORE","Maryland",NA,2
2539,"1400 N ROSEDALE ST","BALTIMORE","Maryland","21216",2
2540,"N WARWICK AVE &W BALTIMORE ST","BALTIMORE","Maryland","21223",2
2541,"6824 HARFORD RD","BALTIMORE","Maryland","21234",2
2542,"LIBERTY HEIGHTS AVE & AUCHENTOROLY TER","BALTIMORE","Maryland","21215",2
2543,"2300 S HANOVER ST","BALTIMORE","Maryland","21230",2
2544,"5820 WELBOURNE RD","BALTIMORE","Maryland","21239",2
2545,"CRAIG AVE & BEAUMONT AVE","BALTIMORE","Maryland","21212",2
2546,"LOCH RAVEN BLVD & THE ALAMEDA","BALTIMORE","Maryland","21218",2
2547,"THE ALAMEDA &E 35TH ST","BALTIMORE","Maryland","21218",2
2548,"W BALTIMORE ST &S PAYSON ST","BALTIMORE","Maryland","21223",2
2549,"3500 EDMONDSON AVE","BALTIMORE","Maryland","21229",2
2550,"3900 W STRATHMORE AVE","BALTIMORE","Maryland","21215",2
2551,"913 SAINT PAUL ST","BALTIMORE","Maryland","21202",2
2552,"500 E 39TH ST","BALTIMORE","Maryland","21218",2
2553,"3600 S HANOVER ST","BALTIMORE","Maryland","21225",2
2554,"3916 S HANOVER ST","BALTIMORE","Maryland","21225",2
2555,"6605 EASTERN PKWY","BALTIMORE","Maryland","21214",2
2556,"6615 EASTERN PKWY","BALTIMORE","Maryland","21214",2
2557,"E NORTHERN PKWY & ALTA AVE","BALTIMORE","Maryland","21206",2
2558,"4400 MOUNTVIEW RD","BALTIMORE","Maryland","21229",2
2559,"500 JASPER ST","BALTIMORE","Maryland","21201",2
2560,"2600 FREDERICK AVE","BALTIMORE","Maryland","21223",2
2561,"2800 FREDERICK AVE","BALTIMORE","Maryland","21223",2
2562,"3012 ROYSTON AVE","BALTIMORE","Maryland","21214",2
2563,"1500 W PRATT ST","BALTIMORE","Maryland","21223",2
2564,"1300 W PRATT ST","BALTIMORE","Maryland","21223",2
2565,"4900 GREENHILL AVE","BALTIMORE","Maryland","21206",2
2566,"EDMONDSON AVE & ALLENDALE ST","BALTIMORE","Maryland","21229",2
2567,"1003 W CHASE ST","BALTIMORE","Maryland","21201",2
2568,"4601 N FRANKLINTOWN RD","BALTIMORE","Maryland","21229",2
2569,"231 E BALTIMORE ST","BALTIMORE","Maryland","21202",2
2570,"3765 HARFORD RD","BALTIMORE","Maryland","21218",2
2571,"930 PONCA ST","BALTIMORE","Maryland","21224",2
2572,"4710 O'DONNELL ST","BALTIMORE","Maryland","21224",2
2573,"400 S BOULDIN ST","BALTIMORE","Maryland","21224",2
2574,"FOREST GLEN RD & NORFOLK AVE","BALTIMORE","Maryland","21207",2
