"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","lon","lat"
"SHERWOOD AVE & HILLEN RD","BALTIMORE CITY","WWSREPPE","WW-Surface Repair/Stripings Pending","2014-10-03T12:36:27.000","2015-01-01T12:36:27.000","LOCH RAVEN","14-00746357","MD","CLOSED","2014-10-08T14:40:08.000","21239",NA,NA
"4428  UNDERWOOD RD","BALTIMORE CITY","WWSREPPE","WW-Surface Repair/Stripings Pending","2014-09-30T17:37:05.000","2014-12-29T17:37:05.000","GUILFORD","14-00737174","MD","CLOSED","2014-10-08T14:31:06.000","21218",NA,NA
"5223  SPRINGLAKE WAY","BALTIMORE CITY","WWSREPPE","WW-Surface Repair/Stripings Pending","2014-09-19T16:27:22.000","2014-12-18T16:27:22.000","HOMELAND","14-00709452","MD","CLOSED","2014-10-08T14:33:08.000","21212",NA,NA
"5223  SPRINGLAKE WAY","BALTIMORE CITY","WWSREPPE","WW-Surface Repair/Stripings Pending","2014-09-19T15:59:11.000","2014-12-18T15:59:11.000","HOMELAND","14-00709340","MD","CLOSED","2014-10-08T14:35:28.000","21212",NA,NA
"3000  ARUNAH AVE","BALTIMORE CITY","WWSREPPE","WW-Surface Repair/Stripings Pending","2014-08-05T23:25:17.000","2014-11-03T23:25:17.000","FRANKLINTOWN ROAD","14-00584204","MD","CLOSED","2014-10-08T14:41:15.000","21216",NA,NA
