"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","lon","lat"
"1371  PENTWOOD RD","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-11-06T15:49:39.000","2014-11-07T15:49:39.000","NEW NORTHWOOD","14-00838282","MD","CLOSED","2014-11-12T12:26:58.000","21239","Dispatch Work Crew","Removed broken branch","2014-11-12T12:26:00.000",-76.5927522,39.3484216
"3615  MARY AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-11-06T10:52:36.000","2014-11-07T10:52:36.000","GLENHAM-BELFORD","14-00836403","MD","CLOSED","2014-11-20T11:29:03.000","21214","Dispatch Work Crew","Removed broken branch","2014-11-20T11:28:00.000",-76.5484029,39.349676
"808 E LAKE AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-11-05T19:07:53.000","2014-11-06T19:07:53.000","LAKE WALKER","14-00835642","MD","CLOSED","2014-11-07T18:00:27.000","21212","Dispatch Work Crew","Removed broken branch","2014-11-07T18:00:00.000",-76.604575,39.367126
"E BELVEDERE AVE & NORTHWOOD DR","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-11-04T09:31:05.000","2014-11-05T09:31:05.000","GLEN OAKS","14-00828988","MD","CLOSED","2014-11-07T18:27:05.000","21212","Dispatch Work Crew","Removed broken branch","2014-11-07T18:26:00.000",-76.5959071,39.3604586
"911  GORSUCH AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-11-03T23:13:03.000","2014-11-04T23:13:03.000","BETTER WAVERLY","14-00828830","MD","CLOSED","2014-11-07T17:58:22.000","21218","Dispatch Work Crew","Removed broken branch","2014-11-07T17:57:00.000",-76.60413,39.326043
"45 E HENRIETTA ST","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-11-03T14:00:29.000","2014-11-04T14:00:29.000","FEDERAL HILL","14-00826618","MD","CLOSED","2014-11-07T18:01:58.000","21230","Dispatch Work Crew","Removed broken branch","2014-11-07T18:01:00.000",-76.6130988,39.2788555
"1729  WADSWORTH WAY","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-11-03T12:00:32.000","2014-11-04T12:00:32.000","LOCH RAVEN","14-00825496","MD","CLOSED","2014-11-15T12:55:35.000","21239","Dispatch Work Crew","Removed broken branch","2014-11-15T12:55:00.000",-76.5797977,39.3600986
"3319  SEQUOIA AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-11-01T17:06:02.000","2014-11-02T17:06:02.000","ASHBURTON","14-00822817","MD","CLOSED","2014-11-12T13:07:53.000","21215","Dispatch Work Crew","Removed broken branch","2014-11-12T13:07:00.000",-76.671083,39.3291899
"1436 E FORT AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-11-01T14:27:21.000","2014-11-02T14:27:21.000","LOCUST POINT","14-00822236","MD","CLOSED","2014-11-06T15:35:30.000","21230","Dispatch Work Crew","Removed broken branch","2014-11-06T15:34:00.000",-76.593905,39.269265
"122  DENISON ST","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-30T13:12:35.000","2014-10-31T13:12:35.000","ALLENDALE","14-00815675","MD","CLOSED","2014-11-07T16:04:00.000","21229","Dispatch Work Crew","Removed broken branch","2014-11-07T16:03:00.000",-76.6765004,39.2892272
"1201  COCHRAN AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-30T12:45:12.000","2014-10-31T12:45:12.000","WOODBOURNE HEIGHTS","14-00815549","MD","CLOSED","2014-11-07T16:16:55.000","21239","Dispatch Work Crew","Removed broken branch","2014-11-07T16:16:00.000",-76.595275,39.356219
"N CHARLES ST & STRATFORD RD","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-29T00:07:17.000","2014-10-30T00:07:17.000","GUILFORD","14-00811730","MD","CLOSED","2014-11-15T12:47:23.000","21218","Dispatch Work Crew","No Cause For Action","2014-11-15T12:47:00.000",-76.624156,39.3561528
"3913  HILTON RD","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-27T17:00:18.000","2014-10-28T17:00:18.000","EAST ARLINGTON","14-00807437","MD","CLOSED","2014-10-29T16:37:40.000","21215","Dispatch Work Crew","No Cause For Action","2014-10-29T16:37:00.000",-76.668165,39.3301
"2422 E MADISON ST","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-24T17:58:04.000","2014-10-25T17:58:04.000","MILTON-MONTFORD","14-00802360","MD","CLOSED","2014-11-12T12:54:06.000","21205","Dispatch Work Crew","Removed broken branch","2014-11-12T12:53:00.000",-76.5826846,39.3000522
"5800  WELBOURNE RD","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-23T20:08:11.000","2014-10-24T20:08:11.000","LOCH RAVEN","14-00800069","MD","CLOSED","2014-10-28T13:42:51.000","21239","Dispatch Inspector","No Cause For Action","2014-10-28T13:41:00.000",-76.5837381,39.3592428
"3642  BEECH AVE","BALTIMORE CITY","FOBRBRIT","Forestry Broken Branch in Tree","2014-10-23T13:41:53.000","2014-10-24T13:41:53.000","WYMAN PARK","14-00798370","MD","CLOSED","2014-11-12T13:10:56.000","21211","Dispatch Work Crew","Removed broken branch","2014-11-12T13:10:00.000",-76.627143,39.332139
