"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"Cityworks SR Comments","GRANBY ST &S CENTRAL AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-05-07T13:12:59.000","2015-05-10T13:12:59.000","JONESTOWN","UPDATED","15-00356920","MD","CLOSED","2015-05-09T12:06:20.000","2015-05-09T12:18:23.000","21202",NA,NA
"Cityworks SR Comments","3815  HAYWARD AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-05-06T12:40:41.000","2015-05-09T12:40:41.000","ARLINGTON","UPDATED","15-00353321","MD","CLOSED","2015-05-09T12:04:55.000","2015-05-09T12:08:15.000","21215",NA,NA
"Cityworks SR Comments","1418  MADISON AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-05-06T09:55:51.000","2015-05-09T09:55:51.000","MADISON PARK","UPDATED","15-00352686","MD","CLOSED","2015-05-06T20:05:25.000","2015-05-06T20:16:28.000","21217",NA,NA
"Cityworks SR Comments","E EAGER ST & STIRLING ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-05-05T17:08:48.000","2015-05-08T17:08:48.000","OLDTOWN","UPDATED","15-00350534","MD","CLOSED","2015-05-06T20:06:22.000","2015-05-06T20:16:28.000","21202",NA,NA
"Cityworks SR Comments","HARFORD RD & ARGONNE DR","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-05-05T13:38:56.000","2015-05-08T13:38:56.000","ARCADIA","UPDATED","15-00349636","MD","CLOSED","2015-05-06T20:05:55.000","2015-05-06T20:16:28.000","21214",NA,NA
"WO - Repair Damaged Pole","500 N ROSE ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-05-04T21:48:12.000","2015-05-07T21:48:12.000","MCELDERRY PARK","CLOSED","15-00348414","MD","CLOSED","2015-05-07T20:57:09.000","2015-05-07T12:35:32.000","21205",NA,NA
"Cityworks SR Comments","812 S BROADWAY","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-05-03T17:12:02.000","2015-05-06T17:12:02.000","FELLS POINT","UPDATED","15-00344506","MD","CLOSED","2015-05-05T18:57:04.000","2015-05-05T19:05:16.000","21231",NA,NA
"Cityworks SR Comments","COOLIDGE AVE & HAVERHILL RD","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-05-02T12:38:16.000","2015-05-05T12:38:16.000","VIOLETVILLE","UPDATED","15-00342862","MD","CLOSED","2015-05-06T13:54:21.000","2015-05-06T14:05:42.000","21229",NA,NA
"Cityworks SR Comments","3000  ERDMAN AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-30T14:53:27.000","2015-05-03T14:53:27.000","BELAIR-EDISON","UPDATED","15-00338088","MD","CLOSED","2015-05-01T16:19:09.000","2015-05-01T16:36:11.000","21213",NA,NA
"Cityworks SR Comments","3600  GARRISON BLVD","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-28T20:40:00.000","2015-05-01T20:40:00.000","DORCHESTER","UPDATED","15-00332639","MD","CLOSED","2015-04-30T11:51:20.000","2015-04-30T11:57:07.000","21215",NA,NA
"WO - Repair Streetlight Out","600 N GRANTLEY ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-24T11:46:03.000","2015-04-27T11:46:03.000","EDMONDSON VILLAGE","CLOSED","15-00321268","MD","CLOSED","2015-04-24T18:33:04.000","2015-04-27T21:50:07.000","21229",NA,NA
"Cityworks SR Comments","HOMELAND AVE &N CHARLES ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-24T11:01:42.000","2015-04-27T11:01:42.000","BLYTHEWOOD","UPDATED","15-00321103","MD","CLOSED","2015-04-28T20:18:36.000","2015-04-28T20:25:21.000","21212",NA,NA
"Cityworks SR Comments","E 25TH ST & LOCH RAVEN RD","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-23T23:53:09.000","2015-04-26T23:53:09.000","BETTER WAVERLY","UPDATED","15-00320839","MD","CLOSED","2015-04-24T14:04:57.000","2015-04-24T14:11:57.000","21218",NA,NA
"Cityworks SR Comments","SWAN DR & LAKE DR","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-22T20:06:49.000","2015-04-25T20:06:49.000","DRUID HILL PARK","UPDATED","15-00316622","MD","CLOSED","2015-04-24T11:29:17.000","2015-04-24T11:31:56.000","21217",NA,NA
"Cityworks SR Comments","1900 W BALTIMORE ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-22T18:05:52.000","2015-04-25T18:05:52.000","PENROSE/FAYETTE STREET OUTREACH","UPDATED","15-00316176","MD","CLOSED","2015-04-23T12:09:38.000","2015-04-23T12:21:30.000","21223",NA,NA
"Cityworks SR Comments","4155  CREST HEIGHTS RD","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-22T16:50:37.000","2015-04-25T16:50:37.000","REISTERSTOWN STATION","UPDATED","15-00315640","MD","CLOSED","2015-04-23T18:54:15.000","2015-04-23T19:01:11.000","21215",NA,NA
"Cityworks SR Comments","W NORTH AVE &N HOWARD ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-22T16:31:25.000","2015-04-25T16:31:25.000","CHARLES NORTH","UPDATED","15-00315523","MD","CLOSED","2015-04-24T18:34:39.000","2015-04-24T18:42:57.000","21217",NA,NA
"Cityworks SR Comments","1640 N SMALLWOOD ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-21T18:42:56.000","2015-04-24T18:42:56.000","COPPIN HEIGHTS/ASH-CO-EAST","UPDATED","15-00312215","MD","CLOSED","2015-04-22T18:11:10.000","2015-04-22T18:20:22.000","21216",NA,NA
