"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"Cityworks SR Comments","PERRING PKWY & ECHODALE AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-21T18:29:02.000","2015-04-24T18:29:02.000","MORGAN STATE UNIVERSITY","UPDATED","15-00312154","MD","CLOSED","2015-04-23T12:08:57.000","2015-04-23T12:21:30.000","21239",NA,NA
"Cityworks SR Comments","N WARWICK AVE &W FAYETTE ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-20T08:50:04.000","2015-04-23T08:50:04.000","PENROSE/FAYETTE STREET OUTREACH","UPDATED","15-00306547","MD","CLOSED","2015-04-20T18:50:09.000","2015-04-20T18:58:53.000","21223",NA,NA
"Cityworks SR Comments","3801  GARRISON BLVD","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-19T16:42:48.000","2015-04-22T16:42:48.000","CALLAWAY-GARRISON","UPDATED","15-00306062","MD","CLOSED","2015-04-21T12:26:32.000","2015-04-21T12:29:40.000","21215",NA,NA
"Cityworks SR Comments","617 S SHARP ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-18T18:29:55.000","2015-04-21T18:29:55.000","OTTERBEIN","UPDATED","15-00305262","MD","CLOSED","2015-04-20T18:49:08.000","2015-04-20T18:58:53.000","21230",NA,NA
"Cityworks SR Comments","4622  ASBURY AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-17T09:54:39.000","2015-04-20T09:54:39.000","FRANKFORD","UPDATED","15-00300572","MD","CLOSED","2015-04-20T15:15:43.000","2015-04-20T15:18:33.000","21206",NA,NA
"Cityworks SR Comments","2001 E FAIRMOUNT AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-13T20:01:55.000","2015-04-16T20:01:55.000","BUTCHER'S HILL","UPDATED","15-00288839","MD","CLOSED","2015-04-14T19:29:11.000","2015-04-16T19:35:25.000","21231",NA,NA
"Cityworks SR Comments","4701 N CHARLES ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-12T12:44:59.000","2015-04-15T12:44:59.000","LOYOLA/NOTRE DAME","UPDATED","15-00284773","MD","CLOSED","2015-04-14T11:05:00.000","2015-04-14T11:13:19.000","21210",NA,NA
"Cityworks SR Comments","2000  ALICEANNA ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-09T17:26:22.000","2015-04-12T17:26:22.000","FELLS POINT","UPDATED","15-00278436","MD","CLOSED","2015-04-10T18:35:07.000","2015-04-10T12:40:17.000","21231",NA,NA
"Cityworks SR Comments","N BROADWAY &E BIDDLE ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-07T22:28:26.000","2015-04-10T22:28:26.000","OLIVER","UPDATED","15-00272786","MD","LOCKED","2015-04-07T22:34:19.000","2015-04-08T00:24:44.000","21213",NA,NA
"Cityworks SR Comments","1300 S POTOMAC ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-05T21:25:17.000","2015-04-08T21:25:17.000","CANTON","UPDATED","15-00265463","MD","HOLDLOCK","2015-04-06T10:48:24.000","2015-04-06T01:00:53.000","21224",NA,NA
"Cityworks SR Comments","1018  RIVERSIDE AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-04T16:37:36.000","2015-04-07T16:37:36.000","FEDERAL HILL","UPDATED","15-00264496","MD","HOLDLOCK","2015-04-06T10:48:26.000","2015-04-04T19:03:43.000","21230",NA,NA
"Cityworks SR Comments","301  SAINT PAUL PL","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-02T14:02:06.000","2015-04-05T14:02:06.000","DOWNTOWN","UPDATED","15-00259349","MD","HOLDLOCK","2015-04-02T18:19:05.000","2015-04-02T16:04:56.000","21202",NA,NA
"Cityworks SR Comments","200 E BALTIMORE ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-04-01T00:30:06.000","2015-04-04T00:30:06.000","DOWNTOWN","UPDATED","15-00254585","MD","CLOSED","2015-04-01T14:34:19.000","2015-04-01T18:46:24.000","21202",NA,NA
"Cityworks SR Comments","1120  KEVIN RD","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-31T12:17:15.000","2015-04-03T12:17:15.000","ROGNEL HEIGHTS","UPDATED","15-00251846","MD","CLOSED","2015-04-01T13:37:36.000","2015-04-01T14:20:55.000","21229",NA,NA
"Cityworks SR Comments","AVONDALE AVE & MAPLE AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-30T13:02:22.000","2015-04-02T13:02:22.000","PIMLICO GOOD NEIGHBORS","UPDATED","15-00248572","MD","CLOSED","2015-03-31T12:12:01.000","2015-03-31T12:15:03.000","21215",NA,NA
"Cityworks SR Comments","POTEE ST & I 895 S","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-28T11:55:50.000","2015-03-31T11:55:50.000","BROOKLYN","UPDATED","15-00245706","MD","CLOSED","2015-03-30T18:19:02.000","2015-03-30T19:17:56.000","21225",NA,NA
"Cityworks SR Comments","4592  MAPLE WOOD DR","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-26T17:44:58.000","2015-03-29T17:44:58.000","UPLANDS","UPDATED","15-00240538","MD","CLOSED","2015-03-30T20:19:31.000","2015-03-30T23:37:35.000","21229",NA,NA
"Cityworks SR Comments","E FRANKLIN ST & HARGROVE ALY","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-26T16:33:20.000","2015-03-29T16:33:20.000","MOUNT VERNON","UPDATED","15-00240214","MD","CLOSED","2015-03-27T17:52:52.000","2015-03-27T20:27:15.000","21202",NA,NA
"Cityworks SR Comments","4601  ROLAND AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-23T17:17:41.000","2015-03-26T17:17:41.000","ROLAND PARK","UPDATED","15-00229336","MD","CLOSED","2015-03-25T11:49:19.000","2015-03-25T13:43:34.000","21210",NA,NA
"Cityworks SR Comments","200 W PRATT ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-23T15:06:20.000","2015-03-26T15:06:20.000","INNER HARBOR","UPDATED","15-00228615","MD","CLOSED","2015-03-25T11:59:42.000","2015-03-25T13:43:34.000","21201",NA,NA
"Cityworks SR Comments","1901  NORTHBOURNE RD","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-23T11:14:51.000","2015-03-26T11:14:51.000","PERRING LOCH","UPDATED","15-00227493","MD","CLOSED","2015-03-24T15:21:38.000","2015-03-24T16:48:44.000","21239",NA,NA
"Cityworks SR Comments","1 N BENTALOU ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-19T17:21:41.000","2015-03-22T17:21:41.000","PENROSE/FAYETTE STREET OUTREACH","UPDATED","15-00219995","MD","CLOSED","2015-05-09T12:08:46.000","2015-05-09T12:18:23.000","21223",NA,NA
"Cityworks SR Comments","606  CUMBERLAND ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-18T21:41:13.000","2015-03-21T21:41:13.000","PENN NORTH","UPDATED","15-00217299","MD","CLOSED","2015-03-26T16:43:04.000","2015-03-26T19:17:26.000","21217",NA,NA
"Cityworks SR Comments","3135 W NORTH AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-18T19:59:32.000","2015-03-21T19:59:32.000","NORTHWEST COMMUNITY ACTION","UPDATED","15-00217018","MD","CLOSED","2015-03-26T16:54:11.000","2015-03-26T19:17:26.000","21216",NA,NA
"Cityworks SR Comments","4600  BRIARCLIFT RD","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-17T23:07:14.000","2015-03-20T23:07:14.000","HUNTING RIDGE","UPDATED","15-00214038","MD","CLOSED","2015-03-18T19:48:02.000","2015-03-18T20:24:16.000","21229",NA,NA
"Cityworks SR Comments","1035  COOKS LN","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-17T16:14:23.000","2015-03-20T16:14:23.000","WEST HILLS","UPDATED","15-00212164","MD","CLOSED","2015-03-18T19:38:41.000","2015-03-18T20:24:16.000","21229",NA,NA
"Cityworks SR Comments","1876  MANSION HOUSE DR","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-16T18:25:51.000","2015-03-19T18:25:51.000","DRUID HILL PARK","UPDATED","15-00207925","MD","CLOSED","2015-03-25T18:27:45.000","2015-03-25T22:15:16.000","21205",NA,NA
"WO - Install New Pole","3900 W FRANKLIN ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-15T17:54:32.000","2015-03-18T17:54:32.000","ALLENDALE","CLOSED","15-00204341","MD","CLOSED","2015-03-16T19:27:50.000","2015-03-19T18:25:17.000","21229",NA,NA
"Cityworks SR Comments","S MARTIN LUTHER KING JR BLVD & WASHINGTO","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-15T16:16:36.000","2015-03-18T16:16:36.000","WASHINGTON VILLAGE","UPDATED","15-00204156","MD","CLOSED","2015-03-16T19:37:35.000","2015-03-16T19:57:13.000","21201",NA,NA
"Cityworks SR Comments","N CHARLES ST & HOMELAND AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-15T13:19:47.000","2015-03-18T13:19:47.000","BLYTHEWOOD","UPDATED","15-00203892","MD","CLOSED","2015-03-16T20:02:33.000","2015-03-16T23:59:48.000","21210",NA,NA
"Cityworks SR Comments","1353  SHERWOOD AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-13T14:41:18.000","2015-03-16T14:41:18.000","RAMBLEWOOD","UPDATED","15-00199922","MD","CLOSED","2015-03-16T12:59:09.000","2015-03-16T15:42:02.000","21239",NA,NA
"Cityworks SR Comments","S FRANKLINTOWN RD & MCHENRY ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-12T16:50:40.000","2015-03-15T16:50:40.000","SHIPLEY HILL","UPDATED","15-00195899","MD","CLOSED","2015-03-16T12:20:40.000","2015-03-16T15:42:02.000","21223",NA,NA
"Cityworks SR Comments","3810  RIDGEWOOD AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-11T21:20:20.000","2015-03-14T21:20:20.000","DOLFIELD","UPDATED","15-00192790","MD","CLOSED","2015-03-16T11:47:12.000","2015-03-16T15:42:02.000","21215",NA,NA
"Cityworks SR Comments","1014  PATAPSCO ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-11T19:30:55.000","2015-03-14T19:30:55.000","FEDERAL HILL","UPDATED","15-00192261","MD","CLOSED","2015-03-12T19:34:46.000","2015-03-12T21:39:13.000","21230",NA,NA
"Cityworks SR Comments","2701  INGLEWOOD AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-11T16:29:46.000","2015-03-14T16:29:46.000","NORTH HARFORD ROAD","UPDATED","15-00191335","MD","CLOSED","2015-03-12T16:24:30.000","2015-03-12T17:39:51.000","21234",NA,NA
"Cityworks SR Comments","8 W MOUNT VERNON PL","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-10T14:42:53.000","2015-03-13T14:42:53.000","MOUNT VERNON","UPDATED","15-00186296","MD","CLOSED","2015-03-11T19:20:24.000","2015-03-11T22:26:30.000","21201",NA,NA
"Cityworks SR Comments","2807  ROCKROSE AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-09T18:59:48.000","2015-03-12T18:59:48.000","PARK CIRCLE","UPDATED","15-00183630","MD","CLOSED","2015-03-10T19:00:02.000","2015-03-10T19:25:27.000","21215",NA,NA
"WO - Install New Pole","420 N STREEPER ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-09T12:53:57.000","2015-03-12T12:53:57.000","MCELDERRY PARK","CLOSED","15-00181575","MD","CLOSED","2015-03-18T12:32:22.000","2015-03-25T16:43:46.000","21224",NA,NA
"Cityworks SR Comments","N PINE ST &W FAYETTE ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-03-08T01:23:40.000","2015-03-11T01:23:40.000","UNIVERSITY OF MARYLAND","UPDATED","15-00178523","MD","CLOSED","2015-03-10T16:38:40.000","2015-03-10T19:25:27.000","21201",NA,NA
"Cityworks SR Comments","1710  THAMES ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-25T17:00:48.000","2015-02-28T17:00:48.000","FELLS POINT","UPDATED","15-00146757","MD","HOLDLOCK","2015-02-25T19:33:50.000","2015-02-25T20:52:25.000","21231",NA,NA
"Cityworks SR Comments","WHITELOCK ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-25T13:19:15.000","2015-02-28T13:19:15.000","PENN NORTH","UPDATED","15-00145593","MD","HOLDLOCK","2015-02-25T19:33:51.000","2015-02-25T14:45:44.000","21217",NA,NA
"Cityworks SR Comments","3915  ANNELLEN RD","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-24T19:21:08.000","2015-02-27T19:21:08.000","EAST ARLINGTON","UPDATED","15-00143373","MD","CLOSED","2015-02-25T19:31:17.000","2015-02-25T20:52:25.000","21215",NA,NA
"Cityworks SR Comments","4248  LABYRINTH RD","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-23T16:26:48.000","2015-02-26T16:26:48.000","REISTERSTOWN STATION","UPDATED","15-00137953","MD","CLOSED","2015-02-25T18:17:37.000","2015-02-25T20:52:25.000","21215",NA,NA
"Cityworks SR Comments","607 N CURLEY ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-22T18:02:42.000","2015-02-25T18:02:42.000","ELLWOOD PARK/MONUMENT","UPDATED","15-00133952","MD","CLOSED","2015-02-24T19:57:36.000","2015-02-24T21:08:33.000","21205",NA,NA
"Cityworks SR Comments","300  SAINT PAUL PL","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-19T19:36:47.000","2015-02-22T19:36:47.000","DOWNTOWN","UPDATED","15-00124159","MD","CLOSED","2015-02-25T18:24:15.000","2015-02-25T20:52:25.000","21202",NA,NA
"Cityworks SR Comments","ELIZABETH AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-19T11:44:16.000","2015-02-22T11:44:16.000","LAKELAND","UPDATED","15-00121477","MD","CLOSED","2015-02-20T11:51:39.000","2015-02-20T12:54:16.000","21230",NA,NA
"Cityworks SR Comments","600  PITCHER ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-19T09:49:59.000","2015-02-22T09:49:59.000","UPTON","UPDATED","15-00120994","MD","CLOSED","2015-02-20T11:53:33.000","2015-02-20T12:54:16.000","21217",NA,NA
"Cityworks SR Comments","1815  DUNDALK AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-17T03:34:54.000","2015-02-20T03:34:54.000","GRACELAND PARK","UPDATED","15-00112598","MD","CLOSED","2015-02-18T20:52:17.000","2015-02-18T21:08:23.000","21222",NA,NA
"Cityworks SR Comments","269 S DALLAS CT","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-16T23:28:24.000","2015-02-19T23:28:24.000","PERKINS HOMES","UPDATED","15-00112439","MD","CLOSED","2015-02-18T20:45:35.000","2015-02-18T21:08:23.000","21223",NA,NA
"Cityworks SR Comments","1400  LOCHNER RD","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-16T18:19:46.000","2015-02-19T18:19:46.000","WOODBOURNE HEIGHTS","UPDATED","15-00111672","MD","CLOSED","2015-02-18T20:37:24.000","2015-02-18T21:08:23.000","21239",NA,NA
"Cityworks SR Comments","3533  BELAIR RD","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-15T16:27:20.000","2015-02-18T16:27:20.000","BELAIR-EDISON","UPDATED","15-00108464","MD","CLOSED","2015-02-18T20:46:26.000","2015-02-18T21:08:23.000","21213",NA,NA
"Cityworks SR Comments","S MARTIN LUTHER KING JR BLVD & WASHINGTO","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-15T16:12:20.000","2015-02-18T16:12:20.000","WASHINGTON VILLAGE","UPDATED","15-00108423","MD","CLOSED","2015-02-18T21:00:23.000","2015-02-18T21:08:23.000","21201",NA,NA
"Cityworks SR Comments","1225  WASHINGTON BLVD","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-15T11:55:53.000","2015-02-18T11:55:53.000","WASHINGTON VILLAGE","UPDATED","15-00107732","MD","CLOSED","2015-02-20T11:49:59.000","2015-02-20T12:54:16.000","21230",NA,NA
"Cityworks SR Comments","1300  RUSSELL ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-15T07:28:24.000","2015-02-18T07:28:24.000","CARROLL - CAMDEN INDUSTRIAL AREA","UPDATED","15-00107465","MD","CLOSED","2015-02-20T13:05:08.000","2015-02-20T15:42:33.000","21230",NA,NA
"Cityworks SR Comments","E PRATT ST &S CALVERT ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-15T07:00:02.000","2015-02-18T07:00:02.000","INNER HARBOR","UPDATED","15-00107458","MD","CLOSED","2015-02-18T20:53:55.000","2015-02-18T21:08:23.000","21202",NA,NA
"Cityworks SR Comments","200 W BALTIMORE ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-14T19:23:33.000","2015-02-17T19:23:33.000","DOWNTOWN","UPDATED","15-00107022","MD","CLOSED","2015-02-18T20:57:10.000","2015-02-18T21:08:23.000","21201",NA,NA
"Cityworks SR Comments","3701  GIBBONS AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-14T17:27:32.000","2015-02-17T17:27:32.000","WALTHERSON","UPDATED","15-00106885","MD","CLOSED","2015-02-20T11:46:40.000","2015-02-20T12:54:16.000","21206",NA,NA
"Cityworks SR Comments","200 W BALTIMORE ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-13T14:32:01.000","2015-02-16T14:32:01.000","DOWNTOWN","UPDATED","15-00104802","MD","CLOSED","2015-02-18T20:56:16.000","2015-02-18T21:08:23.000","21201",NA,NA
"Cityworks SR Comments","600 W BALTIMORE ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-13T14:19:00.000","2015-02-16T14:19:00.000","UNIVERSITY OF MARYLAND","UPDATED","15-00104740","MD","CLOSED","2015-02-25T18:22:18.000","2015-02-25T20:52:25.000","21201",NA,NA
"Cityworks SR Comments","HARFORD RD & CHESTERFIELD AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-12T20:21:50.000","2015-02-15T20:21:50.000","MAYFIELD","UPDATED","15-00103145","MD","CLOSED","2015-02-13T17:56:46.000","2015-02-13T19:02:47.000","21218",NA,NA
"Cityworks SR Comments","5711  RANNY RD","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-12T18:25:24.000","2015-02-15T18:25:24.000","MOUNT WASHINGTON","UPDATED","15-00102723","MD","CLOSED","2015-02-13T18:08:37.000","2015-02-13T19:02:47.000","21209",NA,NA
"Cityworks SR Comments","349 N CALVERT ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-12T16:08:35.000","2015-02-15T16:08:35.000","DOWNTOWN","UPDATED","15-00102139","MD","CLOSED","2015-02-13T17:56:16.000","2015-02-13T19:02:47.000","21202",NA,NA
"Cityworks SR Comments","ERDMAN AVE","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-10T14:42:44.000","2015-02-13T14:42:44.000","BELAIR-EDISON","UPDATED","15-00094892","MD","CLOSED","2015-02-11T16:20:42.000","2015-02-11T17:00:37.000","21213",NA,NA
"Cityworks SR Comments","S CLINTON ST & FLEET ST","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-10T12:46:25.000","2015-02-13T12:46:25.000","CANTON","UPDATED","15-00094222","MD","CLOSED","2015-02-11T13:36:02.000","2015-02-11T14:36:11.000","21224",NA,NA
"Cityworks SR Comments","LAKEVIEW AVE & DRUID PARK LAKE DR","BALTIMORE","STREETL2","TRM-StLight Damaged/Knocked Down/Rusted","2015-02-10T09:12:36.000","2015-02-13T09:12:36.000","RESERVOIR HILL","UPDATED","15-00093818","MD","CLOSED","2015-02-11T13:38:27.000","2015-02-11T14:36:11.000","21217",NA,NA
