"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"Cityworks SR Comments","1000  MARLAU DR","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-29T22:00:56.000","2015-04-03T22:00:56.000","CHINQUAPIN PARK-BELVEDERE","UPDATED","15-00247510","MD","CLOSED","2015-04-07T18:34:25.000","2015-04-07T20:02:32.000","21212",NA,NA
NA,"1023 W FAYETTE ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-24T17:18:37.000","2015-03-29T17:18:37.000","POPPLETON",NA,"15-00233028","MD","DUPCLOSD","2015-03-24T17:18:37.000",NA,"21223",NA,NA
"WO - Repair Hydrant","1033 W FAYETTE ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-24T17:13:25.000","2015-03-29T17:13:25.000","POPPLETON","CLOSED","15-00233001","MD","CLOSED","2015-03-26T13:43:04.000","2015-03-25T13:37:17.000","21223",NA,NA
"Cityworks SR Comments","AMOS AVE & OAKLEAF AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-23T13:34:37.000","2015-03-28T13:34:37.000","REISTERSTOWN STATION","UPDATED","15-00228172","MD","CLOSED","2015-04-22T17:54:19.000","2015-03-27T20:27:15.000","21215",NA,NA
"Cityworks SR Comments","E 28TH ST & GUILFORD AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-22T15:04:20.000","2015-03-27T15:04:20.000","CHARLES VILLAGE","UPDATED","15-00226693","MD","CLOSED","2015-04-07T16:14:50.000","2015-04-07T20:02:32.000","21218",NA,NA
"Cityworks SR Comments","2500  LOCH RAVEN RD","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-19T11:19:58.000","2015-03-24T11:19:58.000","BETTER WAVERLY","UPDATED","15-00217765","MD","CLOSED","2015-03-25T16:55:00.000","2015-03-25T17:56:38.000","21218",NA,NA
"Cityworks SR Comments","HARWOOD AVE & CHINQUAPIN PKWY","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-17T14:01:03.000","2015-03-22T14:01:03.000","WOODBOURNE HEIGHTS","UPDATED","15-00211137","MD","CLOSED","2015-04-07T17:50:01.000","2015-04-07T20:02:32.000","21239",NA,NA
"WO - Repair Hydrant","2300 W FAYETTE ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-17T13:51:55.000","2015-03-22T13:51:55.000","PENROSE/FAYETTE STREET OUTREACH","CLOSED","15-00211045","MD","CLOSED","2015-03-23T16:15:55.000","2015-03-22T16:10:57.000","21223",NA,NA
"WO - Repair Hydrant","3101 E BALTIMORE ST","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-16T22:18:23.000","2015-03-21T22:18:23.000","BALTIMORE-LINWOOD","CLOSED","15-00209137","MD","CLOSED","2015-03-24T18:03:24.000","2015-03-23T18:00:13.000","21224",NA,NA
"Cityworks SR Comments","244 S PATTERSON PARK AVE","BALTIMORE","WWHYDRAN","WW Hydrant Leaking","2015-03-16T18:44:22.000","2015-03-21T18:44:22.000","UPPER FELLS POINT","UPDATED","15-00208124","MD","CLOSED","2015-04-09T18:39:55.000","2015-04-09T18:51:05.000","21231",NA,NA
