"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","lon","lat"
"ERDMAN AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-31T13:58:51.000","2014-11-14T13:58:51.000","BELAIR-EDISON","14-00819554","MD","NEW","2014-10-31T13:58:51.000","21213",-76.5622974,39.3091272
"LIGHT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-31T13:54:34.000","2014-11-14T13:54:34.000","DOWNTOWN","14-00819528","MD","NEW","2014-10-31T13:54:34.000","21202",-76.6125962,39.2785869
"1600  HOMESTEAD ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-31T13:50:54.000","2014-11-14T13:50:54.000","COLDSTREAM HOMESTEAD MONTEBELLO","14-00819510","MD","NEW","2014-10-31T13:50:54.000","21218",-76.5959242,39.3213528
"2947  WASHINGTON BLVD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-31T13:46:16.000","2014-11-14T13:46:16.000","MORRELL PARK","14-00819478","MD","NEW","2014-10-31T13:46:16.000","21230",-76.658193,39.259759
"938 E PATAPSCO AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-29T14:08:24.000","2014-11-12T14:08:24.000","FAIRFIELD AREA","14-00813048","MD","NEW","2014-10-29T14:08:24.000","21225",-76.595845,39.23462
"REISTERSTOWN RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-28T15:55:26.000","2014-11-11T15:55:26.000","WOODMERE","14-00810305","MD","NEW","2014-10-28T15:55:26.000","21215",-76.6932415,39.3497817
"700 E MONUMENT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-28T15:50:59.000","2014-11-11T15:50:59.000","OLDTOWN","14-00810271","MD","NEW","2014-10-28T15:50:59.000","21202",-76.605974,39.298511
"E SARATOGA ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-28T15:41:54.000","2014-11-11T15:41:54.000","DOWNTOWN","14-00810212","MD","NEW","2014-10-28T15:41:54.000","21202",-76.6119879,39.2924025
"E COLD SPRING LN","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-28T15:34:02.000","2014-11-11T15:34:02.000","LOYOLA/NOTRE DAME","14-00810178","MD","NEW","2014-10-28T15:34:02.000","21212",-76.5958598,39.3449962
"700 N HAVEN ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-20T14:23:23.000","2014-11-03T14:23:23.000","ORANGEVILLE","14-00788800","MD","NEW","2014-10-20T14:23:23.000","21205",-76.5632702,39.2995787
"2300  BOSTON ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-23T16:00:56.000","2014-11-06T16:00:56.000","CANTON","14-00799012","MD","NEW","2014-10-23T16:00:56.000","21224",-76.5843119,39.2832836
"6605  HARFORD RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-23T15:57:24.000","2014-11-06T15:57:24.000","WESTFIELD","14-00798989","MD","NEW","2014-10-23T15:57:24.000","21214",-76.5520551,39.3626851
"3600  SOUTHERN AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-23T15:49:25.000","2014-11-06T15:49:25.000","MORAVIA-WALTHER","14-00798951","MD","NEW","2014-10-23T15:49:25.000","21214",-76.56129,39.340838
"W SARATOGA ST &N FULTON AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-21T12:22:46.000","2014-11-04T12:22:46.000","FRANKLIN SQUARE","14-00791410","MD","NEW","2014-10-21T12:22:46.000","21223",-76.6339841,39.2924735
"3600  HILLEN RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-20T14:18:11.000","2014-11-03T14:18:11.000","EDNOR GARDENS-LAKESIDE","14-00788763","MD","NEW","2014-10-20T14:18:11.000","21218",-76.588591,39.3359533
"5200  YORK RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-20T11:00:33.000","2014-11-03T11:00:33.000","WINSTON-GOVANS","14-00787776","MD","NEW","2014-10-20T11:00:33.000","21212",-76.6105171,39.352236
"1800 W SARATOGA ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-17T13:18:28.000","2014-10-31T13:18:28.000","FRANKLIN SQUARE","14-00782714","MD","NEW","2014-10-17T13:18:28.000","21223",-76.6455502,39.2921989
"HAMILTON AVE & HARFORD RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-15T20:35:06.000","2014-10-29T20:35:06.000","GLENHAM-BELFORD","14-00778118","MD","NEW","2014-10-15T20:35:06.000","21214",-84.5480957,39.2335285
"CLIFTON AVE","BALTIMORE COUNTY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-15T12:28:23.000","2014-10-29T12:28:23.000","FRANKLINTOWN","14-00776002","MD","NEW","2014-10-15T12:28:23.000",NA,-76.677051,39.3108865
"5200  YORK RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-14T15:36:12.000","2014-10-28T15:36:12.000","WINSTON-GOVANS","14-00773719","MD","NEW","2014-10-14T15:36:12.000","21212",-76.6105171,39.352236
"ERDMAN AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-14T15:32:11.000","2014-10-28T15:32:11.000","BELAIR-EDISON","14-00773696","MD","NEW","2014-10-14T15:32:11.000","21213",-76.5622974,39.3091272
"301  STOCKHOLM ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-14T11:57:11.000","2014-10-28T11:57:11.000","CARROLL - CAMDEN INDUSTRIAL AREA","14-00772426","MD","OPEN","2014-10-14T11:59:53.000","21230",-76.622777,39.274318
"3732  EASTERN AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-10T13:33:23.000","2014-10-24T13:33:23.000","BREWERS HILL","14-00765648","MD","NEW","2014-10-10T13:33:23.000","21224",-76.5655165,39.2869632
"3901  HILLEN RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-10T13:29:58.000","2014-10-24T13:29:58.000","MONTEBELLO","14-00765630","MD","NEW","2014-10-10T13:29:58.000","21218",-76.5874261,39.3370883
"1209  WINDEMERE AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-10T13:25:45.000","2014-10-24T13:25:45.000","EDNOR GARDENS-LAKESIDE","14-00765618","MD","NEW","2014-10-10T13:25:45.000","21218",-76.5984299,39.329895
"800 E FORT AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-08T11:42:04.000","2014-10-22T11:42:04.000","RIVERSIDE","14-00757837","MD","NEW","2014-10-08T11:42:04.000","21230",-76.602285,39.272227
"500 E FAYETTE ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-08T11:36:43.000","2014-10-22T11:36:43.000","DOWNTOWN","14-00757808","MD","NEW","2014-10-08T11:36:43.000","21202",-76.6081682,39.2906369
"3200 E FEDERAL ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-08T11:32:30.000","2014-10-22T11:32:30.000","ORANGEVILLE INDUSTRIAL AREA","14-00757778","MD","NEW","2014-10-08T11:32:30.000","21213",-76.5731324,39.3093451
"200 W FAYETTE ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-08T11:28:05.000","2014-10-22T11:28:05.000","DOWNTOWN","14-00757748","MD","NEW","2014-10-08T11:28:05.000","21201",-76.618129,39.2906959
"LINDEN AVE & DRUID PARK LAKE DR","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-07T12:22:51.000","2014-10-21T12:22:51.000","DRUID HILL PARK","14-00754664","MD","NEW","2014-10-07T12:22:51.000","21217",-80.058177,40.4652679
"900 N FULTON AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-06T14:00:42.000","2014-10-20T14:00:42.000","SANDTOWN-WINCHESTER","14-00751776","MD","NEW","2014-10-06T14:00:42.000","21217",-76.6459603,39.29892
"1 E HENRIETTA ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-05T17:47:52.000","2014-10-19T17:47:52.000","FEDERAL HILL","14-00750371","MD","NEW","2014-10-05T17:47:52.000","21230",-76.6144653,39.2789522
"22 E FAYETTE ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-02T17:57:25.000","2014-10-16T17:57:25.000","DOWNTOWN","14-00744332","MD","NEW","2014-10-02T17:57:25.000","21202",-76.6144742,39.2905591
"2400 N PULASKI ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-02T16:05:34.000","2014-10-16T16:05:34.000","MONDAWMIN","14-00743840","MD","NEW","2014-10-02T16:05:34.000","21217",-76.6516159,39.3145916
"100 N GREENE ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-10-02T15:52:58.000","2014-10-16T15:52:58.000","SETON HILL","14-00743786","MD","NEW","2014-10-02T15:52:58.000","21201",-76.6237752,39.2904674
"2900  HILLSDALE RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-30T16:54:44.000","2014-10-14T16:54:44.000","HOWARD PARK","14-00736925","MD","NEW","2014-09-30T16:54:44.000","21207",-76.6999217,39.321033
"6201 E LOMBARD ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-30T14:51:19.000","2014-10-14T14:51:19.000","HOPKINS BAYVIEW","14-00736380","MD","NEW","2014-09-30T14:51:19.000","21224",-76.542168,39.2951679
"1 S CALVERT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-30T14:38:57.000","2014-10-14T14:38:57.000","DOWNTOWN","14-00736320","MD","NEW","2014-09-30T14:38:57.000","21202",-76.6122796,39.2896417
"1500 N MOUNT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-29T16:54:34.000","2014-10-13T16:54:34.000","SANDTOWN-WINCHESTER","14-00733648","MD","NEW","2014-09-29T16:54:34.000","21217",-76.6447463,39.3053675
"726 E 36TH ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-28T12:31:57.000","2014-10-12T12:31:57.000","WAVERLY","14-00730802","MD","NEW","2014-09-28T12:31:57.000","21218",-76.6052829,39.3322518
"300 E GITTINGS ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-28T12:27:41.000","2014-10-12T12:27:41.000","RIVERSIDE","14-00730798","MD","NEW","2014-09-28T12:27:41.000","21230",-76.6091421,39.2743723
"QUARANTINE RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-26T14:53:20.000","2014-10-10T14:53:20.000","HAWKINS POINT","14-00727834","MD","NEW","2014-09-26T14:53:20.000","21226",-76.557773,39.2093443
"WINTERBOURNE RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-25T16:35:03.000","2014-10-09T16:35:03.000","ROSEMONT","14-00725168","MD","NEW","2014-09-25T16:35:03.000","21216",-76.6785213,39.3066481
"600 N LONGWOOD ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-25T16:25:45.000","2014-10-09T16:25:45.000","FRANKLINTOWN ROAD","14-00725111","MD","NEW","2014-09-25T16:25:45.000","21216",-76.6667309,39.2944021
"CALVERT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-25T16:21:19.000","2014-10-09T16:21:19.000","BROOKLYN","14-00725082","MD","NEW","2014-09-25T16:21:19.000","21225",-76.6082209,39.2339017
"804 S HAVEN ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-25T11:39:19.000","2014-10-09T11:39:19.000","CANTON INDUSTRIAL AREA","14-00723730","MD","NEW","2014-09-25T11:39:19.000","21224",-76.5622393,39.2837025
"1038 N GILMOR ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-24T11:25:10.000","2014-10-08T11:25:10.000","SANDTOWN-WINCHESTER","14-00720142","MD","NEW","2014-09-24T11:25:10.000","21217",-76.6432829,39.3009314
"706  RADNOR AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-24T11:34:16.000","2014-10-08T11:34:16.000","WINSTON-GOVANS","14-00720174","MD","NEW","2014-09-24T11:34:16.000","21212",-76.6054265,39.3476115
"200 W COLD SPRING LN","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-24T11:19:47.000","2014-10-08T11:19:47.000","EVERGREEN","14-00720121","MD","NEW","2014-09-24T11:19:47.000","21210",-76.6269487,39.3452483
"239 N CALVERTON RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-22T16:06:26.000","2014-10-06T16:06:26.000","PENROSE/FAYETTE STREET OUTREACH","14-00715113","MD","NEW","2014-09-22T16:06:26.000","21223",-76.6600962,39.2922422
"3641  PULASKI HWY","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-22T15:59:03.000","2014-10-06T15:59:03.000","BALTIMORE HIGHLANDS","14-00715080","MD","NEW","2014-09-22T15:59:03.000","21224",-76.566605,39.296199
"2200  SINCLAIR LN","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-22T14:44:50.000","2014-10-06T14:44:50.000","CLIFTON PARK","14-00714685","MD","NEW","2014-09-22T14:44:50.000","21213",-76.5871018,39.3146745
"5200  HARFORD RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-19T14:33:19.000","2014-10-03T14:33:19.000","LAURAVILLE","14-00708948","MD","NEW","2014-09-19T14:33:19.000","21214",-76.564443,39.349174
"2400  EDMONDSON AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-19T14:27:51.000","2014-10-03T14:27:51.000","ROSEMONT HOMEOWNERS/TENANTS","14-00708926","MD","NEW","2014-09-19T14:27:51.000","21223",-76.65495,39.29504
"6200  BELAIR RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-17T16:49:59.000","2014-10-01T16:49:59.000","CEDMONT","14-00702663","MD","NEW","2014-09-17T16:49:59.000","21206",-76.5362866,39.3502215
"6232  BELAIR RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-17T16:26:03.000","2014-10-01T16:26:03.000","GLENHAM-BELFORD","14-00702575","MD","NEW","2014-09-17T16:26:03.000","21206",-76.5352632,39.351144
"5030  REISTERSTOWN RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-17T16:21:58.000","2014-10-01T16:21:58.000","LANGSTON HUGHES","14-00702557","MD","NEW","2014-09-17T16:21:58.000","21215",-76.6801822,39.3413485
"LIGHT ST &E CROSS ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-16T18:24:56.000","2014-09-30T18:24:56.000","FEDERAL HILL","14-00699824","MD","NEW","2014-09-16T18:24:56.000","21230",-76.6125962,39.2785869
"1000  LIGHT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-15T22:16:00.000","2014-09-29T22:16:00.000","FEDERAL HILL","14-00696983","MD","NEW","2014-09-15T22:16:00.000","21230",-76.612749,39.2781548
"2300  DRUID HILL AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-15T14:15:29.000","2014-09-29T14:15:29.000","PENN NORTH","14-00694959","MD","NEW","2014-09-15T14:15:29.000","21217",-76.6387945,39.3106935
"1100  LIGHT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-15T14:07:12.000","2014-09-29T14:07:12.000","FEDERAL HILL","14-00694921","MD","NEW","2014-09-15T14:07:12.000","21230",-76.612565,39.276603
"CHERRY HILL RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-13T10:57:02.000","2014-09-27T10:57:02.000","MIDDLE BRANCH/REEDBIRD PARKS","14-00691821","MD","NEW","2014-09-13T10:57:02.000","21225",-76.6226218,39.250128
"1500  FLEET ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-13T10:35:35.000","2014-09-27T10:35:35.000","FELLS POINT","14-00691807","MD","NEW","2014-09-13T10:35:35.000","21231",-76.5966563,39.2844312
"800  CHERRY HILL RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-12T20:28:34.000","2014-09-26T20:28:34.000","CHERRY HILL","14-00691030","MD","NEW","2014-09-12T20:28:34.000","21225",-76.6256383,39.249189
"2 N CALVERTON RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-12T14:52:55.000","2014-09-26T14:52:55.000","PENROSE/FAYETTE STREET OUTREACH","14-00689771","MD","NEW","2014-09-12T14:52:55.000","21223",-76.6538672,39.2878763
"1131  LIGHT ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-08T14:01:37.000","2014-09-22T14:01:37.000","RIVERSIDE","14-00675126","MD","NEW","2014-09-08T14:01:37.000","21230",-76.6119806,39.2762368
"120 E CHASE ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-05T14:20:27.000","2014-09-19T14:20:27.000","MID-TOWN BELVEDERE","14-00669824","MD","NEW","2014-09-05T14:20:27.000","21202",-76.6137007,39.3024781
"1200 N FULTON AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-05T14:08:33.000","2014-09-19T14:08:33.000","SANDTOWN-WINCHESTER","14-00669777","MD","NEW","2014-09-05T14:08:33.000","21217",-76.6462493,39.302179
"S PACA ST &W PRATT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-05T13:53:52.000","2014-09-19T13:53:52.000","INNER HARBOR","14-00669708","MD","NEW","2014-09-05T13:53:52.000","21201",-76.624262,39.2832643
"200 S PACA ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-03T15:47:59.000","2014-09-17T15:47:59.000","INNER HARBOR","14-00662940","MD","NEW","2014-09-03T15:47:59.000","21201",-76.6221521,39.2856434
"2900  BOSTON ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-04T10:55:59.000","2014-09-18T10:55:59.000","CANTON","14-00665182","MD","NEW","2014-09-04T10:55:59.000","21224",-76.5752745,39.2782807
"700  PRESIDENT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-03T15:43:24.000","2014-09-17T15:43:24.000","INNER HARBOR","14-00662911","MD","NEW","2014-09-03T15:43:24.000","21202",-76.6015033,39.2830033
"700  PRESIDENT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T21:33:07.000","2014-09-16T21:33:07.000","INNER HARBOR","14-00660604","MD","NEW","2014-09-02T21:33:07.000","21202",-76.6015033,39.2830033
"E FAYETTE ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T14:50:56.000","2014-09-16T14:50:56.000","DOWNTOWN","14-00659014","MD","NEW","2014-09-02T14:50:56.000","21202",-76.5910156,39.2940609
"500 N FRANKLINTOWN RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T15:10:35.000","2014-09-16T15:10:35.000","ROSEMONT HOMEOWNERS/TENANTS","14-00659098","MD","NEW","2014-09-02T15:10:35.000","21223",-76.6624617,39.2932297
"240 N CALVERTON RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T14:55:42.000","2014-09-16T14:55:42.000","PENROSE/FAYETTE STREET OUTREACH","14-00659033","MD","NEW","2014-09-02T14:55:42.000","21223",-76.659561,39.291344
"1800  BAKER ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T13:01:19.000","2014-09-16T13:01:19.000","SANDTOWN-WINCHESTER","14-00658335","MD","NEW","2014-09-02T13:01:19.000","21217",-76.6473005,39.3068032
"EAST DR","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T12:57:22.000","2014-09-16T12:57:22.000","DRUID HILL PARK","14-00658305","MD","NEW","2014-09-02T12:57:22.000","21217",-76.638852,39.3200863
"1800  SAINT PAUL ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T12:51:37.000","2014-09-16T12:51:37.000","CHARLES NORTH","14-00658263","MD","NEW","2014-09-02T12:51:37.000","21202",-76.61516,39.3099599
"4410  LEWIN AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T12:45:37.000","2014-09-16T12:45:37.000","DOLFIELD","14-00658229","MD","NEW","2014-09-02T12:45:37.000","21215",-76.679033,39.339478
"6220  TRAMORE RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-09-02T12:41:30.000","2014-09-16T12:41:30.000","HARFORD-ECHODALE/PERRING PARKWAY","14-00658204","MD","NEW","2014-09-02T12:41:30.000","21214",-76.567128,39.361722
"LEAKIN ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-28T15:16:34.000","2014-09-11T15:16:34.000","CANTON","14-00649838","MD","NEW","2014-08-28T15:16:34.000","21224",NA,NA
"4100  PARK HEIGHTS AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-27T17:26:01.000","2014-09-10T17:26:01.000","CENTRAL PARK HEIGHTS","14-00646886","MD","NEW","2014-08-27T17:26:01.000","21215",-76.6639129,39.335804
"800  WILLIAM ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-26T17:56:03.000","2014-09-09T17:56:03.000","FEDERAL HILL","14-00643746","MD","NEW","2014-08-26T17:56:03.000","21230",NA,NA
"200 N GREENE ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-21T10:50:55.000","2014-09-04T10:50:55.000","DOWNTOWN","14-00628703","MD","NEW","2014-08-21T10:50:55.000","21201",-76.623818,39.2913882
"200 N CALVERT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-21T10:43:33.000","2014-09-04T10:43:33.000","DOWNTOWN","14-00628686","MD","NEW","2014-08-21T10:43:33.000","21202",-76.612473,39.2912801
"115  KANE ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-21T10:36:43.000","2014-09-04T10:36:43.000","PULASKI INDUSTRIAL AREA","14-00628676","MD","NEW","2014-08-21T10:36:43.000","21224",-76.533138,39.2951633
"1300 N MONROE ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-21T10:18:48.000","2014-09-04T10:18:48.000","BRIDGEVIEW/GREENLAWN","14-00628642","MD","NEW","2014-08-21T10:18:48.000","21217",-76.6477013,39.3024817
"LIGHT ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-20T13:03:12.000","2014-09-03T13:03:12.000","DOWNTOWN","14-00626026","MD","NEW","2014-08-20T13:03:12.000","21202",-76.6125962,39.2785869
"1800 N FULTON AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-20T14:12:03.000","2014-09-03T14:12:03.000","SANDTOWN-WINCHESTER","14-00626437","MD","NEW","2014-08-20T14:12:03.000","21217",-76.6467119,39.308947
"W FRANKLIN ST &N FRANKLINTOWN RD","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-15T14:16:08.000","2014-08-29T14:16:08.000","ROSEMONT HOMEOWNERS/TENANTS","14-00613288","MD","NEW","2014-08-15T14:16:08.000","21223",-76.6405763,39.2940979
"521  FULTON MOUNT","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-15T11:22:41.000","2014-08-29T11:22:41.000","NEW SOUTHWEST/MOUNT CLARE","14-00612435","MD","NEW","2014-08-15T11:22:41.000","21223",-76.6121893,39.2903848
"807  MELVILLE AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-15T11:14:00.000","2014-08-29T11:14:00.000","WAVERLY","14-00612385","MD","NEW","2014-08-15T11:14:00.000","21218",-76.604132,39.331149
"YALE AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-15T11:09:10.000","2014-08-29T11:09:10.000","YALE HEIGHTS","14-00612364","MD","NEW","2014-08-15T11:09:10.000","21229",-76.6876343,39.2758582
"PATAPSCO AVE","BALTIMORE COUNTY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-15T11:02:55.000","2014-08-29T11:02:55.000","LAKELAND","14-00612342","MD","NEW","2014-08-15T11:02:55.000",NA,-76.644183,39.2510515
"1800  GREENMOUNT AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-11T00:11:16.000","2014-08-25T00:11:16.000","GREENMOUNT WEST","14-00597414","MD","NEW","2014-08-11T00:11:16.000","21202",-76.6094908,39.3113376
"210  GUILFORD AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-09T23:23:36.000","2014-08-23T23:23:36.000","DOWNTOWN","14-00596510","MD","NEW","2014-08-09T23:23:36.000","21202",-76.611566,39.291834
"300 W REDWOOD ST","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-08T17:50:38.000","2014-08-22T17:50:38.000","DOWNTOWN","14-00594411","MD","NEW","2014-08-08T17:50:38.000","21201",-76.6201307,39.2886964
"E SARATOGA ST & GUILFORD AVE","BALTIMORE CITY","FICIMOVA","FIN-City Motor Vehicle Accident","2014-08-06T19:10:53.000","2014-08-20T19:10:53.000","DOWNTOWN","14-00587104","MD","NEW","2014-08-06T19:10:53.000","21202",-111.7557294,33.339298
"200 S BOND ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-23T11:11:56.000","2015-08-06T11:11:56.000","PERKINS HOMES","15-00580339","MD","NEW","2015-07-23T11:11:56.000","21231",-76.5956296,39.2891171
"N HOWARD ST & W 27TH ST, BALTIMORE, MD,",NA,"FICIMOVA","FIN-City Motor Vehicle Accident","2015-06-25T17:40:33.000","2015-07-09T17:40:33.000","REMINGTON","15-00498994","MD","NEW","2015-06-25T17:40:33.000",NA,-82.1996942,35.180609
"400 E PATAPSCO AVE","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-05-29T17:38:07.000","2015-06-12T17:38:07.000","BROOKLYN","15-00421086","MD","NEW","2015-05-29T17:38:07.000","21225",-76.605118,39.237421
"1300 W FRANKLIN ST","BALTIMORE","FICIMOVA","FIN-City Motor Vehicle Accident","2015-07-07T18:35:16.000","2015-07-21T18:35:16.000","HARLEM PARK","15-00532369","MD","NEW","2015-07-07T18:35:16.000","21223",-76.6384402,39.2942
