"UniqueID","StreetAddress","City","State","ZIP","i"
7501,"5600 PERRING PKWY","BALTIMORE CITY","Maryland","21239",4
7502,"5914 HILLEN RD","BALTIMORE CITY","Maryland","21239",4
7503,"1712 SHERWOOD AVE","BALTIMORE CITY","Maryland","21239",4
7504,"1600 WALTERSWOOD RD","BALTIMORE CITY","Maryland","21239",4
7505,"LOCH RAVEN BLVD &E COLD SPRING LN","BALTIMORE CITY","Maryland","21239",4
7506,"7 E EAGER ST","BALTIMORE CITY","Maryland","21202",4
7507,"2919 PINEWOOD AVE","BALTIMORE CITY","Maryland","21214",4
7508,"3432 WOODSTOCK AVE","BALTIMORE CITY","Maryland","21213",4
7509,"1200 CLIFTVIEW AVE","BALTIMORE CITY","Maryland","21218",4
7510,"1300 CLIFTVIEW AVE","BALTIMORE CITY","Maryland","21218",4
7511,"2100 AIKEN ST","BALTIMORE CITY","Maryland","21218",4
7512,"2400 ROBB ST","BALTIMORE CITY","Maryland","21218",4
7513,"2300 CECIL AVE","BALTIMORE CITY","Maryland","21218",4
7514,"200 E FEDERAL ST","BALTIMORE CITY","Maryland","21202",4
7515,"ORLEANS ST &N COLLINGTON AVE","BALTIMORE CITY","Maryland","21231",4
7516,"738 BARTLETT AVE","BALTIMORE CITY","Maryland","21218",4
7517,"666 COKESBURY AVE","BALTIMORE CITY","Maryland","21218",4
7518,"THE ALAMEDA","BALTIMORE COUNTY","Maryland",NA,4
7519,"W MCCOMAS ST &S HANOVER ST","BALTIMORE CITY","Maryland","21230",4
7520,"1900 GOUGH ST","BALTIMORE CITY","Maryland","21231",4
7521,"4900 ANNTANA AVE","BALTIMORE CITY","Maryland","21206",4
7522,"N PACA ST &W MULBERRY ST","BALTIMORE CITY","Maryland","21201",4
7523,"335 E 20TH ST","BALTIMORE CITY","Maryland","21218",4
7524,"3007 WOLCOTT AVE","BALTIMORE CITY","Maryland","21216",4
7525,"N HIGHLAND AVE & PULASKI HWY","BALTIMORE CITY","Maryland","21224",4
7526,"S DUKELAND ST & WILMARCO AVE","BALTIMORE CITY","Maryland","21223",4
7527,"2105 CHRISTIAN ST","BALTIMORE CITY","Maryland","21223",4
7528,"DRUID PARK LAKE DR & EUTAW PL","BALTIMORE CITY","Maryland","21217",4
7529,"5100 E LOMBARD ST","BALTIMORE CITY","Maryland","21224",4
7530,"1300 HILLMAN ST","BALTIMORE CITY","Maryland","21202",4
7531,"1000 HOMEWOOD AVE","BALTIMORE CITY","Maryland","21202",4
7532,"E HOFFMAN ST & WILCOX ST","BALTIMORE CITY","Maryland","21202",4
7533,"718 E PRESTON ST","BALTIMORE CITY","Maryland","21202",4
7534,"1216 E EAGER ST","BALTIMORE CITY","Maryland","21202",4
7535,"E EAGER ST & AISQUITH ST","BALTIMORE CITY","Maryland","21202",4
7536,"E EAGER ST & HILLMAN ST","BALTIMORE CITY","Maryland","21202",4
7537,"804 E EAGER ST","BALTIMORE CITY","Maryland","21202",4
7538,"710 E EAGER ST","BALTIMORE CITY","Maryland","21202",4
7539,"2000 BARCLAY ST","BALTIMORE CITY","Maryland","21218",4
7540,"2018 N CALVERT ST","BALTIMORE CITY","Maryland","21218",4
7541,"335 E 20TH ST","BALTIMORE CITY","Maryland","21218",4
7542,"200 E 20TH ST","BALTIMORE CITY","Maryland","21218",4
7543,"300 E 22ND ST","BALTIMORE CITY","Maryland","21218",4
7544,"200 E 22ND ST","BALTIMORE CITY","Maryland","21218",4
7545,"329 E 24TH ST","BALTIMORE CITY","Maryland","21218",4
7546,"1500 N BOND ST","BALTIMORE CITY","Maryland","21213",4
7547,"500 S MILTON AVE","BALTIMORE CITY","Maryland","21224",4
7548,"4700 WOODLEA AVE","BALTIMORE CITY","Maryland","21206",4
7549,"4428 UNDERWOOD RD","BALTIMORE CITY","Maryland","21218",4
7550,"2527 KIRK AVE","BALTIMORE CITY","Maryland","21218",4
7551,"BONVIEW AVE & ERDMAN AVE","BALTIMORE CITY","Maryland","21213",4
7552,"2200 ORLEANS ST","BALTIMORE CITY","Maryland","21231",4
7553,"3900 FLEETWOOD AVE","BALTIMORE CITY","Maryland","21206",4
7554,"1419 NORTHGATE RD","BALTIMORE CITY","Maryland","21218",4
7555,"2703 BOARMAN AVE","BALTIMORE CITY","Maryland","21215",4
7556,"2906 E NORTHERN PKWY","BALTIMORE CITY","Maryland","21214",4
7557,"2300 E NORTHERN PKWY","BALTIMORE CITY","Maryland","21234",4
7558,"2100 E NORTHERN PKWY","BALTIMORE CITY","Maryland","21214",4
7559,"1600 KELLY AVE","BALTIMORE CITY","Maryland","21209",4
7560,"PURNELL DR &W FOREST PARK AVE","BALTIMORE CITY","Maryland","21207",4
7561,"2800 HAMILTON AVE","BALTIMORE CITY","Maryland","21214",4
7562,"206 TAPLOW RD","BALTIMORE CITY","Maryland","21212",4
7563,"3600 S HANOVER ST","BALTIMORE CITY","Maryland","21225",4
7564,"2600 W PATAPSCO AVE","BALTIMORE CITY","Maryland","21227",4
7565,"3 E HEATH ST","BALTIMORE CITY","Maryland","21230",4
7566,"1300 DIVISION ST","BALTIMORE CITY","Maryland","21217",4
7567,"W FOREST PARK AVE","BALTIMORE CITY","Maryland","21207",4
7568,"4901 ANNTANA AVE","BALTIMORE CITY","Maryland","21206",4
7569,"EDMONDSON AVE &N EDGEWOOD ST","BALTIMORE CITY","Maryland","21229",4
7570,"4428 UNDERWOOD RD","BALTIMORE CITY","Maryland","21218",4
7571,"604 POPLAR GROVE ST","BALTIMORE CITY","Maryland","21223",4
7572,"2625 E NORTHERN PKWY","BALTIMORE CITY","Maryland","21214",4
7573,"5311 GOODNOW RD","BALTIMORE CITY","Maryland","21206",4
7574,"1700 N WARWICK AVE","BALTIMORE CITY","Maryland","21216",4
7575,"2702 REESE ST","BALTIMORE CITY","Maryland","21218",4
7576,"4000 W STRATHMORE AVE","BALTIMORE CITY","Maryland","21215",4
7577,"200 W PRESTON ST","BALTIMORE CITY","Maryland","21201",4
7578,"800 REVERDY RD","BALTIMORE CITY","Maryland","21212",4
7579,"1918 HILLENWOOD RD","BALTIMORE CITY","Maryland","21239",4
7580,"SIMMS AVE & MARX AVE","BALTIMORE CITY","Maryland","21206",4
7581,"4604 SIMMS AVE","BALTIMORE CITY","Maryland","21206",4
7582,"1300 N ELLAMONT ST","BALTIMORE CITY","Maryland","21216",4
7583,"FLEET ST &S EDEN ST","BALTIMORE CITY","Maryland","21202",4
7584,"7400 HARFORD RD","BALTIMORE CITY","Maryland","21234",4
7585,"W PATAPSCO AVE & ANNAPOLIS RD","BALTIMORE CITY","Maryland","21230",4
7586,"1918 WOODBOURNE AVE","BALTIMORE CITY","Maryland","21239",4
7587,"3500 WOODRING AVE","BALTIMORE CITY","Maryland","21234",4
7588,"2625 E NORTHERN PKWY","BALTIMORE CITY","Maryland","21214",4
7589,"WILKENS AVE","BALTIMORE CITY","Maryland","21229",4
7590,"W CATON AVE &N MONASTERY AVE","BALTIMORE CITY","Maryland","21229",4
7591,"514 E 23RD ST","BALTIMORE CITY","Maryland","21218",4
7592,"1720 FLEET ST","BALTIMORE CITY","Maryland","21231",4
7593,"600 E LAKE AVE","BALTIMORE CITY","Maryland","21212",4
7594,"1500 FERNLEY RD","BALTIMORE CITY","Maryland","21218",4
7595,"2423 LINDEN AVE","BALTIMORE CITY","Maryland","21217",4
7596,"3100 GWYNNS FALLS PKWY","BALTIMORE CITY","Maryland","21216",4
7597,"4401 WAKEFIELD RD","BALTIMORE CITY","Maryland","21216",4
7598,"E NORTHERN PKWY & BELLONA AVE","BALTIMORE CITY","Maryland","21212",4
7599,"2600 DULANY ST","BALTIMORE CITY","Maryland","21223",4
7600,"1600 ARGYLE AVE","BALTIMORE CITY","Maryland","21217",4
7601,"3500 PARKDALE AVE","BALTIMORE CITY","Maryland","21211",4
7602,"5400 REISTERSTOWN RD","BALTIMORE CITY","Maryland","21215",4
7603,"3505 CLARKS LN","BALTIMORE CITY","Maryland","21215",4
7604,"3509 CLARKS LN","BALTIMORE CITY","Maryland","21215",4
7605,"3540 HICKORY AVE","BALTIMORE CITY","Maryland","21211",4
7606,"1405 JOH AVE","BALTIMORE CITY","Maryland","21227",4
7607,"1416 MILL RACE RD","BALTIMORE CITY","Maryland","21211",4
7608,"READY AVE & GLENWOOD AVE","BALTIMORE CITY","Maryland","21212",4
7609,"4920 WESTHILLS RD","BALTIMORE CITY","Maryland","21229",4
7610,"900 W FRANKLIN ST","BALTIMORE CITY","Maryland","21223",4
7611,"N MOUNT ST &W FRANKLIN ST","BALTIMORE CITY","Maryland","21223",4
7612,"5100 E LOMBARD ST","BALTIMORE CITY","Maryland","21224",4
7613,"3000 N CALVERT ST","BALTIMORE CITY","Maryland","21218",4
7614,"6519 COLGATE AVE","BALTIMORE CITY","Maryland","21222",4
7615,"W NORTH AVE & FALLS RD","BALTIMORE CITY","Maryland","21201",4
7616,"2200 MARYLAND AVE","BALTIMORE CITY","Maryland","21218",4
7617,"4820 ROLAND AVE","BALTIMORE CITY","Maryland","21210",4
7618,"1300 BAYLIS ST","BALTIMORE CITY","Maryland","21224",4
7619,"I 83 S & MOUNT ROYAL TER","BALTIMORE CITY","Maryland","21217",4
7620,"1918 HILLENWOOD RD","BALTIMORE CITY","Maryland","21239",4
7621,"4000 KATHLAND AVE","BALTIMORE CITY","Maryland","21207",4
7622,"W MELROSE AVE","BALTIMORE CITY","Maryland","21210",4
7623,"2463 W COLD SPRING LN","BALTIMORE CITY","Maryland","21215",4
7624,"4634 HARCOURT RD","BALTIMORE CITY","Maryland","21214",4
7625,"5407 ELSRODE AVE","BALTIMORE CITY","Maryland","21214",4
7626,"521 S WOLFE ST","BALTIMORE CITY","Maryland","21231",4
7627,"2101 DOBLER AVE","BALTIMORE CITY","Maryland","21218",4
7628,"1 E UNIVERSITY PKWY","BALTIMORE CITY","Maryland","21218",4
7629,"2402 N FOREST PARK AVE","BALTIMORE CITY","Maryland","21207",4
7630,"5503 ANTHONY AVE","BALTIMORE CITY","Maryland","21206",4
7631,"1213 S HANOVER ST","BALTIMORE CITY","Maryland","21230",4
7632,"1410 S HANOVER ST","BALTIMORE CITY","Maryland","21230",4
7633,"417 DRURY LN","BALTIMORE CITY","Maryland","21229",4
7634,"2221 MORTON ST","BALTIMORE CITY","Maryland","21218",4
7635,"1300 W PRATT ST","BALTIMORE CITY","Maryland","21223",4
7636,"4100 ARDLEY AVE","BALTIMORE CITY","Maryland","21213",4
7637,"223 E PRESTON ST","BALTIMORE CITY","Maryland","21202",4
7638,"6300 GRINDON AVE","BALTIMORE CITY","Maryland","21214",4
7639,"5223 SPRINGLAKE WAY","BALTIMORE CITY","Maryland","21212",4
7640,"STEELE RD & PIMLICO RD","BALTIMORE CITY","Maryland","21209",4
7641,"1300 EDMONDSON AVE","BALTIMORE CITY","Maryland","21223",4
7642,"1000 N FREMONT AVE","BALTIMORE CITY","Maryland","21217",4
7643,"FENWICK AVE & WOODBOURNE AVE","BALTIMORE CITY","Maryland","21239",4
7644,"4623 MARBLE HALL RD","BALTIMORE CITY","Maryland","21239",4
7645,"W COLD SPRING LN & GREENSPRING AVE","BALTIMORE CITY","Maryland","21209",4
7646,"1814 N ROSEDALE ST","BALTIMORE CITY","Maryland","21216",4
7647,"3100 SUMTER AVE","BALTIMORE CITY","Maryland","21215",4
7648,"5900 PERRING PKWY","BALTIMORE CITY","Maryland","21239",4
7649,"MARYLAND AVE &W NORTH AVE","BALTIMORE CITY","Maryland","21201",4
7650,"2800 MARYLAND AVE","BALTIMORE CITY","Maryland","21218",4
7651,"6116 MARIETTA AVE","BALTIMORE CITY","Maryland","21214",4
7652,"6214 PILGRIM RD","BALTIMORE CITY","Maryland","21214",4
7653,"14 SAINT MARTINS RD","BALTIMORE CITY","Maryland","21218",4
7654,"GLENARM AVE & GLENFALLS AVE","BALTIMORE CITY","Maryland","21206",4
7655,"N CHARLES ST &E 25TH ST","BALTIMORE CITY","Maryland","21218",4
7656,"4820 ROLAND AVE","BALTIMORE CITY","Maryland","21210",4
7657,"1900 WINFORD RD","BALTIMORE CITY","Maryland","21239",4
7658,"800 N BRADFORD ST","BALTIMORE CITY","Maryland","21205",4
7659,"3800 N CHARLES ST","BALTIMORE CITY","Maryland","21218",4
7660,"1906 RAMSAY ST","BALTIMORE CITY","Maryland","21223",4
7661,"100 E HUGHES ST","BALTIMORE CITY","Maryland","21230",4
7662,"3900 TIVOLY AVE","BALTIMORE CITY","Maryland","21218",4
7663,"2408 PINEWOOD AVE","BALTIMORE CITY","Maryland","21214",4
7664,"2301 WESTFIELD AVE","BALTIMORE CITY","Maryland","21214",4
7665,"2703 EVERGREEN AVE","BALTIMORE CITY","Maryland","21214",4
7666,"500 S LEHIGH ST","BALTIMORE CITY","Maryland","21224",4
7667,"705 HOLLEN RD","BALTIMORE CITY","Maryland","21212",4
7668,"1000 GLENWOOD AVE","BALTIMORE CITY","Maryland","21212",4
7669,"1101 WOODBOURNE AVE","BALTIMORE CITY","Maryland","21239",4
7670,"5635 MIDWOOD AVE","BALTIMORE CITY","Maryland","21212",4
7671,"DANVILLE AVE","BALTIMORE CITY","Maryland","21224",4
7672,"5930 NORTHWOOD DR","BALTIMORE CITY","Maryland","21212",4
7673,"PURNELL DR &W FOREST PARK AVE","BALTIMORE CITY","Maryland","21207",4
7674,"1300 S PONCA ST","BALTIMORE CITY","Maryland","21224",4
7675,"4101 BRENDAN AVE","BALTIMORE CITY","Maryland","21213",4
7676,"109 OVERHILL RD","BALTIMORE CITY","Maryland","21210",4
7677,"1000 CATHEDRAL ST","BALTIMORE CITY","Maryland","21201",4
7678,"4 UPLAND RD","BALTIMORE CITY","Maryland","21210",4
7679,"3606 WOODLEA AVE","BALTIMORE CITY","Maryland","21214",4
7680,"1000 WICKLOW RD","BALTIMORE CITY","Maryland","21229",4
7681,"3000 GWYNNS FALLS PKWY","BALTIMORE CITY","Maryland","21216",4
7682,"400 MILLINGTON AVE","BALTIMORE CITY","Maryland","21223",4
7683,"5000 ARDMORE WAY","BALTIMORE CITY","Maryland","21206",4
7684,"2600 LAURETTA AVE","BALTIMORE CITY","Maryland","21223",4
7685,"2500 LAURETTA AVE","BALTIMORE CITY","Maryland","21223",4
7686,"W 37TH ST & ROLAND AVE","BALTIMORE CITY","Maryland","21211",4
7687,"3302 W MULBERRY ST","BALTIMORE CITY","Maryland","21229",4
7688,"3600 PAINE ST","BALTIMORE CITY","Maryland","21211",4
7689,"100 S MONROE ST","BALTIMORE CITY","Maryland","21223",4
7690,"213 WILSON ST","BALTIMORE CITY","Maryland","21217",4
7691,"FRISBY ST &E 34TH ST","BALTIMORE CITY","Maryland","21218",4
7692,"REISTERSTOWN RD &W ROGERS AVE","BALTIMORE CITY","Maryland","21215",4
7693,"2213 N PULASKI ST","BALTIMORE CITY","Maryland","21217",4
7694,"W 22ND ST &N CHARLES ST","BALTIMORE CITY","Maryland","21218",4
7695,"3100 BRENTWOOD AVE","BALTIMORE CITY","Maryland","21218",4
7696,"138 W LAFAYETTE AVE","BALTIMORE CITY","Maryland","21217",4
7697,"4501 ERDMAN AVE","BALTIMORE CITY","Maryland","21213",4
