"activity","address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","updateddate","zip","outcome","lon","lat"
NA,"535 N CURLEY ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-10-15T13:33:09.000","2014-11-24T13:33:09.000","ELLWOOD PARK/MONUMENT","14-00776320","MD","CLOSED","2014-10-17T12:10:13.000",NA,"21205",NA,NA,NA
NA,"1 E MELROSE AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-10-14T19:01:55.000","2014-11-23T19:01:55.000","HOMELAND","14-00774610","MD","CLOSED","2015-01-12T12:08:17.000",NA,"21212",NA,NA,NA
"Dispatch lighting Inspector","2705  GARRISON BLVD","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-10-14T13:33:35.000","2014-11-23T13:33:35.000","GARWYN OAKS","14-00773114","MD","CLOSED","2014-10-15T11:40:09.000","2014-10-15T11:39:00.000","21216",NA,NA,NA
"Dispatch lighting Inspector","1516  DRUID HILL AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-10-10T18:17:04.000","2014-11-19T18:17:04.000","UPTON","14-00766780","MD","CLOSED","2015-04-07T11:44:08.000","2014-10-15T11:07:00.000","21217",NA,NA,NA
NA,"CLEARSPRING RD","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-10-09T18:41:13.000","2014-11-18T18:41:13.000","CHINQUAPIN PARK-BELVEDERE","14-00763608","MD","CLOSED","2015-01-23T13:39:58.000",NA,"21212",NA,NA,NA
NA,"1331 N ELLWOOD AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-10-07T19:54:47.000","2014-11-16T19:54:47.000","BEREA","14-00756911","MD","CLOSED","2014-10-14T14:34:52.000",NA,"21213",NA,NA,NA
NA,"917  MONTPELIER ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-10-01T13:52:15.000","2014-11-10T13:52:15.000","BETTER WAVERLY","14-00739719","MD","CLOSED","2014-11-18T13:17:15.000",NA,"21218",NA,NA,NA
NA,"324  BROXTON RD","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-10-01T12:30:41.000","2014-11-10T12:30:41.000","HOMELAND","14-00739219","MD","CLOSED","2014-12-15T12:14:40.000",NA,"21212",NA,NA,NA
NA,"106  SAINT MARTINS RD","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-10-01T11:24:36.000","2014-11-10T11:24:36.000","GUILFORD","14-00738897","MD","CLOSED","2014-10-01T11:56:26.000",NA,"21218",NA,NA,NA
"Dispatch lighting Inspector","2920  SOUTHLAND AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-30T19:56:32.000","2014-11-09T19:56:32.000","CHERRY HILL","14-00737818","MD","CLOSED","2014-12-23T12:19:49.000","2014-10-02T18:40:00.000","21225",NA,NA,NA
NA,"5600  READY AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-30T18:22:07.000","2014-11-09T18:22:07.000","MID-GOVANS","14-00737410","MD","CLOSED","2014-12-23T12:10:50.000",NA,"21212",NA,NA,NA
NA,"BRENDAN AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-30T17:06:55.000","2014-11-09T17:06:55.000","BELAIR-EDISON","14-00736975","MD","CLOSED","2015-01-12T12:05:38.000",NA,"21213",NA,NA,NA
NA,"GUILFORD AVE &E FEDERAL ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-30T16:53:33.000","2014-11-09T16:53:33.000","GREENMOUNT WEST","14-00736920","MD","CLOSED","2014-10-01T17:29:36.000",NA,"21202",NA,NA,NA
"Dispatch lighting Inspector","2013  GRIFFIS AVE","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-25T14:57:09.000","2014-11-04T14:57:09.000","MORRELL PARK","14-00724707","MD","CLOSED","2014-10-24T18:26:47.000","2014-09-26T11:37:00.000","21230",NA,NA,NA
"Dispatch lighting Inspector","700 N LONGWOOD ST","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-24T19:00:12.000","2014-11-03T19:00:12.000","FRANKLINTOWN ROAD","14-00722475","MD","CLOSED","2014-09-26T12:34:52.000","2014-09-26T12:34:00.000","21216",NA,NA,NA
NA,"4806  PILGRIM RD","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-24T18:03:33.000","2014-11-03T18:03:33.000","LAURAVILLE","14-00722199","MD","CLOSED","2014-10-17T11:57:53.000",NA,"21214",NA,NA,NA
NA,"6000  MORAVIA PARK DR","BALTIMORE CITY","STREETL6","TRM-StLighting Inadequate/too bright","2014-09-24T15:20:06.000","2014-11-03T15:20:06.000","FRANKFORD","14-00721468","MD","CLOSED","2014-09-26T18:53:45.000",NA,"21206",NA,NA,NA
