"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","lon","lat"
"Dispatch Work Crew","1321 S HOWARD ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-04T23:50:37.000","2015-05-04T23:50:37.000","CARROLL - CAMDEN INDUSTRIAL AREA","No Trouble Found (Closed)","15-00348580","MD","CLOSED","2015-05-05T00:03:55.000","2015-05-05T00:03:00.000","21230",NA,NA
"Dispatch Work Crew","I 83 N &W NORTHERN PKWY","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-05-02T13:20:25.000","2015-05-02T13:20:25.000","CROSS KEYS","No Trouble Found (Closed)","15-00342915","MD","CLOSED","2015-05-06T00:21:35.000","2015-05-06T00:21:00.000","21210",NA,NA
"Dispatch Work Crew","ERDMAN AVE & I 895 S","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-30T17:26:30.000","2015-04-30T17:26:30.000","KRESSON","No Trouble Found (Closed)","15-00338681","MD","CLOSED","2015-04-30T18:34:33.000","2015-04-30T20:00:00.000","21205",NA,NA
NA,"I 83 S &W COLD SPRING LN","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-30T14:42:10.000","2015-04-30T14:42:10.000","WOODBERRY",NA,"15-00338044","MD","O-PENDNG","2015-05-02T11:54:54.000",NA,"21209",NA,NA
"Dispatch Work Crew","1600 W COLD SPRING LN","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-30T14:42:03.000","2015-04-30T14:42:03.000","CROSS KEYS","Debris Removed (Closed)","15-00338043","MD","CLOSED","2015-04-30T17:38:00.000","2015-04-30T17:37:00.000",NA,NA,NA
NA,"7 S CHAPEL ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-30T12:23:28.000","2015-04-30T12:23:28.000","WASHINGTON HILL",NA,"15-00337245","MD","CLOSED","2015-04-30T13:51:28.000",NA,"21231",NA,NA
"Dispatch Work Crew","I 83 N &W NORTHERN PKWY","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-29T15:00:30.000","2015-04-29T15:00:30.000","CROSS KEYS","Debris Removed (Closed)","15-00334548","MD","CLOSED","2015-04-29T15:41:11.000","2015-04-29T15:41:00.000","21210",NA,NA
"Dispatch Work Crew","I 83 S &W 29TH ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-29T14:44:49.000","2015-04-29T14:44:49.000","DRUID HILL PARK","Debris Removed (Closed)","15-00334490","MD","CLOSED","2015-04-29T16:19:19.000","2015-04-29T16:19:00.000","21211",NA,NA
"Dispatch Work Crew","199 S CALVERT ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-29T10:50:43.000","2015-04-29T10:50:43.000","INNER HARBOR","No Trouble Found (Closed)","15-00333487","MD","CLOSED","2015-04-29T14:45:42.000","2015-04-29T14:45:00.000","21202",NA,NA
"Dispatch Work Crew","5615  REISTERSTOWN RD","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-28T19:40:31.000","2015-04-28T19:40:31.000","GLEN","No Trouble Found (Closed)","15-00332382","MD","CLOSED","2015-04-28T21:08:41.000","2015-04-28T21:00:00.000","21215",NA,NA
"Dispatch Work Crew","5200  PERRING PKWY","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-28T10:39:01.000","2015-04-28T10:39:01.000","PERRING LOCH","Debris Removed (Closed)","15-00329929","MD","CLOSED","2015-04-28T13:55:44.000","2015-04-28T13:55:00.000","21239",NA,NA
"Dispatch Work Crew","751 W PATAPSCO AVE","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-27T12:26:11.000","2015-04-27T12:26:11.000","CHERRY HILL","Debris Removed (Closed)","15-00326682","MD","CLOSED","2015-04-27T16:43:42.000","2015-04-27T16:43:00.000","21230",NA,NA
"Dispatch Work Crew","1717  BYRD ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-26T22:46:56.000","2015-04-26T22:46:56.000","RIVERSIDE","No Trouble Found (Closed)","15-00326064","MD","CLOSED","2015-04-26T23:17:45.000","2015-04-26T23:17:00.000","21230",NA,NA
"Dispatch Work Crew","600  HILTON PKWY","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-25T18:13:13.000","2015-04-25T18:13:13.000","GWYNNS FALLS/LEAKIN PARK","No Trouble Found (Closed)","15-00324772","MD","CLOSED","2015-04-25T21:38:44.000","2015-04-25T21:38:00.000","21229",NA,NA
"Dispatch Work Crew","I 83 S & FALLS RD","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-25T18:08:10.000","2015-04-25T18:08:10.000","DRUID HILL PARK","No Trouble Found (Closed)","15-00324764","MD","CLOSED","2015-04-25T22:59:21.000","2015-04-25T22:59:00.000","21211",NA,NA
"Dispatch Work Crew","HILTON PKWY &N HILTON ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-25T16:40:07.000","2015-04-25T16:40:07.000","CARROLL-SOUTH HILTON","No Trouble Found (Closed)","15-00324614","MD","CLOSED","2015-04-26T20:40:25.000","2015-04-26T20:39:00.000","21229",NA,NA
"Dispatch Work Crew","I 83 N & I 83 N","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-25T09:59:07.000","2015-04-25T09:59:07.000","SABINA-MATTFELDT","No Trouble Found (Closed)","15-00323947","MD","CLOSED","2015-04-25T13:19:14.000","2015-04-25T13:18:00.000","21209",NA,NA
"Dispatch Work Crew","1400 W NORTHERN PKWY","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-23T22:40:29.000","2015-04-23T22:40:29.000","CROSS KEYS","Debris Removed (Closed)","15-00320761","MD","CLOSED","2015-04-24T01:43:33.000","2015-04-24T01:43:00.000","21209",NA,NA
"Dispatch Work Crew","600  TOLNA ST","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-22T22:09:29.000","2015-04-22T22:09:29.000","GREEKTOWN","Debris Removed (Closed)","15-00316844","MD","CLOSED","2015-04-23T01:56:16.000","2015-04-23T01:55:00.000","21224",NA,NA
"Dispatch Work Crew","3500  HICKORY AVE","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-22T20:21:42.000","2015-04-22T20:21:42.000","HAMPDEN","No Trouble Found (Closed)","15-00316648","MD","CLOSED","2015-04-25T00:28:54.000","2015-04-25T00:28:00.000","21211",NA,NA
"Dispatch Work Crew","5504  MATTFELDT AVE","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-22T20:18:17.000","2015-04-22T20:18:17.000","SABINA-MATTFELDT","Debris Removed (Closed)","15-00316644","MD","CLOSED","2015-04-23T00:15:30.000","2015-04-23T00:15:00.000","21209",NA,NA
"Dispatch Work Crew","E NORTHERN PKWY & YORK RD","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-22T17:02:47.000","2015-04-22T17:02:47.000","ROSEBANK","Debris Removed (Closed)","15-00315726","MD","CLOSED","2015-04-22T18:34:15.000","2015-04-22T18:34:00.000","21212",NA,NA
"Dispatch Work Crew","W COLD SPRING LN & I 83 S","BALTIMORE","ZTRMDEBR","TRM-Debris in Roadway","2015-04-22T16:01:12.000","2015-04-22T16:01:12.000","WOODBERRY","No Trouble Found (Closed)","15-00315393","MD","CLOSED","2015-04-23T01:53:04.000","2015-04-23T01:51:00.000","21209",NA,NA
