"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","i","lon","lat"
"5105  KENILWORTH AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-07T02:15:00.000","2014-08-11T02:15:00.000","KENILWORTH PARK","14-00587881","MD","CLOSED","2014-08-08T02:57:17.000","21212",NA,NA,NA,7,-76.599894,39.349566
"851  HOLLINS ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-07T01:40:56.000","2014-08-11T01:40:56.000","HOLLINS MARKET","14-00587875","MD","CLOSED","2014-08-07T02:15:05.000","21201",NA,NA,NA,7,-76.630387,39.287635
"851  HOLLINS ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-07T01:40:53.000","2014-08-11T01:40:53.000","HOLLINS MARKET","14-00587874","MD","CLOSED","2014-08-15T03:15:23.000","21201",NA,NA,NA,7,-76.630387,39.287635
"851  HOLLINS ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-07T01:30:55.000","2014-08-11T01:30:55.000","HOLLINS MARKET","14-00587871","MD","CLOSED","2014-08-07T01:39:15.000","21201",NA,NA,NA,7,-76.630387,39.287635
"900  BENNETT PL","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-07T00:51:49.000","2014-08-11T00:51:49.000","HARLEM PARK","14-00587842","MD","CLOSED","2014-08-11T02:19:04.000","21223",NA,NA,NA,7,-76.6324437,39.2951395
"4828  CARMINE AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-07T00:50:58.000","2014-08-11T00:50:58.000","FRANKLINTOWN","14-00587837","MD","CLOSED","2014-08-13T16:55:08.000","21207",NA,NA,NA,7,-76.7062745,39.3052697
"5619  WESLEY AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-07T00:25:09.000","2014-08-11T00:25:09.000","HOWARD PARK","14-00587797","MD","CLOSED","2014-08-07T04:05:13.000","21207",NA,NA,NA,7,-76.709898,39.333122
"3900  HADLEY SQ W","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-07T00:12:17.000","2014-08-11T00:12:17.000","GUILFORD","14-00587784","MD","DUPCLOSD","2014-08-07T12:53:53.000","21218",NA,NA,NA,7,-76.6170589,39.3359442
"1300 N WASHINGTON ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-07T00:08:52.000","2014-08-11T00:08:52.000","BROADWAY EAST","14-00587781","MD","CLOSED","2014-08-07T07:59:28.000","21213",NA,NA,NA,7,-76.590272,39.305642
"5600  WESLEY AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-07T00:04:59.000","2014-08-11T00:04:59.000","HOWARD PARK","14-00587777","MD","DUPCLOSD","2014-08-07T12:23:15.000","21207",NA,NA,NA,7,-76.7087144,39.3333889
"ST PAUL ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-06T23:54:59.000","2014-08-10T23:54:59.000","CHARLES VILLAGE","14-00587764","MD","CLOSED","2014-08-06T23:59:13.000","21218",NA,NA,NA,7,-76.6152994,39.3164108
"3818  EVERGREEN AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-06T23:25:17.000","2014-08-10T23:25:17.000","GLENHAM-BELFORD","14-00587724","MD","CLOSED","2014-08-07T06:05:11.000","21206",NA,NA,NA,7,-76.54846,39.346192
"5624  LOCH RAVEN BLVD","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-06T23:10:56.000","2014-08-10T23:10:56.000","WOODBOURNE HEIGHTS","14-00587696","MD","CLOSED","2014-08-07T04:35:39.000","21239",NA,NA,NA,7,-76.5889319,39.3593869
"6614  VINCENT LN","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-06T22:24:59.000","2014-08-10T22:24:59.000","REISTERSTOWN STATION","14-00587624","MD","CLOSED","2014-08-07T04:39:08.000","21215",NA,NA,NA,7,-76.7091859,39.3554763
"400  WHITRIDGE AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-06T21:33:25.000","2014-08-10T21:33:25.000","HARWOOD","14-00587543","MD","CLOSED","2014-08-07T03:29:51.000","21218",NA,NA,NA,7,-76.6109827,39.32173
"761 S WOODINGTON RD","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-06T21:01:06.000","2014-08-10T21:01:06.000","YALE HEIGHTS","14-00587470","MD","CLOSED","2014-08-07T07:55:11.000","21229",NA,NA,NA,7,-76.690791,39.273775
"5919  GLENOAK AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-06T20:36:31.000","2014-08-10T20:36:31.000","GLENHAM-BELFORD","14-00587417","MD","CLOSED","2014-08-07T05:55:10.000","21214",NA,NA,NA,7,-76.551592,39.353345
"319 S CATON AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-08-06T20:27:01.000","2014-08-10T20:27:01.000","GWYNNS FALLS","14-00587400","MD","CLOSED","2014-08-07T09:09:10.000","21229",NA,NA,NA,7,-76.6712693,39.2801474
