"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","i","lon","lat"
"Dispatch Work Crew","161 E RANDALL ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-17T00:05:58.000","2015-05-19T00:05:58.000","RIVERSIDE","Abated - Close SR","15-00385627","MD","CLOSED","2015-05-18T16:01:59.000","2015-05-18T16:01:00.000","21230",5,-76.60987,39.271524
"Dispatch Work Crew","1800  INVERNESS AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-06-26T12:15:28.000","2015-06-28T12:15:28.000","MORRELL PARK","Abated - Close SR","15-00500874","MD","CLOSED","2015-06-29T19:12:09.000","2015-06-29T19:11:00.000","21230",5,-76.6595818,39.2623085
"Dispatch Work Crew","2203  BRADDISH AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-06-16T17:02:25.000","2015-06-18T17:02:25.000","PANWAY/BRADDISH AVENUE","Abated - Close SR","15-00468745","MD","CLOSED","2015-06-16T17:47:39.000","2015-06-16T17:47:00.000","21216",5,-76.6610539,39.3127039
"Dispatch Work Crew","4200  BOSTON ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-06-28T13:27:11.000","2015-06-30T13:27:11.000","CANTON INDUSTRIAL AREA","Abated - Close SR","15-00504998","MD","CLOSED","2015-06-29T18:21:39.000","2015-06-29T18:21:00.000","21224",5,-76.560162,39.277982
"Dispatch Work Crew","6300  WEIDNER AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-06-29T14:38:39.000","2015-07-01T14:38:39.000","LAKE WALKER","Abated - Close SR","15-00507812","MD","CLOSED","2015-06-30T18:42:42.000","2015-06-30T18:41:00.000","21212",5,-76.605251,39.370384
NA,"WALKER AVE & YORK RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-29T10:07:27.000","2015-05-31T10:07:27.000","CEDARCROFT",NA,"15-00418816","MD","CLOSED","2015-05-29T15:36:21.000",NA,"21212",5,-99.0768073,38.8383546
"Dispatch Work Crew","3917  FALLS RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-26T01:27:31.000","2015-05-28T01:27:31.000","HAMPDEN","Abated - Close SR","15-00406562","MD","CLOSED","2015-05-26T17:10:57.000","2015-05-26T17:10:00.000","21211",5,-76.636059,39.33573
"Dispatch Work Crew","5500  GREENSPRING AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-06-19T21:42:39.000","2015-06-21T21:42:39.000","MOUNT WASHINGTON","Abated - Close SR","15-00480948","MD","CLOSED","2015-06-22T18:17:04.000","2015-06-22T18:17:00.000","21209",5,-76.666529,39.35776
"Dispatch Work Crew","4512  YORK RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-07-23T19:50:20.000","2015-07-25T19:50:20.000","GUILFORD","Abated - Close SR","15-00583359","MD","CLOSED","2015-07-24T14:44:33.000","2015-07-24T14:43:00.000",NA,5,-76.6098024,39.3440554
"Dispatch Work Crew","2123  SIDNEY AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-31T22:55:32.000","2015-06-02T22:55:32.000","WESTPORT","Abated - Close SR","15-00424744","MD","CLOSED","2015-06-01T17:40:13.000","2015-06-01T17:39:00.000","21230",5,-76.631986,39.264171
"Dispatch Work Crew","3200  PRESSTMAN ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-21T19:39:35.000","2015-05-23T19:39:35.000","ROSEMONT","Abated - Close SR","15-00399893","MD","CLOSED","2015-05-22T18:27:54.000","2015-05-22T18:27:00.000","21216",5,-76.670866,39.304608
