"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","i","lon","lat"
"507  DRURY LN","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-31T03:51:07.000","2015-08-04T03:51:07.000","TEN HILLS","15-00605399","MD","CLOSED","2015-07-31T13:36:04.000","21229",NA,NA,NA,8,-76.703998,39.289828
"1200 W NORTH AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-01T13:12:38.000","2015-06-05T13:12:38.000","PENN NORTH","15-00425666","MD","CLOSED","2015-06-03T06:29:17.000","21217",NA,NA,NA,8,-76.6373145,39.3104844
"6605  BELAIR RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-11T12:26:38.000","2015-06-15T12:26:38.000","CEDMONT","15-00454317","MD","CLOSED","2015-06-15T15:38:08.000","21206",NA,NA,NA,8,-76.5311704,39.3540819
"1200 E BELVEDERE AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-29T07:31:00.000","2015-06-02T07:31:00.000","RAMBLEWOOD","15-00418538","MD","CLOSED","2015-05-30T02:43:59.000","21239",NA,NA,NA,8,-76.5938869,39.3609734
"800 N PAYSON ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-27T00:24:04.000","2015-07-01T00:24:04.000","MIDTOWN-EDMONDSON","15-00503137","MD","CLOSED","2015-06-29T02:35:34.000","21217",NA,NA,NA,8,-76.649456,39.297806
"2900 E FAYETTE ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-21T11:52:58.000","2015-05-25T11:52:58.000","ELLWOOD PARK/MONUMENT","15-00398050","MD","DUPCLOSD","2015-05-22T05:53:23.000","21224",NA,NA,NA,8,-76.5758059,39.2948133
"3615  LIBERTY HEIGHTS AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-10T05:50:10.000","2015-06-14T05:50:10.000","FOREST PARK","15-00450418","MD","CLOSED","2015-06-10T05:56:39.000","21215",NA,NA,NA,8,-76.677316,39.325524
"3800 S HANOVER ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-18T12:35:14.000","2015-05-22T12:35:14.000","BROOKLYN","15-00387830","MD","CLOSED","2015-05-20T03:59:01.000","21225",NA,NA,NA,8,-76.610891,39.236572
"W 41ST ST & GIRARD AVE, BALTIMORE, MD, 2",NA,"BGESTLI1","BGE-StLight(s) Out","2015-07-16T11:44:02.000","2015-07-20T11:44:02.000","WOODBERRY","15-00559843","MD","CLOSED","2015-07-17T02:55:57.000",NA,NA,NA,NA,8,-92.9561852,47.3999984
"5100  FALLS RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-08T12:43:47.000","2015-07-12T12:43:47.000","CROSS KEYS","15-00534487","MD","CLOSED","2015-07-09T08:10:36.000","21210",NA,NA,NA,8,-76.6460151,39.3557092
"3129  SUMTER AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-15T00:33:17.000","2015-07-19T00:33:17.000","CENTRAL PARK HEIGHTS","15-00555272","MD","CLOSED","2015-07-15T08:50:54.000","21215",NA,NA,NA,8,-76.667368,39.34191
"2500  WILKENS AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-13T09:26:29.000","2015-05-17T09:26:29.000","MILLHILL","15-00373274","MD","CLOSED","2015-05-18T13:19:50.000","21223",NA,NA,NA,8,-76.6544399,39.27972
"2913  MONTEBELLO TER","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-13T12:19:55.000","2015-05-17T12:19:55.000","LAURAVILLE","15-00374093","MD","CLOSED","2015-05-14T05:54:47.000","21214",NA,NA,NA,8,-76.5735,39.340338
"4132  EDMONDSON AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-26T07:10:18.000","2015-05-30T07:10:18.000","EDMONDSON VILLAGE","15-00406631","MD","CLOSED","2015-05-26T08:53:33.000","21229",NA,NA,NA,8,-76.685685,39.293934
"2800 W NORTH AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-09T12:05:56.000","2015-07-13T12:05:56.000","WALBROOK","15-00538180","MD","NEW","2015-07-09T12:09:07.000","21216",NA,NA,NA,8,-76.664179,39.30946
"3100  BOSTON ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-30T13:42:49.000","2015-07-04T13:42:49.000","CANTON","15-00512353","MD","CLOSED","2015-07-01T03:10:18.000","21224",NA,NA,NA,8,-76.5713122,39.2776203
"2000 S HANOVER ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-18T12:38:47.000","2015-05-22T12:38:47.000","PORT COVINGTON","15-00387858","MD","CLOSED","2015-05-20T04:29:29.000",NA,NA,NA,NA,8,-76.6148482,39.2662971
"900  FLEET ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-30T13:13:03.000","2015-07-04T13:13:03.000","INNER HARBOR","15-00512126","MD","CLOSED","2015-07-01T09:25:39.000","21202",NA,NA,NA,8,-76.60096,39.284584
"N DURHAM ST & E LAFAYETTE AVE, BALTIMORE",NA,"BGESTLI1","BGE-StLight(s) Out","2015-07-29T13:31:53.000","2015-08-02T13:31:53.000","BROADWAY EAST","15-00599492","MD","CLOSED","2015-07-30T09:50:22.000",NA,NA,NA,NA,8,-101.36705,37.5855913
"3309  MARY AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-14T02:03:14.000","2015-07-18T02:03:14.000","GLENHAM-BELFORD","15-00551578","MD","CLOSED","2015-07-15T06:45:54.000","21214",NA,NA,NA,8,-76.552783,39.352281
"100 W MONUMENT ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-18T03:41:18.000","2015-05-22T03:41:18.000","MOUNT VERNON","15-00386920","MD","CLOSED","2015-05-18T03:48:52.000","21201",NA,NA,NA,8,-76.617605,39.2975854
"5200  DARIEN RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-19T00:17:57.000","2015-06-23T00:17:57.000","CEDONIA","15-00477619","MD","CLOSED","2015-06-20T06:20:15.000","21206",NA,NA,NA,8,-76.5317895,39.3267729
"1637  CHILTON ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-22T02:16:44.000","2015-07-26T02:16:44.000","COLDSTREAM HOMESTEAD MONTEBELLO","15-00576268","MD","CLOSED","2015-07-22T03:05:11.000","21218",NA,NA,NA,8,-76.59258,39.327315
"6112  CHINQUAPIN PKWY","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-20T02:00:28.000","2015-07-24T02:00:28.000","GLEN OAKS","15-00568885","MD","CLOSED","2015-07-21T06:51:18.000","21239",NA,NA,NA,8,-76.59934,39.367313
