"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","i","lon","lat"
"BROOKWOOD RD & BRIARCLIFT RD","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T18:02:09.000","2014-09-29T18:02:09.000","HUNTING RIDGE","14-00725502","MD","CLOSED","2014-09-26T03:25:04.000","21229",NA,NA,NA,6,-86.7295838,33.4927765
"428  CHURCH LN","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T17:24:58.000","2014-09-29T17:24:58.000","ROLAND PARK","14-00725375","MD","CLOSED","2014-10-01T09:04:58.000","21210",NA,NA,NA,6,-76.6341622,39.3502588
"2600  LEHMAN ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T17:23:14.000","2014-09-29T17:23:14.000","MILLHILL","14-00725370","MD","CLOSED","2014-09-26T02:34:58.000","21223",NA,NA,NA,6,-76.657156,39.281355
"2600 N DUKELAND ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T17:22:54.000","2014-09-29T17:22:54.000","HANLON-LONGWOOD","14-00725368","MD","CLOSED","2014-09-26T04:34:31.000","21216",NA,NA,NA,6,-76.6650598,39.3180007
"4800  YELLOWWOOD AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T17:21:19.000","2014-09-29T17:21:19.000","COLDSPRING","14-00725363","MD","CLOSED","2014-09-26T07:09:02.000","21209",NA,NA,NA,6,-76.6589018,39.347092
"2401 W BELVEDERE AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T16:51:10.000","2014-09-29T16:51:10.000","LEVINDALE","14-00725246","MD","CLOSED","2014-09-26T06:44:55.000","21209",NA,NA,NA,6,-76.6620952,39.352541
"800  EDMONDSON AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T16:13:26.000","2014-09-29T16:13:26.000","UPTON","14-00725040","MD","DUPCLOSD","2014-09-26T12:23:00.000","21201",NA,NA,NA,6,-76.6308352,39.2961646
"1032  VALLEY ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T15:44:56.000","2014-09-29T15:44:56.000","JOHNSTON SQUARE","14-00724930","MD","CLOSED","2014-09-26T15:45:00.000","21202",NA,NA,NA,6,-76.605219,39.302137
"1022  VALLEY ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T15:30:56.000","2014-09-29T15:30:56.000","JOHNSTON SQUARE","14-00724864","MD","DUPCLOSD","2014-09-26T12:32:59.000","21202",NA,NA,NA,6,-76.6052069,39.301932
"216 N GLOVER ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T14:47:46.000","2014-09-29T14:47:46.000","MCELDERRY PARK","14-00724681","MD","CLOSED","2014-09-26T07:08:58.000","21224",NA,NA,NA,6,-76.580128,39.295164
"5300  WESLEY AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T14:42:10.000","2014-09-29T14:42:10.000","HOWARD PARK","14-00724644","MD","CLOSED","2014-09-26T05:48:58.000","21207",NA,NA,NA,6,-76.7043776,39.3318687
"3100  BOWERS AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T14:39:46.000","2014-09-29T14:39:46.000","HOWARD PARK","14-00724641","MD","CLOSED","2014-09-26T05:58:55.000","21207",NA,NA,NA,6,-76.7091035,39.3298281
"4300  PULASKI HWY","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T14:38:26.000","2014-09-29T14:38:26.000","KRESSON","14-00724634","MD","CLOSED","2014-09-26T06:34:55.000","21224",NA,NA,NA,6,-76.5612727,39.2984194
"3700  PULASKI HWY","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T14:36:59.000","2014-09-29T14:36:59.000","ORANGEVILLE","14-00724631","MD","CLOSED","2014-09-26T06:48:57.000","21224",NA,NA,NA,6,-76.566599,39.296753
"650 S EXETER ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T14:10:49.000","2014-09-29T14:10:49.000","INNER HARBOR","14-00724502","MD","CLOSED","2014-09-26T07:04:58.000","21202",NA,NA,NA,6,-76.6003226,39.283637
"2208  CHELSEA TER","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T14:00:56.000","2014-09-29T14:00:56.000","MOUNT HOLLY","14-00724455","MD","CLOSED","2014-09-26T04:09:01.000","21216",NA,NA,NA,6,-76.681372,39.313598
"3804  MOHAWK AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T13:46:33.000","2014-09-29T13:46:33.000","HOWARD PARK","14-00724389","MD","CLOSED","2014-09-26T05:24:58.000","21207",NA,NA,NA,6,-76.691424,39.3342669
"1700  FRANKFURST AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-24T04:24:46.000","2014-09-28T04:24:46.000","FAIRFIELD AREA","14-00719593","MD","CLOSED","2014-09-24T04:55:01.000","21226",NA,NA,NA,6,-76.5759347,39.2462994
"1926 E FAYETTE ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T12:40:50.000","2014-09-29T12:40:50.000","MIDDLE EAST","14-00723988","MD","CLOSED","2014-09-26T09:04:59.000","21231",NA,NA,NA,6,-76.5898112,39.2941233
"3200  BRIGHTON ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T12:21:06.000","2014-09-29T12:21:06.000","ROSEMONT","14-00723896","MD","DUPCLOSD","2014-09-26T12:13:00.000","21216",NA,NA,NA,6,-76.671137,39.305284
"3000  HURON ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T12:16:15.000","2014-09-29T12:16:15.000","LAKELAND","14-00723872","MD","CLOSED","2014-09-26T07:39:16.000","21230",NA,NA,NA,6,-76.6503929,39.255304
"100 N LIBERTY ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-09-25T12:11:16.000","2014-09-29T12:11:16.000","DOWNTOWN","14-00723851","MD","CLOSED","2014-09-29T06:44:59.000","21201",NA,NA,NA,6,-76.6176876,39.2905021
