"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","i","lon","lat"
"2800 E NORTHERN PKWY","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-12T02:05:52.000","2015-05-16T02:05:52.000","NORTH HARFORD ROAD","15-00369391","MD","DUPCLOSD","2015-05-12T02:27:45.000","21214",NA,NA,NA,1,-76.556188,39.365161
"LOCH RAVEN BLVD & HAVENWOOD RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-12T00:08:43.000","2015-05-16T00:08:43.000","NEW NORTHWOOD","15-00369328","MD","DUPCLOSD","2015-05-12T04:13:19.000","21218",NA,NA,NA,1,-76.5859898,39.3650581
"1723  HARTSDALE RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-12T00:07:53.000","2015-05-16T00:07:53.000","PERRING LOCH","15-00369327","MD","CLOSED","2015-05-12T03:53:02.000","21239",NA,NA,NA,1,-76.5834859,39.349886
"OLD YORK RD &E 43RD ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-11T23:59:48.000","2015-05-15T23:59:48.000","PEN LUCY","15-00369315","MD","CLOSED","2015-05-12T03:24:37.000","21212",NA,NA,NA,1,-75.1325966,40.0722441
"1900 W FAYETTE ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-11T18:12:17.000","2015-05-15T18:12:17.000","PENROSE/FAYETTE STREET OUTREACH","15-00368321","MD","CLOSED","2015-05-12T04:03:13.000","21223",NA,NA,NA,1,-76.6471628,39.2896678
"4038  HILLEN RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-11T16:23:59.000","2015-05-15T16:23:59.000","HILLEN","15-00367829","MD","DUPCLOSD","2015-05-12T04:13:21.000","21218",NA,NA,NA,1,-76.5884986,39.339346
"3412  AUCHENTOROLY TER","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-11T15:37:02.000","2015-05-15T15:37:02.000","PARKVIEW/WOODBROOK","15-00367557","MD","CLOSED","2015-05-12T04:47:53.000","21217",NA,NA,NA,1,-76.648726,39.318715
"5214  HILLWELL RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-11T13:46:12.000","2015-05-15T13:46:12.000","WESTGATE","15-00367042","MD","CLOSED","2015-05-12T04:53:55.000","21229",NA,NA,NA,1,-76.7026829,39.282147
"2033 W SARATOGA ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-11T13:46:10.000","2015-05-15T13:46:10.000","PENROSE/FAYETTE STREET OUTREACH","15-00367041","MD","CLOSED","2015-05-12T04:29:32.000","21223",NA,NA,NA,1,-76.650121,39.291666
"3215  BERKSHIRE RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-11T13:39:39.000","2015-05-15T13:39:39.000","ARCADIA","15-00367013","MD","DUPCLOSD","2015-05-12T04:27:33.000","21214",NA,NA,NA,1,-76.568774,39.334923
"300 E 33RD ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-11T12:34:30.000","2015-05-15T12:34:30.000","OAKENSHAWE","15-00366654","MD","CLOSED","2015-05-12T03:08:34.000","21218",NA,NA,NA,1,-76.613394,39.328553
"1200 E 33RD ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-11T12:33:22.000","2015-05-15T12:33:22.000","EDNOR GARDENS-LAKESIDE","15-00366652","MD","CLOSED","2015-05-12T02:58:47.000","21218",NA,NA,NA,1,-76.599048,39.328732
"1500 E 33RD ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-11T12:32:34.000","2015-05-15T12:32:34.000","EDNOR GARDENS-LAKESIDE","15-00366646","MD","DUPCLOSD","2015-05-11T14:48:44.000","21218",NA,NA,NA,1,-76.5942122,39.3285076
