"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","i","lon","lat"
"548 E NORTHERN PKWY","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-04-28T19:43:52.000","2015-04-29T19:43:52.000","CHINQUAPIN PARK-BELVEDERE","15-00332419","MD","CLOSED","2015-05-08T11:28:57.000","21212",NA,NA,NA,1,-76.6075229,39.3649063
"N FRANKLINTOWN RD","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-29T14:42:47.000","2015-03-30T14:42:47.000","PENROSE/FAYETTE STREET OUTREACH","15-00246989","MD","CLOSED","2015-04-14T12:07:48.000","21223","Dispatch Work Crew","Abated - Close SR","2015-04-14T12:07:00.000",1,-76.6869435,39.3047184
"1700  ARGONNE DR","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-29T11:42:10.000","2015-03-30T11:42:10.000","MORGAN STATE UNIVERSITY","15-00246739","MD","CLOSED","2015-04-14T12:02:22.000","21251",NA,NA,NA,1,-76.5845275,39.3430838
"5037  FREDERICK AVE","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-29T11:12:31.000","2015-03-30T11:12:31.000","BEECHFIELD","15-00246712","MD","CLOSED","2015-04-14T12:09:14.000","21229","Dispatch Work Crew","Abated - Close SR","2015-04-14T12:00:00.000",1,-76.6983932,39.2810673
"LOCH RAVEN RD &E 25TH ST","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-29T10:19:58.000","2015-03-30T10:19:58.000","BETTER WAVERLY","15-00246690","MD","CLOSED","2015-04-14T12:04:38.000","21218","Dispatch Work Crew","Abated - Close SR","2015-04-14T12:03:00.000",1,-76.603584,39.3215719
"2800  FALLS RD","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-29T10:09:09.000","2015-03-30T10:09:09.000","JONES FALLS AREA","15-00246685","MD","CLOSED","2015-04-13T19:24:05.000","21217","Dispatch Work Crew","Abated - Close SR","2015-04-13T19:24:00.000",1,-76.6279124,39.3190157
"2600  JEFFERSON ST","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-29T07:53:31.000","2015-03-30T07:53:31.000","MCELDERRY PARK","15-00246657","MD","CLOSED","2015-03-29T08:53:34.000","21205",NA,NA,NA,1,-76.5803396,39.2969793
"2120  EASTERN AVE","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-29T02:29:44.000","2015-03-30T02:29:44.000","UPPER FELLS POINT","15-00246625","MD","CLOSED","2015-03-29T03:51:15.000","21231",NA,NA,NA,1,-76.5861213,39.2860741
"HILLEN RD &E 33RD ST","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-25T10:29:20.000","2015-03-26T10:29:20.000","COLDSTREAM HOMESTEAD MONTEBELLO","15-00234549","MD","CLOSED","2015-04-14T12:05:43.000","21218","Dispatch Work Crew","Abated - Close SR","2015-04-14T12:05:00.000",1,-76.5816433,39.3595487
"PLAINFIELD AVE & FRANKFORD AVE","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-23T10:36:50.000","2015-03-24T10:36:50.000","FRANKFORD","15-00227415","MD","CLOSED","2015-04-14T12:07:29.000","21206","Dispatch Work Crew","Abated - Close SR","2015-04-14T12:07:00.000",1,-74.4312205,40.6644629
"400 W 28TH ST","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-20T17:12:32.000","2015-03-21T17:12:32.000","REMINGTON","15-00223082","MD","CLOSED","2015-03-20T19:36:57.000","21211","Dispatch Work Crew","Abated - Close SR","2015-03-20T19:36:00.000",1,-76.6226917,39.3206952
"5600  CADILLAC AVE","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-20T12:29:09.000","2015-03-21T12:29:09.000","GROVE PARK","15-00221969","MD","CLOSED","2015-03-20T19:38:02.000","21207","Dispatch Work Crew","Abated - Close SR","2015-03-20T19:37:00.000",1,-76.702741,39.338969
"1500  LOCHWOOD RD","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-20T11:08:38.000","2015-03-21T11:08:38.000","HILLEN","15-00221601","MD","CLOSED","2015-03-20T12:21:12.000","21218","Dispatch Work Crew","Abated - Close SR","2015-03-20T12:21:00.000",1,-76.591894,39.342965
"700  VINE ST","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-02T09:08:21.000","2015-03-03T09:08:21.000","POPPLETON","15-00158156","MD","CLOSED","2015-03-02T14:39:47.000","21201",NA,NA,NA,1,-76.628397,39.2907917
"GREENSPRING AVE & CROSS COUNTRY BLVD","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-13T11:11:00.000","2015-03-14T11:11:00.000","MOUNT WASHINGTON","15-00198280","MD","CLOSED","2015-03-16T17:33:53.000","21209","Dispatch Work Crew","Abated - Close SR","2015-03-16T17:33:00.000",1,-76.6882923,39.3966579
"1020 N ARLINGTON AVE","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-12T12:45:45.000","2015-03-13T12:45:45.000","SANDTOWN-WINCHESTER","15-00194022","MD","CLOSED","2015-03-16T17:30:08.000","21217","Dispatch Work Crew","Abated - Close SR","2015-03-16T17:30:00.000",1,-76.636312,39.301057
"W NORTH AVE & PARK AVE","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-11T03:28:44.000","2015-03-12T03:28:44.000","RESERVOIR HILL","15-00188915","MD","CLOSED","2015-03-11T11:17:48.000","21217","Storm Center","HCD-Snow and Ice on sidewalks","2015-03-11T11:17:00.000",1,-87.8106306,41.9087923
"2920  GUILFORD AVE","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-10T18:39:26.000","2015-03-11T18:39:26.000","CHARLES VILLAGE","15-00187747","MD","CLOSED","2015-03-11T11:19:35.000","21218","Storm Center","HCD-Snow and Ice on sidewalks","2015-03-11T11:19:00.000",1,-76.613625,39.323981
"1431  BANK ST","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-10T18:25:12.000","2015-03-11T18:25:12.000","FELLS POINT","15-00187681","MD","CLOSED","2015-03-11T11:21:46.000","21231","Storm Center","HCD-Snow and Ice on sidewalks","2015-03-11T11:21:00.000",1,-76.5973379,39.286218
"2007 E NORTH AVE","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-10T13:38:22.000","2015-03-11T13:38:22.000","BROADWAY EAST","15-00185980","MD","CLOSED","2015-03-10T15:03:08.000","21213","Dispatch Work Crew","Abated - Close SR","2015-03-10T15:03:00.000",1,-76.590107,39.312087
"4500 N FRANKLINTOWN RD","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-10T11:27:13.000","2015-03-11T11:27:13.000","GWYNNS FALLS/LEAKIN PARK","15-00185069","MD","CLOSED","2015-03-10T14:25:13.000","21229","Dispatch Work Crew","Abated - Close SR","2015-03-10T14:25:00.000",1,-76.6956778,39.3014953
"4700  GREENSPRING AVE","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-10T11:09:35.000","2015-03-11T11:09:35.000","CYLBURN","15-00184981","MD","CLOSED","2015-03-12T12:01:01.000","21209","Dispatch Work Crew","Abated - Close SR","2015-03-12T12:00:00.000",1,-76.6594318,39.3452399
"3905  FLEET ST","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-10T10:15:58.000","2015-03-11T10:15:58.000","BREWERS HILL","15-00184850","MD","CLOSED","2015-03-10T11:37:48.000","21224","Create Linked SR","HCD-Snow and Ice on sidewalks","2015-03-10T11:37:00.000",1,-76.563963,39.285528
"N FRANKLINTOWN RD","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-10T09:39:21.000","2015-03-11T09:39:21.000","PENROSE/FAYETTE STREET OUTREACH","15-00184800","MD","CLOSED","2015-03-10T14:30:25.000","21223","Dispatch Work Crew","Abated - Close SR","2015-03-10T14:30:00.000",1,-76.6869435,39.3047184
"2824  FOREST VIEW AVE","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-06T11:54:28.000","2015-03-07T11:54:28.000","LAURAVILLE","15-00172860","MD","DUPCLOSD","2015-03-06T18:19:31.000","21214",NA,NA,NA,1,-76.577072,39.340987
"1043 W 41ST ST","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-06T10:58:32.000","2015-03-07T10:58:32.000","HAMPDEN","15-00172443","MD","CLOSED","2015-03-06T21:53:28.000","21211",NA,NA,NA,1,-76.6351523,39.3376099
"6200  ELMBANK AVE","MOUNT WASHINGTON","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-06T10:28:41.000","2015-03-07T10:28:41.000","MOUNT WASHINGTON","15-00172233","MD","CLOSED","2015-03-06T19:11:47.000","21209",NA,NA,NA,1,-76.6602552,39.371248
"4000  ELSA TER","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-06T17:34:35.000","2015-03-07T17:34:35.000","HAMPDEN","15-00174870","MD","CLOSED","2015-03-06T22:06:04.000","21211",NA,NA,NA,1,-76.6377981,39.3364948
"2300  MARYLAND AVE","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-06T03:39:39.000","2015-03-07T03:39:39.000","CHARLES VILLAGE","15-00171716","MD","DUPCLOSD","2015-03-06T18:10:32.000","21218",NA,NA,NA,1,-76.6182085,39.3152317
"4713  AMBERLEY AVE","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-06T13:02:44.000","2015-03-07T13:02:44.000","TREMONT","15-00173440","MD","CLOSED","2015-03-06T19:39:30.000","21229",NA,NA,NA,1,-76.6935176,39.281993
"3700  CHESMONT AVE","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-06T13:02:13.000","2015-03-07T13:02:13.000","WALTHERSON","15-00173437","MD","CLOSED","2015-03-06T17:29:39.000","21206",NA,NA,NA,1,-76.5578712,39.341195
"35 N POTOMAC ST","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-03-09T21:24:29.000","2015-03-10T21:24:29.000","BALTIMORE-LINWOOD","15-00184168","MD","CLOSED","2015-03-10T11:39:08.000","21224","Create Linked SR","HCD-Snow and Ice on sidewalks","2015-03-10T11:39:00.000",1,-76.574592,39.293275
