"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","i","lon","lat"
"LEEDS ST &S HILTON ST","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-01-11T11:30:22.000","2015-01-12T11:30:22.000","SAINT JOSEPHS","15-00023344","MD","CLOSED","2015-01-12T11:39:02.000","21229",NA,NA,NA,3,-86.5444288,33.5481597
"1500  NORTHWICK RD","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-01-11T09:42:16.000","2015-01-12T09:42:16.000","HILLEN","15-00023279","MD","CLOSED","2015-01-11T15:08:35.000","21218","Dispatch Work Crew","Abated - Close SR","2015-01-11T15:00:00.000",3,-76.591738,39.34379
"5800  WOODCREST AVE","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-01-11T08:26:58.000","2015-01-12T08:26:58.000","MOUNT WASHINGTON","15-00023270","MD","CLOSED","2015-01-11T13:32:22.000","21215","Dispatch Work Crew","Abated - Close SR","2015-01-11T13:32:00.000",3,-76.677871,39.358966
"2600  ORLEANS ST","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-01-11T04:38:51.000","2015-01-12T04:38:51.000","MCELDERRY PARK","15-00023260","MD","CLOSED","2015-01-11T13:33:43.000","21224","Dispatch Work Crew","Abated - Close SR","2015-01-11T13:33:00.000",3,-76.580263,39.2958836
"GELSTON DR AND WALNUT AVE","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-01-11T04:11:34.000","2015-01-12T04:11:34.000","GWYNNS FALLS/LEAKIN PARK","15-00023259","MD","CLOSED","2015-01-11T13:33:03.000","21229","Dispatch Work Crew","Abated - Close SR","2015-01-11T13:33:00.000",3,-76.6877732,39.2942321
"5400  SAGRA RD","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-01-11T02:42:44.000","2015-01-12T02:42:44.000","WOODBOURNE HEIGHTS","15-00023246","MD","CLOSED","2015-01-11T03:00:51.000","21239","Dispatch Work Crew","Abated - Close SR","2015-01-11T03:00:00.000",3,-76.592697,39.354757
"N GLOVER ST & ORLEANS ST","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-01-11T02:35:41.000","2015-01-12T02:35:41.000","BROOKLYN","15-00023244","MD","DUPCLOSD","2015-01-11T03:02:17.000","21205",NA,NA,NA,3,-99.9098223,34.6881226
"2600  ORLEANS ST","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-01-11T00:28:55.000","2015-01-12T00:28:55.000","MCELDERRY PARK","15-00023207","MD","CLOSED","2015-01-11T03:02:18.000","21224","Dispatch Work Crew","Abated - Close SR","2015-01-11T03:02:00.000",3,-76.580263,39.2958836
"4  HILLSIDE RD","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-01-10T21:42:56.000","2015-01-11T21:42:56.000","ROLAND PARK","15-00023104","MD","CLOSED","2015-01-11T03:03:00.000","21210","Dispatch Work Crew","Abated - Close SR","2015-01-11T03:02:00.000",3,-76.6398055,39.3488682
"4014  DEEPWOOD RD","BALTIMORE","ICYCONDI","TRM-Snow/Icy Conditions","2015-01-10T20:48:28.000","2015-01-11T20:48:28.000","ORIGINAL NORTHWOOD","15-00023075","MD","CLOSED","2015-01-11T03:03:54.000","21218","Dispatch Work Crew","Abated - Close SR","2015-01-11T03:03:00.000",3,-76.598348,39.337923
