"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","i","lon","lat"
"326  HORNEL ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-28T14:57:27.000","2015-07-02T14:57:27.000","JOSEPH LEE","15-00505123","MD","CLOSED","2015-06-29T08:16:49.000","21224",NA,NA,NA,9,-76.540374,39.289843
"5502  ADLEIGH AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-30T14:38:31.000","2015-07-04T14:38:31.000","FRANKFORD","15-00512639","MD","CLOSED","2015-07-02T15:26:05.000","21206",NA,NA,NA,9,-76.544488,39.3373459
"5110  NORWOOD AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-11T01:38:10.000","2015-07-15T01:38:10.000","HOWARD PARK","15-00544720","MD","CLOSED","2015-07-14T02:55:06.000","21212",NA,NA,NA,9,-76.7022363,39.3289549
"2107  CHRISTIAN ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-13T19:01:10.000","2015-05-17T19:01:10.000","CARROLLTON RIDGE","15-00376080","MD","CLOSED","2015-05-14T08:22:54.000","21223",NA,NA,NA,9,-76.6499177,39.2814894
"816 W 33RD ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-12T02:45:31.000","2015-06-16T02:45:31.000","HAMPDEN","15-00456984","MD","CLOSED","2015-06-12T02:51:57.000","21211",NA,NA,NA,9,-76.629944,39.32721
"3500  WINDSOR MILL RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-17T12:24:46.000","2015-06-21T12:24:46.000","MOUNT HOLLY","15-00471290","MD","CLOSED","2015-06-18T15:06:52.000","21216",NA,NA,NA,9,-76.677704,39.3121862
"4044  BOARMAN AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-01T15:49:34.000","2015-07-05T15:49:34.000","DORCHESTER","15-00516849","MD","CLOSED","2015-07-02T07:41:44.000","21215",NA,NA,NA,9,-76.686815,39.334383
"205 E 32ND ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-01T03:14:21.000","2015-06-05T03:14:21.000","CHARLES VILLAGE","15-00424878","MD","DUPCLOSD","2015-06-02T09:23:45.000","21218",NA,NA,NA,9,-76.614025,39.326773
"0  UPLANDS PKWY","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-08-03T15:48:34.000","2015-08-07T15:48:34.000","UPLANDS","15-00613101","MD","DUPOPEN","2015-08-03T15:48:34.000","21229",NA,NA,NA,9,-76.6963344,39.2888494
"5000  WESTHILLS RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-27T17:02:20.000","2015-05-31T17:02:20.000","WEST HILLS","15-00413006","MD","CLOSED","2015-05-28T05:03:57.000","21229",NA,NA,NA,9,-76.709529,39.295675
"2300  SAINT PAUL ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-27T14:14:00.000","2015-07-31T14:14:00.000","CHARLES VILLAGE","15-00592979","MD","CLOSED","2015-07-28T08:35:11.000","21218",NA,NA,NA,9,-76.615684,39.315624
"3025 E MONUMENT ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-08T02:54:33.000","2015-07-12T02:54:33.000","ELLWOOD PARK/MONUMENT","15-00533378","MD","CLOSED","2015-07-09T07:50:13.000","21205",NA,NA,NA,9,-76.574271,39.2989729
"3563  DUDLEY AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-04T03:39:40.000","2015-07-08T03:39:40.000","BELAIR-EDISON","15-00524232","MD","CLOSED","2015-07-06T08:41:11.000","21213",NA,NA,NA,9,-76.562128,39.320346
"2019 W NORTH AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-24T12:56:32.000","2015-06-28T12:56:32.000","EASTERWOOD","15-00492263","MD","CLOSED","2015-06-25T03:26:00.000","21217",NA,NA,NA,9,-76.650497,39.309436
"1718  THAMES ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-15T15:35:55.000","2015-05-19T15:35:55.000","FELLS POINT","15-00382719","MD","DUPCLOSD","2015-05-16T09:03:26.000","21231",NA,NA,NA,9,-76.591898,39.2820689
"200 N LIBERTY ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-26T13:29:20.000","2015-06-30T13:29:20.000","DOWNTOWN","15-00501205","MD","CLOSED","2015-06-27T01:49:53.000","21201",NA,NA,NA,9,-76.6168198,39.292355
"N PACA ST & W LEXINGTON ST, BALTIMORE, M",NA,"BGESTLI1","BGE-StLight(s) Out","2015-08-03T13:19:59.000","2015-08-07T13:19:59.000","DOWNTOWN","15-00611574","MD","CLOSED","2015-08-04T10:06:55.000",NA,NA,NA,NA,9,-76.622569,39.2938127
"2816  WEGWORTH LN","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-05-15T06:15:31.000","2015-05-19T06:15:31.000","LAKELAND","15-00380795","MD","CLOSED","2015-05-15T06:23:08.000","21230",NA,NA,NA,9,-76.6406848,39.2535882
"1115  ORLEANS ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-01T14:20:42.000","2015-07-05T14:20:42.000","PLEASANT VIEW GARDENS","15-00516435","MD","CLOSED","2015-07-08T01:51:27.000","21202","Cityworks SR Comments","UPDATED","2015-07-04T10:27:34.000",9,-76.6052222,39.2947012
"701 N COLLINGTON AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-07-07T04:18:13.000","2015-07-11T04:18:13.000","MIDDLE EAST","15-00529882","MD","CLOSED","2015-07-07T04:25:41.000","21205",NA,NA,NA,9,-76.586427,39.299035
"1645  CHILTON ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-29T01:43:37.000","2015-07-03T01:43:37.000","COLDSTREAM HOMESTEAD MONTEBELLO","15-00505875","MD","DUPCLOSD","2015-06-29T16:51:48.000","21218",NA,NA,NA,9,-76.592287,39.327315
"5615  LAURELTON AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-04T04:46:03.000","2015-06-08T04:46:03.000","HARFORD-ECHODALE/PERRING PARKWAY","15-00434951","MD","CLOSED","2015-06-04T04:49:34.000","21214",NA,NA,NA,9,-76.567707,39.358144
"3831  PINKNEY RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-05T04:25:53.000","2015-06-09T04:25:53.000","GLEN","15-00439534","MD","CLOSED","2015-06-05T04:35:34.000","21215",NA,NA,NA,9,-76.6941844,39.356102
"800  UNETTA AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-08-01T03:14:43.000","2015-08-05T03:14:43.000","SAINT AGNES","15-00608506","MD","CLOSED","2015-08-01T03:52:32.000","21229",NA,NA,NA,9,-76.675534,39.273443
"2948  WYMAN PKWY","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-06-25T00:54:03.000","2015-06-29T00:54:03.000","REMINGTON","15-00496139","MD","DUPCLOSD","2015-06-25T05:45:11.000","21211",NA,NA,NA,9,-76.621435,39.324443
