"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","i","lon","lat"
"2310 E FAIRMOUNT AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-11-11T06:46:41.000","2014-11-15T06:46:41.000","PATTERSON PLACE","14-00849851","MD","CLOSED","2014-11-12T12:52:53.000","21224",NA,NA,NA,5,-76.584138,39.293242
"2400 E FAYETTE ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-11-11T06:40:41.000","2014-11-15T06:40:41.000","PATTERSON PLACE","14-00849850","MD","CLOSED","2014-11-12T04:24:41.000","21224",NA,NA,NA,5,-76.583281,39.294555
"4321  OLD YORK RD","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-11-11T06:16:37.000","2014-11-15T06:16:37.000","WILSON PARK","14-00849848","MD","CLOSED","2014-11-11T06:24:39.000","21212",NA,NA,NA,5,-76.607171,39.3426557
"5705  HIGHGATE DR","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-11-11T05:56:39.000","2014-11-15T05:56:39.000","GLEN","14-00849847","MD","CLOSED","2014-11-11T06:04:42.000","21215",NA,NA,NA,5,-76.6810134,39.3554416
"5407  ROLAND AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-11-11T05:46:38.000","2014-11-15T05:46:38.000","WYNDHURST","14-00849845","MD","CLOSED","2014-11-13T17:38:33.000","21210",NA,NA,NA,5,-76.6339458,39.3614446
"2100  WILKENS AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-11-11T05:36:42.000","2014-11-15T05:36:42.000","CARROLLTON RIDGE","14-00849844","MD","CLOSED","2014-11-11T05:45:03.000","21223",NA,NA,NA,5,-76.6494139,39.28139
"540  HURLEY AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-11-11T05:26:57.000","2014-11-15T05:26:57.000","GWYNNS FALLS","14-00849843","MD","CLOSED","2014-11-11T05:34:46.000","21223",NA,NA,NA,5,-76.6629906,39.2771693
"1  HOPKINS PL","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-11-11T04:16:41.000","2014-11-15T04:16:41.000","INNER HARBOR","14-00849834","MD","CLOSED","2014-11-11T04:24:43.000","21201",NA,NA,NA,5,-76.6177559,39.2889392
"1 W 21ST ST","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-11-11T04:07:37.000","2014-11-15T04:07:37.000","CHARLES NORTH","14-00849833","MD","DUPCLOSD","2014-11-13T11:21:37.000","21218","Cityworks SR Comments","UPDATED","2014-11-11T04:34:55.000",5,-76.6166976,39.3132233
"2045  BRADDISH AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-11-11T03:46:38.000","2014-11-15T03:46:38.000","PANWAY/BRADDISH AVENUE","14-00849830","MD","CLOSED","2014-11-12T03:15:00.000","21216",NA,NA,NA,5,-76.661012,39.311273
"1  HOPKINS PL","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-11-11T03:36:39.000","2014-11-15T03:36:39.000","INNER HARBOR","14-00849829","MD","DUPCLOSD","2014-11-11T04:28:37.000","21201",NA,NA,NA,5,-76.6177559,39.2889392
"1  HOPKINS PL","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-11-11T03:20:46.000","2014-11-15T03:20:46.000","INNER HARBOR","14-00849825","MD","DUPCLOSD","2014-11-11T03:58:36.000","21201",NA,NA,NA,5,-76.6177559,39.2889392
"402 S PATTERSON PARK AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-11-11T03:10:56.000","2014-11-15T03:10:56.000","UPPER FELLS POINT","14-00849822","MD","CLOSED","2014-11-12T12:45:11.000","21224",NA,NA,NA,5,-76.584649,39.286757
"2337  EASTERN AVE","BALTIMORE CITY","BGESTLI1","BGE-StLight(s) Out","2014-11-11T03:09:10.000","2014-11-15T03:09:10.000","CANTON","14-00849821","MD","CLOSED","2014-11-12T12:30:52.000","21224",NA,NA,NA,5,-76.583267,39.285779
