"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","i","lon","lat"
"Repair Pothole","3726  HICKORY AVE","BALTIMORE CITY","TRMPICKU","TRM-Pickup Potholes","2014-09-19T19:17:37.000","2014-09-19T19:17:37.000","HAMPDEN","Repair Completed","14-00710213","MD","CLOSED","2014-09-19T19:17:37.000","2014-09-19T19:17:37.000","21211",3,-76.634661,39.333326
"Repair Pothole","2700  ULMAN AVE","BALTIMORE CITY","TRMPICKU","TRM-Pickup Potholes","2014-09-19T19:14:42.000","2014-09-19T19:14:42.000","PARK CIRCLE","Repair Completed","14-00710198","MD","CLOSED","2014-09-19T19:14:42.000","2014-09-19T19:14:42.000","21215",3,-76.6589909,39.3294365
"Repair Pothole","4200 N CHARLES ST","BALTIMORE CITY","TRMPICKU","TRM-Pickup Potholes","2014-09-19T19:11:35.000","2014-09-19T19:11:35.000","TUSCANY-CANTERBURY","Repair Completed","14-00710176","MD","CLOSED","2014-09-19T19:11:35.000","2014-09-19T19:11:35.000","21218",3,-76.6183828,39.3390836
"Repair Pothole","4300 N CHARLES ST","BALTIMORE CITY","TRMPICKU","TRM-Pickup Potholes","2014-09-19T19:11:12.000","2014-09-19T19:11:12.000","GUILFORD","Repair Completed","14-00710171","MD","CLOSED","2014-09-19T19:11:12.000","2014-09-19T19:11:12.000","21210",3,-76.621557,39.339491
"Repair Pothole","1 N CHARLES ST","BALTIMORE CITY","TRMPICKU","TRM-Pickup Potholes","2014-09-19T19:10:26.000","2014-09-19T19:10:26.000","DOWNTOWN","Repair Completed","14-00710165","MD","CLOSED","2014-09-19T19:10:26.000","2014-09-19T19:10:26.000","21201",3,-76.6147658,39.2901386
"Repair Pothole","2200  RUSKIN AVE","BALTIMORE CITY","TRMPICKU","TRM-Pickup Potholes","2014-09-19T19:08:13.000","2014-09-19T19:08:13.000","PARKVIEW/WOODBROOK","Repair Completed","14-00710152","MD","CLOSED","2014-09-19T19:08:13.000","2014-09-19T19:08:13.000","21217",3,-76.647952,39.3151612
"Repair Pothole","2200  RUSKIN AVE","BALTIMORE CITY","TRMPICKU","TRM-Pickup Potholes","2014-09-19T19:07:11.000","2014-09-19T19:07:11.000","PARKVIEW/WOODBROOK","Repair Completed","14-00710147","MD","CLOSED","2014-09-19T19:07:11.000","2014-09-19T19:07:11.000","21217",3,-76.647952,39.3151612
"Repair Pothole","4600  PIMLICO RD","BALTIMORE CITY","TRMPICKU","TRM-Pickup Potholes","2014-09-19T13:51:50.000","2014-09-19T13:51:50.000","PARKLANE","Repair Completed","14-00708671","MD","CLOSED","2014-09-19T13:51:50.000","2014-09-19T13:51:50.000","21215",3,-76.667592,39.34319
"Repair Pothole","5100  DENMORE AVE","BALTIMORE CITY","TRMPICKU","TRM-Pickup Potholes","2014-09-19T13:51:28.000","2014-09-19T13:51:28.000","CENTRAL PARK HEIGHTS","Repair Completed","14-00708665","MD","CLOSED","2014-09-19T13:51:28.000","2014-09-19T13:51:28.000","21215",3,-76.676463,39.347599
"Repair Pothole","4700  PIMLICO RD","BALTIMORE CITY","TRMPICKU","TRM-Pickup Potholes","2014-09-19T13:50:37.000","2014-09-19T13:50:37.000","CYLBURN","Repair Completed","14-00708658","MD","CLOSED","2014-09-19T13:50:37.000","2014-09-19T13:50:37.000","21215",3,-76.66879,39.345346
