"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","i","lon","lat"
"Dispatch Work Crew","2115  FLEET ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-21T02:57:05.000","2015-03-23T02:57:05.000","CANTON","Abated - Close SR","15-00224225","MD","CLOSED","2015-03-21T16:04:16.000","2015-03-21T16:04:00.000","21231",2,-76.5858832,39.2847246
"Dispatch Work Crew","1906  MOUNT ROYAL TER","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-21T01:48:44.000","2015-03-23T01:48:44.000","RESERVOIR HILL","Abated - Close SR","15-00224215","MD","CLOSED","2015-03-21T13:12:42.000","2015-03-21T13:12:00.000","21217",2,-76.6267875,39.3114468
"Dispatch Work Crew","700 S CATON AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T22:09:26.000","2015-03-22T22:09:26.000","SAINT AGNES","Abated - Close SR","15-00224042","MD","CLOSED","2015-03-21T15:50:14.000","2015-03-21T15:49:00.000","21229",2,-76.673238,39.276168
"Dispatch Work Crew","1015 E PRATT ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T22:06:33.000","2015-03-22T22:06:33.000","LITTLE ITALY","Abated - Close SR","15-00224038","MD","CLOSED","2015-03-21T13:26:53.000","2015-03-21T13:26:00.000","21223",2,-76.600806,39.287989
"Dispatch Work Crew","N HOWARD ST & PARK AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T21:56:57.000","2015-03-22T21:56:57.000","BOLTON HILL","Abated - Close SR","15-00224029","MD","CLOSED","2015-03-21T15:11:29.000","2015-03-21T15:11:00.000","21201",2,-82.1996942,35.180609
"Dispatch Work Crew","W MOUNT ROYAL AVE & DOLPHIN ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T21:54:40.000","2015-03-22T21:54:40.000","MID-TOWN BELVEDERE","Abated - Close SR","15-00224027","MD","CLOSED","2015-03-21T15:48:17.000","2015-03-21T15:47:00.000","21201",2,-76.6238427,39.3101519
"Dispatch Work Crew","1900  EAGLE DR","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T21:42:04.000","2015-03-22T21:42:04.000","FRANKLINTOWN","Abated - Close SR","15-00224004","MD","CLOSED","2015-03-21T12:53:03.000","2015-03-21T12:52:00.000","21207",2,-76.70139,39.3095779
"Dispatch Work Crew","5513  PILGRIM RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T21:20:48.000","2015-03-22T21:20:48.000","HARFORD-ECHODALE/PERRING PARKWAY","Abated - Close SR","15-00223976","MD","CLOSED","2015-03-23T17:31:32.000","2015-03-23T17:31:00.000","21214",2,-76.569947,39.358022
"Dispatch Work Crew","5800  THE ALAMEDA","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T21:19:01.000","2015-03-22T21:19:01.000","GLEN OAKS","Abated - Close SR","15-00223971","MD","CLOSED","2015-03-21T14:10:49.000","2015-03-21T14:10:00.000","21239",2,-76.594188,39.3630884
"Dispatch Work Crew","3308  NERAK RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T21:11:59.000","2015-03-22T21:11:59.000","CROSS COUNTRY","Abated - Close SR","15-00223960","MD","CLOSED","2015-03-21T15:13:50.000","2015-03-21T15:13:00.000","21208",2,-76.7035199,39.37103
"Dispatch Work Crew","3317  SHELBURNE RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T21:08:55.000","2015-03-22T21:08:55.000","CROSS COUNTRY","Abated - Close SR","15-00223950","MD","CLOSED","2015-03-21T15:15:08.000","2015-03-21T15:14:00.000","21208",2,-76.704431,39.37137
"Dispatch Work Crew","W MADISON ST & CATHEDRAL ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T20:41:42.000","2015-03-22T20:41:42.000","MOUNT VERNON","Abated - Close SR","15-00223910","MD","CLOSED","2015-03-21T13:59:09.000","2015-03-21T13:57:00.000","21201",2,-90.7226097,35.0131472
"Dispatch Work Crew","640  WASHINGTON BLVD","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T20:15:55.000","2015-03-22T20:15:55.000","RIDGELY'S DELIGHT","Abated - Close SR","15-00223853","MD","CLOSED","2015-03-21T15:53:33.000","2015-03-21T15:53:00.000","21230",2,-76.624684,39.284524
"Dispatch Work Crew","4001  HARFORD RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T20:04:06.000","2015-03-22T20:04:06.000","HERRING RUN PARK","Abated - Close SR","15-00223833","MD","CLOSED","2015-03-23T17:57:16.000","2015-03-23T17:57:00.000","21214",2,-76.5767054,39.333715
"Dispatch Work Crew","3901  HILLEN RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T20:03:37.000","2015-03-22T20:03:37.000","MONTEBELLO","Abated - Close SR","15-00223831","MD","CLOSED","2015-03-21T14:09:11.000","2015-03-21T14:00:00.000","21218",2,-76.5874261,39.3370883
"Dispatch Work Crew","2100  LAKE AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T20:02:44.000","2015-03-22T20:02:44.000","MAYFIELD","Abated - Close SR","15-00223828","MD","CLOSED","2015-03-21T14:07:48.000","2015-03-21T14:07:00.000","21218",2,-76.582555,39.330492
"Dispatch Work Crew","1210 E 33RD ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T19:59:46.000","2015-03-22T19:59:46.000","EDNOR GARDENS-LAKESIDE","Abated - Close SR","15-00223820","MD","CLOSED","2015-03-21T14:17:59.000","2015-03-21T14:17:00.000","21218",2,-76.598139,39.328729
"Dispatch Work Crew","623  HOMESTEAD ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T19:57:48.000","2015-03-22T19:57:48.000","BETTER WAVERLY","Abated - Close SR","15-00223818","MD","CLOSED","2015-03-21T13:50:09.000","2015-03-21T13:48:00.000","21218",2,-76.607425,39.326529
"Dispatch Work Crew","415 E 32ND ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T19:54:38.000","2015-03-22T19:54:38.000","ABELL","Abated - Close SR","15-00223808","MD","CLOSED","2015-03-23T16:34:56.000","2015-03-23T16:34:00.000","21218",2,-76.6099519,39.3270243
"Dispatch Work Crew","3104 N CALVERT ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T19:53:03.000","2015-03-22T19:53:03.000","CHARLES VILLAGE","Abated - Close SR","15-00223804","MD","CLOSED","2015-03-21T15:14:52.000","2015-03-21T15:14:00.000","21218",2,-76.6149283,39.3260981
"Dispatch Work Crew","6509  HILLTOP AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T19:52:27.000","2015-03-22T19:52:27.000","ROSEMONT EAST","Abated - Close SR","15-00223802","MD","CLOSED","2015-03-21T13:14:27.000","2015-03-21T13:13:00.000","21206",2,-76.541965,39.357321
NA,"ROLAND AVE &W COLD SPRING LN","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T19:30:56.000","2015-03-22T19:30:56.000","ROLAND PARK",NA,"15-00223743","MD","DUPCLOSD","2015-03-21T09:07:58.000",NA,"21210",2,-77.555151,34.4376501
"Dispatch Work Crew","4100  ROBERTON AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T19:26:00.000","2015-03-22T19:26:00.000","PARKSIDE","Abated - Close SR","15-00223724","MD","CLOSED","2015-03-21T15:11:06.000","2015-03-21T15:10:00.000","21206",2,-76.5575788,39.3226013
"Dispatch Work Crew","2605  WHITNEY AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T19:20:39.000","2015-03-22T19:20:39.000","MOUNT WASHINGTON","Abated - Close SR","15-00223694","MD","CLOSED","2015-03-21T13:26:21.000","2015-03-21T13:26:00.000","21215",2,-76.673203,39.359196
"Dispatch Work Crew","KIRK AVE &E 25TH ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-03-20T19:03:01.000","2015-03-22T19:03:01.000","COLDSTREAM HOMESTEAD MONTEBELLO","Abated - Close SR","15-00223650","MD","CLOSED","2015-03-21T15:07:12.000","2015-03-21T15:06:00.000","21218",2,-76.600574,39.3197009
