"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","i","lon","lat"
"1718  SULGRAVE AVE","BALTIMORE","STREETRE","TRM-Street Repairs","2015-06-30T19:08:39.000","2015-08-09T19:08:39.000","MOUNT WASHINGTON","15-00513867","MD","CLOSED","2015-07-01T16:58:16.000","21209","Dispatch Work Crew","Abated - Close SR","2015-07-01T16:58:00.000",2,-76.654661,39.366587
"1100 N GILMOR ST","BALTIMORE","STREETRE","TRM-Street Repairs","2015-07-07T15:35:55.000","2015-08-16T15:35:55.000","SANDTOWN-WINCHESTER","15-00531524","MD","CLOSED","2015-07-24T12:05:04.000","21217","Dispatch Inspector","Abated - Close SR","2015-07-24T12:05:00.000",2,-76.643371,39.3012159
"5918  CEDONIA AVE","BALTIMORE","STREETRE","TRM-Street Repairs","2015-07-07T12:00:12.000","2015-08-16T12:00:12.000","CEDMONT","15-00530244","MD","NEW","2015-07-07T12:00:12.000","21206",NA,NA,NA,2,-76.533091,39.344356
"3803  SEVEN MILE LN","BALTIMORE","STREETRE","TRM-Street Repairs","2015-06-12T16:24:25.000","2015-07-22T16:24:25.000","FALLSTAFF","15-00458827","MD","CLOSED","2015-06-15T18:28:25.000","21208","Dispatch Work Crew","Closed","2015-06-15T18:25:00.000",2,-76.709479,39.365613
"2000  KELLY AVE","BALTIMORE","STREETRE","TRM-Street Repairs","2015-06-19T17:21:17.000","2015-07-29T17:21:17.000","MOUNT WASHINGTON","15-00479768","MD","CLOSED","2015-06-22T16:50:52.000","21209","Dispatch Work Crew","Abated - Close SR","2015-06-22T16:50:00.000",2,-76.6604684,39.3665897
"6114  GREENSPRING AVE","BALTIMORE","STREETRE","TRM-Street Repairs","2015-06-15T20:12:26.000","2015-07-25T20:12:26.000","CHESWOLDE","15-00465799","MD","CLOSED","2015-06-16T18:38:46.000","21209","Dispatch Work Crew","Abated - Close SR","2015-06-16T18:37:00.000",2,-76.678778,39.367146
"SAINT THOMAS AVE & BENTON HEIGHTS AVE, B",NA,"STREETRE","TRM-Street Repairs","2015-07-06T21:56:00.000","2015-08-15T21:56:00.000","WILSON HEIGHTS","15-00529604","MD","NEW","2015-07-06T21:56:00.000",NA,NA,NA,NA,2,-93.353015,43.654296
"4800  KESWICK RD","BALTIMORE","STREETRE","TRM-Street Repairs","2015-07-20T12:36:38.000","2015-08-29T12:36:38.000","ROLAND PARK","15-00569516","MD","CLOSED","2015-07-20T17:40:04.000","21210","Dispatch Work Crew","Abated - Close SR","2015-07-20T17:40:00.000",2,-76.6307889,39.350497
"509 S CLINTON ST","BALTIMORE","STREETRE","TRM-Street Repairs","2015-07-09T19:02:15.000","2015-08-18T19:02:15.000","CANTON","15-00540593","MD","CLOSED","2015-07-20T17:05:57.000","21224","Dispatch Work Crew","Abated - Close SR","2015-07-20T17:04:00.000",2,-76.569667,39.286023
"700 W NORTHERN PKWY","BALTIMORE","STREETRE","TRM-Street Repairs","2015-06-26T20:18:19.000","2015-08-05T20:18:19.000","NORTH ROLAND PARK/POPLAR HILL","15-00502742","MD","DUPCLOSD","2015-07-02T14:37:24.000",NA,NA,NA,NA,2,-76.6331745,39.3620747
"AMOS AVE & REISTERSTOWN RD","BALTIMORE","STREETRE","TRM-Street Repairs","2015-05-22T12:01:33.000","2015-07-01T12:01:33.000","GLEN","15-00401067","MD","CLOSED","2015-05-22T18:09:54.000","21215","Dispatch Work Crew","Abated - Close SR","2015-05-22T18:00:00.000",2,-81.4238009,29.6384284
"2400  KIRK AVE","BALTIMORE","STREETRE","TRM-Street Repairs","2015-03-23T19:07:43.000","2015-05-02T19:07:43.000","EAST BALTIMORE MIDWAY","15-00229791","MD","CLOSED","2015-06-11T14:16:24.000","21218","Dispatch Work Crew","Abated - Close SR","2015-06-11T14:16:00.000",2,-76.6033294,39.3177417
