"activity","address","city","code","codedescription","createddate","duedate","neighborhood","outcome","servicerequestnum","state","status","statusdate","updateddate","zip","i","lon","lat"
"Dispatch Work Crew","FALLS RD & I 83 S","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-11T22:21:39.000","2015-05-13T22:21:39.000","DRUID HILL PARK","Closed","15-00369160","MD","CLOSED","2015-05-11T22:22:28.000","2015-05-11T22:22:00.000","21211",1,-76.7121307,39.5052964
"Dispatch Work Crew","4207  OLD YORK RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-11T15:54:11.000","2015-05-13T15:54:11.000","PEN LUCY","Closed","15-00367660","MD","CLOSED","2015-05-12T00:42:58.000","2015-05-12T00:42:00.000","21212",1,-76.607486,39.340949
"Dispatch Work Crew","4501  UNDERWOOD RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-11T15:35:23.000","2015-05-13T15:35:23.000","KERNEWOOD","Closed","15-00367543","MD","CLOSED","2015-05-12T00:43:58.000","2015-05-12T00:43:00.000","21212",1,-76.6136854,39.3452476
NA,"318  KERNEWAY","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-11T15:34:14.000","2015-05-13T15:34:14.000","KERNEWOOD",NA,"15-00367539","MD","CLOSED","2015-05-12T00:50:25.000",NA,"21212",1,-76.61248,39.346949
"Dispatch Work Crew","309  KERNEWAY","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-11T15:32:53.000","2015-05-13T15:32:53.000","KERNEWOOD","Closed","15-00367528","MD","CLOSED","2015-05-12T00:44:49.000","2015-05-12T00:44:00.000","21212",1,-76.613834,39.346961
"Dispatch Work Crew","302  KERNEWAY","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-11T15:32:42.000","2015-05-13T15:32:42.000","KERNEWOOD","Closed","15-00367525","MD","CLOSED","2015-05-12T00:45:42.000","2015-05-12T00:45:00.000","21212",1,-76.614647,39.347796
"Dispatch Work Crew","MARTINGALE AVE & ADELLE TER","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-11T12:19:34.000","2015-05-13T12:19:34.000","IRVINGTON","Abated - Close SR","15-00366556","MD","CLOSED","2015-05-11T18:35:15.000","2015-05-11T18:33:00.000","21229",1,-76.6902498,39.2815372
NA,"3921 W ROGERS AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-11T12:05:50.000","2015-05-13T12:05:50.000","WOODMERE",NA,"15-00366477","MD","CLOSED","2015-05-11T15:39:36.000",NA,"21215",1,-76.688139,39.3487477
"Dispatch Work Crew","REVERDY RD & NORTHWOOD DR","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-11T11:16:35.000","2015-05-13T11:16:35.000","GLEN OAKS","Abated - Close SR","15-00366234","MD","CLOSED","2015-05-11T17:58:39.000","2015-05-11T17:58:00.000","21212",1,-76.6010414,39.3626772
"Dispatch Work Crew","LIBERTY HEIGHTS AVE & CALLAWAY AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-11T10:01:37.000","2015-05-13T10:01:37.000","CALLAWAY-GARRISON","Closed","15-00366082","MD","CLOSED","2015-05-11T15:30:26.000","2015-05-11T15:30:00.000","21215",1,-76.6824045,39.3273606
"Dispatch Work Crew","4500  MARBLE HALL RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-10T23:36:16.000","2015-05-12T23:36:16.000","NEW NORTHWOOD","Abated - Close SR","15-00365956","MD","CLOSED","2015-05-11T18:07:48.000","2015-05-11T18:07:00.000","21239",1,-76.597349,39.345067
"Dispatch Work Crew","4600  MARBLE HALL RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-10T23:30:11.000","2015-05-12T23:30:11.000","NEW NORTHWOOD","Abated - Close SR","15-00365949","MD","CLOSED","2015-05-11T18:10:05.000","2015-05-11T18:10:00.000","21239",1,-76.5972309,39.346732
"Dispatch Work Crew","PERRING PKWY &E BELVEDERE AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-10T21:54:57.000","2015-05-12T21:54:57.000","MORGAN STATE UNIVERSITY","Abated - Close SR","15-00365891","MD","CLOSED","2015-05-11T14:41:58.000","2015-05-11T14:41:00.000","21239",1,-76.562038,39.374293
"Dispatch Work Crew","3300  BOSTON ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-10T21:21:19.000","2015-05-12T21:21:19.000","CANTON","Abated - Close SR","15-00365869","MD","CLOSED","2015-05-11T14:55:31.000","2015-05-11T14:55:00.000","21224",1,-76.5693439,39.2770515
NA,"3009  GWYNNS FALLS PKWY","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-10T18:24:57.000","2015-05-12T18:24:57.000","WALBROOK",NA,"15-00365705","MD","CLOSED","2015-05-11T15:37:26.000",NA,"21216",1,-76.668367,39.314158
"Dispatch Work Crew","DUNDALK AVE & HOLABIRD AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-10T17:29:11.000","2015-05-12T17:29:11.000","GRACELAND PARK","Abated - Close SR","15-00365664","MD","CLOSED","2015-05-11T18:00:24.000","2015-05-11T17:59:00.000","21224",1,-76.5266315,39.2634781
"Dispatch Work Crew","5600  THE ALAMEDA","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-10T17:28:23.000","2015-05-12T17:28:23.000","GLEN OAKS","Abated - Close SR","15-00365663","MD","CLOSED","2015-05-11T18:06:30.000","2015-05-11T18:06:00.000","21239",1,-76.5952548,39.3598677
"Dispatch Work Crew","5100  HOLABIRD AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-10T16:28:07.000","2015-05-12T16:28:07.000","CANTON INDUSTRIAL AREA","Abated - Close SR","15-00365583","MD","CLOSED","2015-05-11T18:04:45.000","2015-05-11T18:01:00.000","21224",1,-76.551424,39.2725099
NA,"WABASH AVE &N ROGERS AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-10T15:35:53.000","2015-05-12T15:35:53.000","WOODMERE",NA,"15-00365535","MD","CLOSED","2015-05-11T15:35:16.000",NA,"21215",1,-95.7768455,41.1937319
"Dispatch Work Crew","N HAVEN ST &E BALTIMORE ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-10T13:59:30.000","2015-05-12T13:59:30.000","BALTIMORE HIGHLANDS","Abated - Close SR","15-00365451","MD","CLOSED","2015-05-11T14:54:24.000","2015-05-11T14:54:00.000","21224",1,-117.3666298,47.6898131
"Dispatch Work Crew","346  OLDHAM ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-09T23:21:04.000","2015-05-11T23:21:04.000","GREEKTOWN","Abated - Close SR","15-00365130","MD","CLOSED","2015-05-11T17:56:23.000","2015-05-11T17:55:00.000","21224",1,-76.556125,39.288161
"Dispatch Work Crew","LOVEGROVE ST &E 31ST ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-09T22:03:32.000","2015-05-11T22:03:32.000","CHARLES VILLAGE","Abated - Close SR","15-00365073","MD","CLOSED","2015-05-11T18:11:26.000","2015-05-11T18:11:00.000","21218",1,123.6913681,-17.3376503
"Dispatch Work Crew","2700  MCELDERRY ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-09T20:34:29.000","2015-05-11T20:34:29.000","MCELDERRY PARK","Abated - Close SR","15-00365013","MD","CLOSED","2015-05-11T14:47:09.000","2015-05-11T14:46:00.000","21205",1,-76.579374,39.2978667
"Dispatch Work Crew","743 N CHESTER ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-09T17:25:08.000","2015-05-11T17:25:08.000","MIDDLE EAST","Abated - Close SR","15-00364690","MD","CLOSED","2015-05-11T14:49:22.000","2015-05-11T14:49:00.000","21205",1,-76.587655,39.299538
NA,"2800  GWYNNS FALLS PKWY","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-09T17:01:18.000","2015-05-11T17:01:18.000","HANLON-LONGWOOD",NA,"15-00364671","MD","CLOSED","2015-05-11T15:36:20.000",NA,"21216",1,-76.6644683,39.3147058
"Dispatch Work Crew","MCCLEAN BLVD &E NORTHERN PKWY","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-09T16:14:56.000","2015-05-11T16:14:56.000","HARFORD-ECHODALE/PERRING PARKWAY","Abated - Close SR","15-00364504","MD","CLOSED","2015-05-11T14:35:52.000","2015-05-11T14:35:00.000","21214",1,-76.567092,39.3650963
"Dispatch Work Crew","3512  MARY AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-09T14:20:11.000","2015-05-11T14:20:11.000","GLENHAM-BELFORD","Abated - Close SR","15-00364127","MD","CLOSED","2015-05-11T14:40:39.000","2015-05-11T14:40:00.000","21214",1,-76.5495119,39.351054
"Dispatch Work Crew","5813  MORAVIA RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-09T13:34:52.000","2015-05-11T13:34:52.000","FRANKFORD","Abated - Close SR","15-00364060","MD","CLOSED","2015-05-11T18:26:17.000","2015-05-11T18:25:00.000","21206",1,-76.5458891,39.3173337
"Dispatch Work Crew","1419  BOLTON ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-09T12:17:12.000","2015-05-11T12:17:12.000","BOLTON HILL","Abated - Close SR","15-00363753","MD","CLOSED","2015-05-11T16:45:40.000","2015-05-11T16:45:00.000","21217",1,-76.625269,39.306769
"Dispatch Work Crew","3500  EVERGREEN AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-09T11:26:30.000","2015-05-11T11:26:30.000","GLENHAM-BELFORD","Abated - Close SR","15-00363687","MD","CLOSED","2015-05-11T15:00:17.000","2015-05-11T15:00:00.000","21214",1,-76.5542821,39.3496319
"Dispatch Work Crew","800 W FAYETTE ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-09T03:14:40.000","2015-05-11T03:14:40.000","POPPLETON","Abated - Close SR","15-00362836","MD","CLOSED","2015-05-11T16:41:51.000","2015-05-11T16:40:00.000","21201",1,-76.6297208,39.2902089
"Dispatch Work Crew","3400 W MULBERRY ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-08T22:32:36.000","2015-05-10T22:32:36.000","ALLENDALE","Abated - Close SR","15-00362420","MD","CLOSED","2015-05-11T16:38:03.000","2015-05-11T16:37:00.000","21229",1,-76.6741349,39.2919664
"Dispatch Work Crew","100 N BROADWAY","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-08T22:21:07.000","2015-05-10T22:21:07.000","WASHINGTON HILL","Abated - Close SR","15-00362329","MD","CLOSED","2015-05-11T14:51:17.000","2015-05-11T14:51:00.000","21231",1,-76.594589,39.292961
"Dispatch Work Crew","2700  BROENING HWY","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-08T22:06:31.000","2015-05-10T22:06:31.000","DUNDALK MARINE TERMINAL","Abated - Close SR","15-00362282","MD","CLOSED","2015-05-11T17:58:05.000","2015-05-11T17:57:00.000","21222",1,-76.5330378,39.2580689
"Dispatch Work Crew","11 S EUTAW ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-08T21:49:30.000","2015-05-10T21:49:30.000","DOWNTOWN","Abated - Close SR","15-00362257","MD","CLOSED","2015-05-11T16:46:53.000","2015-05-11T16:46:00.000","21201",1,-76.620364,39.288383
"Dispatch Work Crew","544  EISLEN ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-08T21:35:44.000","2015-05-10T21:35:44.000","RIDGELY'S DELIGHT","Abated - Close SR","15-00362230","MD","CLOSED","2015-05-11T16:47:56.000","2015-05-11T16:47:00.000","21230",1,-76.624315,39.283892
"Dispatch Work Crew","311  TAPLOW RD","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-08T20:29:48.000","2015-05-10T20:29:48.000","HOMELAND","Abated - Close SR","15-00362106","MD","CLOSED","2015-05-11T14:59:04.000","2015-05-11T14:59:00.000","21212",1,-76.614113,39.3607889
NA,"127 S CASTLE ST","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-08T19:31:46.000","2015-05-10T19:31:46.000","BUTCHER'S HILL",NA,"15-00361921","MD","CLOSED","2015-05-11T16:15:15.000",NA,"21231",1,-76.5879259,39.2898658
"Dispatch Work Crew","4203  WILLSHIRE AVE","BALTIMORE","POTHOLES","TRM-Potholes","2015-05-08T19:22:18.000","2015-05-10T19:22:18.000","FRANKFORD","Abated - Close SR","15-00361825","MD","CLOSED","2015-05-11T15:02:32.000","2015-05-11T15:02:00.000","21206",1,-76.5492769,39.3389452
