"address","city","code","codedescription","createddate","duedate","neighborhood","servicerequestnum","state","status","statusdate","zip","activity","outcome","updateddate","i","lon","lat"
"1213  CEDARCROFT RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-03-29T23:12:10.000","2015-04-02T23:12:10.000","IDLEWOOD","15-00247573","MD","DUPCLOSD","2015-03-30T13:48:37.000","21239",NA,NA,NA,2,-76.5925387,39.3688001
"3800  RIDGECROFT RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-03-29T20:58:55.000","2015-04-02T20:58:55.000","WALTHERSON","15-00247433","MD","DUPCLOSD","2015-03-30T14:19:00.000","21206",NA,NA,NA,2,-76.558205,39.339815
"700 S LINWOOD AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-03-29T20:58:26.000","2015-04-02T20:58:26.000","CANTON","15-00247431","MD","DUPCLOSD","2015-03-30T16:23:01.000","21224",NA,NA,NA,2,-76.5759009,39.2841177
"3800  CHATHAM RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-03-29T20:50:56.000","2015-04-02T20:50:56.000","CALLAWAY-GARRISON","15-00247415","MD","DUPCLOSD","2015-04-01T11:03:52.000","21215",NA,NA,NA,2,-76.679698,39.330098
"211 W LORRAINE AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-03-29T01:45:51.000","2015-04-02T01:45:51.000","REMINGTON","15-00246614","MD","CLOSED","2015-04-02T03:59:29.000","21211",NA,NA,NA,2,-76.620178,39.3197649
"2901  STRICKLAND ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-03-29T17:47:43.000","2015-04-02T17:47:43.000","GWYNNS FALLS","15-00247204","MD","CLOSED","2015-03-30T07:48:57.000","21223",NA,NA,NA,2,-76.6647835,39.2767135
"1605  SULGRAVE AVE","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-03-29T13:47:24.000","2015-04-02T13:47:24.000","MOUNT WASHINGTON","15-00246899","MD","CLOSED","2015-03-31T12:25:25.000","21209",NA,NA,NA,2,-76.6522246,39.3671123
"5700  NEWBURY ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-03-29T13:46:50.000","2015-04-02T13:46:50.000","MOUNT WASHINGTON","15-00246898","MD","CLOSED","2015-03-31T12:29:02.000","21209",NA,NA,NA,2,-76.6523587,39.367435
"1100  CARROLL ST","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-03-29T12:56:10.000","2015-04-02T12:56:10.000","WASHINGTON VILLAGE","15-00246848","MD","CLOSED","2015-03-30T06:19:40.000","21230",NA,NA,NA,2,-76.6314775,39.2820797
"5211  CEDGATE RD","BALTIMORE","BGESTLI1","BGE-StLight(s) Out","2015-03-29T09:00:13.000","2015-04-02T09:00:13.000","CEDONIA","15-00246660","MD","CLOSED","2015-03-30T07:53:05.000","21206",NA,NA,NA,2,-76.5323211,39.3268897
