subType,name,block,type,numLanes,project,route,length,dateInstalled,lon,lat
STRPRD,ALICEANNA ST,2000 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,227.347124,2010,-76.5943297,39.2834866
STRPRD,ALICEANNA ST,2000 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,265.4095313,2010,-76.5943297,39.2834866
STRPRD,ALICEANNA ST,2100 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,347.2230594,2010,-76.5943297,39.2834866
STRPRD,ALICEANNA ST,700 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,332.4881342,2010,-76.5943297,39.2834866
STRPRD,ALICEANNA ST,800 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,314.9516911,2010,-76.5943297,39.2834866
STRPRD,ALICEANNA ST,900 BLK ALICEANNA ST,SHARROW,2,SOUTHEAST BIKE NETWORK, ,335.4033914,2010,-76.5943297,39.2834866
STRPRD,ARGONNE DR,2100 BLK ARGONNE DR,BIKE LANE,2,ENGINEERING CONSTRUCTION, ,1312.608373,0,-76.5906425,39.3401897
STRPRD,ART MUSEUM DR, ,SIGNED ROUTE,2,COLLEGETOWN NETWORK, ,50.07543751,2007,-76.618984,39.3253943
STRPRD,ART MUSEUM DR, ,SIGNED ROUTE,2,COLLEGETOWN NETWORK, ,117.9013158,2007,-76.618984,39.3253943
STRPRD,ART MUSEUM DR,UNIT BLK ART MUSEUM DR,SIGNED ROUTE,2,COLLEGETOWN NETWORK, ,664.997208,2007,-76.618984,39.3253943
STRPRD,AUCHENTOROLY TERR,3500 BLK AUCHENTOROLY TERR,BIKE LANE,1, , ,1341.82908,2012,-76.6488168,39.3191507
STRPRD,BANK ST, ,BIKE LANE,1,SOUTHEAST BIKE NETWORK, ,21.01841344,2010,-76.5924371,39.2866544
STRPRD,BANK ST, ,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,16.75966093,2010,-76.5924371,39.2866544
STRPRD,BANK ST, ,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,36.0783071,2010,-76.5924371,39.2866544
STRPRD,BANK ST, ,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,59.12987791,2010,-76.5924371,39.2866544
STRPRD,BANK ST, ,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,98.65213621,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1200 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,332.0010733,2011,-76.5924371,39.2866544
STRPRD,BANK ST,1300 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,122.5681701,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1300 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,133.107763,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1400 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,82.30460827,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1400 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,101.9739427,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1400 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,212.4608021,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1500 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,85.24729821,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1500 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,96.86356044,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1500 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,103.4972485,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1500 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,114.2857166,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1500 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,116.6071725,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1500 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,129.9108331,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1600 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,104.2529034,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1600 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,151.9284168,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1700 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,258.3594087,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1700 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,284.1178682,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1800 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,183.5098786,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1800 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,188.6536846,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1900 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,180.773824,2010,-76.5924371,39.2866544
STRPRD,BANK ST,1900 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,185.8981282,2010,-76.5924371,39.2866544
STRPRD,BANK ST,2000 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,230.4546879,2010,-76.5924371,39.2866544
STRPRD,BANK ST,2000 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,265.9450629,2010,-76.5924371,39.2866544
STRPRD,BANK ST,2100 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,68.54332699,2010,-76.5924371,39.2866544
STRPRD,BANK ST,2100 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,172.0067892,2010,-76.5924371,39.2866544
STRPRD,BANK ST,2200 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,77.35355179,2010,-76.5924371,39.2866544
STRPRD,BANK ST,2200 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,127.9346615,2010,-76.5924371,39.2866544
STRPRD,BANK ST,2200 BLK BANK ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,BANK/GOUGH,230.0735015,2010,-76.5924371,39.2866544
STRPRD,BANK ST,3100 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,91.7788434,2010,-76.5924371,39.2866544
STRPRD,BANK ST,3100 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,92.55705126,2010,-76.5924371,39.2866544
STRPRD,BANK ST,3100 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,106.4412422,2010,-76.5924371,39.2866544
STRPRD,BANK ST,3100 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,110.4377599,2010,-76.5924371,39.2866544
STRPRD,BANK ST,3200 BLK BANK ST,BIKE LANE,2,SOUTHEAST BIKE NETWORK, ,95.70885017,2010,-76.5924371,39.2866544
