"subType","name","block","type","numLanes","project","route","length","dateInstalled","lon","lat"
"STRPRD","E 33RD ST","1700 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",217.7541387,2007,"-76.591887","39.328733"
"STRPRD","E 33RD ST","1700 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",408.0094987,2007,"-76.591887","39.328733"
"STRPRD","E 33RD ST","1700 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",410.5196576,2007,"-76.591887","39.328733"
"STRPRD","E 33RD ST","1800 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",378.8924778,2007,"-76.590707","39.328509"
"STRPRD","E 33RD ST","200 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",385.0023573,2007,"-76.614438","39.328516"
"STRPRD","E 33RD ST","200 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",387.8486217,2007,"-76.614438","39.328516"
"STRPRD","E 33RD ST","300 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",39.67203951,2007,"-76.613394","39.328553"
"STRPRD","E 33RD ST","300 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",131.8990718,2007,"-76.613394","39.328553"
"STRPRD","E 33RD ST","300 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",133.097469,2007,"-76.613394","39.328553"
"STRPRD","E 33RD ST","300 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",136.5930632,2007,"-76.613394","39.328553"
"STRPRD","E 33RD ST","300 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",156.0399561,2007,"-76.613394","39.328553"
"STRPRD","E 33RD ST","300 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",384.326706,2007,"-76.613394","39.328553"
"STRPRD","E 33RD ST","300 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",386.3935288,2007,"-76.613394","39.328553"
"STRPRD","E 33RD ST","400 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",230.033708,2007,"-76.610664","39.328654"
"STRPRD","E 33RD ST","400 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",232.4673256,2007,"-76.610664","39.328654"
"STRPRD","E 33RD ST","400 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",233.6546751,2007,"-76.610664","39.328654"
"STRPRD","E 33RD ST","400 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",234.2821427,2007,"-76.610664","39.328654"
"STRPRD","E 33RD ST","500 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",277.3954989,2007,"-76.608916","39.328674"
"STRPRD","E 33RD ST","500 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",282.2559549,2007,"-76.608916","39.328674"
"STRPRD","E 33RD ST","600 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",597.5077014,2007,"-76.608292","39.328655"
"STRPRD","E 33RD ST","600 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",602.1423576,2007,"-76.608292","39.328655"
"STRPRD","E 33RD ST","700 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",225.3956113,2007,"-76.606164","39.328705"
"STRPRD","E 33RD ST","700 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",364.9431175,2007,"-76.606164","39.328705"
"STRPRD","E 33RD ST","800 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",77.26228829,2007,"-76.604863","39.328671"
"STRPRD","E 33RD ST","800 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",151.8941605,2007,"-76.604863","39.328671"
"STRPRD","E 33RD ST","800 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",252.9017444,2007,"-76.604863","39.328671"
"STRPRD","E 33RD ST","800 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",404.1472642,2007,"-76.604863","39.328671"
"STRPRD","E 33RD ST","900 BLK E 33RD ST","SHARROW",1,"COLLEGETOWN"," ",528.5735224,2007,"-76.602651","39.328806"
"STRPRD","E 33RD ST","UNIT BLK E 33RD ST","BIKE LANE",1,"COLLEGETOWN"," ",179.7625083,2007,"-76.614270","39.329104"
"STRPRD","E 33RD ST","UNIT BLK E 33RD ST","BIKE LANE",1,"COLLEGETOWN"," ",220.2330103,2007,"-76.614270","39.329104"
"STRPRD","E 34TH ST",NA,"SIGNED ROUTE",1,"COLLEGETOWN","COLLEGETOWN",47.92339661,2007,NA,NA
"STRPRD","E 34TH ST",NA,"SIGNED ROUTE",1,"COLLEGETOWN","COLLEGETOWN",51.94027043,2007,NA,NA
"STRPRD","W 39TH ST","100 BLK W 39TH ST","SIGNED ROUTE",1,"COLLEGETOWN","COLLEGETOWN",235.6753006,2007,"-76.620767","39.336167"
"STRPRD","W 39TH ST","100 BLK W 39TH ST","SIGNED ROUTE",1,"COLLEGETOWN","COLLEGETOWN",153.4533921,2007,"-76.620767","39.336167"
"STRPRD","W 39TH ST","100 BLK W 39TH ST","SIGNED ROUTE",1,"COLLEGETOWN","COLLEGETOWN",100.0510496,2007,"-76.620767","39.336167"
"STRPRD","W 39TH ST",NA,"SIGNED ROUTE",1,"COLLEGETOWN","COLLEGETOWN",16.40261997,2007,NA,NA
"STRPRD","W 36TH ST","900 BLK W 36TH ST","SHARROW",2,"COLLEGETOWN"," ",206.6115365,2007,"-76.603422","39.332293"
"STRPRD","W 36TH ST","900 BLK W 36TH ST","SHARROW",2,"COLLEGETOWN"," ",196.3951943,2007,"-76.603422","39.332293"
"STRPRD","W 36TH ST","800 BLK W 36TH ST","SHARROW",2,"COLLEGETOWN"," ",268.0248011,2007,"-76.629703","39.331457"
"STRPRD","W 36TH ST","800 BLK W 36TH ST","SHARROW",2,"COLLEGETOWN"," ",250.3958852,2007,"-76.629703","39.331457"
"STRPRD","W 33RD ST","700 BLK W 33RD ST","BIKE LANE",2,"COLLEGETOWN"," ",248.253756,2007,"-76.606164","39.328705"
"STRPRD","W 33RD ST","700 BLK W 33RD ST","BIKE LANE",2,"COLLEGETOWN"," ",135.6358509,2007,"-76.606164","39.328705"
"STRPRD","THE ALAMEDA","5100 BLK THE ALAMEDA","SIGNED ROUTE",2,"COLLEGETOWN","COLLEGETOWN",203.3194296,2007,"-76.599442","39.349195"
