"lat","lon","type"
39.333654,-76.532955,"Hazard"
39.2941113,-76.6429047,"Hazard"
39.3004524,-76.6812285,"Hazard"
39.3684973,-76.589421,"Hazard"
39.3684973,-76.589421,"Hazard"
39.371184,-76.607264,"Hazard"
39.3214088,-76.5638187,"Hazard"
39.353526,-76.580341,"Hazard"
39.3165904,-76.5684169,"Hazard"
39.3456944,-76.5416389,"Hazard"
39.3590019,-76.67425,"Hazard"
39.360485,-76.674386,"Hazard"
39.3052793,-76.5880242,"Hazard"
39.2807377,-76.5350667,"Hazard"
39.2720161,-76.6052894,"Hazard"
39.248972,-76.631987,"Hazard"
39.2843303,-76.6442809,"Hazard"
39.3267869,-76.5739484,"Hazard"
39.2613376,-76.5343579,"Hazard"
39.33442,-76.570873,"Hazard"
39.3361861,-76.6233544,"Hazard"
39.3518158,-76.5808757,"Hazard"
39.3257314,-76.6176748,"Hazard"
39.2995309,-76.6194696,"Hazard"
39.365006,-76.54286,"Hazard"
39.360164,-76.559096,"Hazard"
39.356246,-76.546307,"Hazard"
39.3525013,-76.5803247,"Hazard"
39.328047,-76.6305,"Hazard"
39.328636,-76.6303846,"Hazard"
39.29345,-76.578131,"Hazard"
39.342958,-76.591418,"Hazard"
39.287358,-76.5709896,"Hazard"
39.3466242,-76.5330499,"Hazard"
39.3396002,-76.6358876,"Hazard"
39.2765598,-76.6152871,"Hazard"
39.3273606,-76.6824045,"Hazard"
39.37102,-76.7038041,"Hazard"
39.346442,-76.579092,"Hazard"
39.3595487,-76.5816433,"Hazard"
39.3313895,-76.5921231,"Hazard"
39.347456,-76.575707,"Hazard"
39.3099399,-76.5942353,"Hazard"
39.325576,-76.593082,"Hazard"
39.2028636,-76.5580909,"Hazard"
39.336081,-76.543759,"Hazard"
39.315391,-76.580524,"Hazard"
39.3573753,-76.5385367,"Hazard"
39.3568752,-76.540246,"Hazard"
39.3559918,-76.5416642,"Hazard"
39.2853689,-76.6429378,"Hazard"
39.2813852,-76.6957023,"Hazard"
39.311412,-76.5839899,"Hazard"
39.308894,-76.577596,"Hazard"
39.29022,-76.607688,"Hazard"
39.320239,-76.7084142,"Hazard"
39.2767833,-76.6155497,"Hazard"
39.362285,-76.699032,"Hazard"
39.2782807,-76.5752745,"Hazard"
39.2882307,-76.7105134,"Hazard"
39.3684505,-76.5727489,"Hazard"
39.284394,-76.591577,"Hazard"
39.3704915,-76.5372296,"Hazard"
39.2769399,-76.6260897,"Hazard"
39.2769399,-76.6260897,"Hazard"
39.349827,-76.571049,"Hazard"
39.3120468,-76.5970377,"Hazard"
