"","m","km","miles","seconds","minutes","hours","startLon","startLat","endLon","endLat","leg","route"
"1",499,0.499,0.3100786,94,1.56666666666667,0.0261111111111111,-76.5672137,39.2876276,-76.5730036,39.2874012,1,"A"
"2",10,0.01,0.006214,2,0.0333333333333333,0.000555555555555556,-76.5730036,39.2874012,-76.5730128,39.2874882,2,"A"
"3",37,0.037,0.0229918,4,0.0666666666666667,0.00111111111111111,-76.5730128,39.2874882,-76.5734323,39.2875529,3,"A"
"4",258,0.258,0.1603212,32,0.533333333333333,0.00888888888888889,-76.5734323,39.2875529,-76.57582,39.2863691,4,"A"
"5",76,0.076,0.0472264,36,0.6,0.01,-76.57582,39.2863691,-76.5764928,39.2867995,5,"A"
"6",300,0.3,0.18642,52,0.866666666666667,0.0144444444444444,-76.5764928,39.2867995,-76.579819,39.2867676,6,"A"
"7",158,0.158,0.0981812,52,0.866666666666667,0.0144444444444444,-76.579819,39.2867676,-76.5815484,39.2871076,7,"A"
"8",214,0.214,0.1329796,70,1.16666666666667,0.0194444444444444,-76.5815484,39.2871076,-76.5836062,39.2880582,8,"A"
"9",25,0.025,0.015535,10,0.166666666666667,0.00277777777777778,-76.5836062,39.2880582,-76.583702,39.2882712,9,"A"
"10",72,0.072,0.0447408,15,0.25,0.00416666666666667,-76.583702,39.2882712,-76.5844464,39.2879852,10,"A"
"11",1074,1.074,0.6673836,250,4.16666666666667,0.0694444444444444,-76.5844464,39.2879852,-76.596907,39.287477,11,"A"
"12",616,0.616,0.3827824,171,2.85,0.0475,-76.596907,39.287477,-76.5965369,39.2819469,12,"A"
"13",339,0.339,0.2106546,100,1.66666666666667,0.0277777777777778,-76.5672137,39.2876276,-76.5670139,39.2845799,1,"B"
"14",1466,1.466,0.9109724,264,4.4,0.0733333333333333,-76.5670139,39.2845799,-76.5840263,39.283916,2,"B"
"15",36,0.036,0.0223704,7,0.116666666666667,0.00194444444444444,-76.5840263,39.283916,-76.584357,39.284118,3,"B"
"16",88,0.088,0.0546832,11,0.183333333333333,0.00305555555555556,-76.584357,39.284118,-76.5849987,39.2834994,4,"B"
"17",76,0.076,0.0472264,39,0.65,0.0108333333333333,-76.5849987,39.2834994,-76.5856907,39.2839209,5,"B"
"18",945,0.945,0.587223,263,4.38333333333333,0.0730555555555556,-76.5856907,39.2839209,-76.596615,39.283386,6,"B"
"19",160,0.16,0.099424,46,0.766666666666667,0.0127777777777778,-76.596615,39.283386,-76.5965369,39.2819469,7,"B"
"20",452,0.452,0.2808728,113,1.88333333333333,0.0313888888888889,-76.5672137,39.2876276,-76.5669484,39.2835715,1,"C"
"21",1364,1.364,0.8475896,228,3.8,0.0633333333333333,-76.5669484,39.2835715,-76.5827118,39.2830926,2,"C"
"22",132,0.132,0.0820248,23,0.383333333333333,0.00638888888888889,-76.5827118,39.2830926,-76.5838992,39.2838408,3,"C"
"23",89,0.089,0.0553046,11,0.183333333333333,0.00305555555555556,-76.5838992,39.2838408,-76.5845239,39.2832077,4,"C"
"24",128,0.128,0.0795392,48,0.8,0.0133333333333333,-76.5845239,39.2832077,-76.5856907,39.2839209,5,"C"
"25",945,0.945,0.587223,263,4.38333333333333,0.0730555555555556,-76.5856907,39.2839209,-76.596615,39.283386,6,"C"
"26",160,0.16,0.099424,46,0.766666666666667,0.0127777777777778,-76.596615,39.283386,-76.5965369,39.2819469,7,"C"
