"","m","km","miles","seconds","minutes","hours","startLon","startLat","endLon","endLat","leg","route"
"1",48,0.048,0.0298272,6,0.1,0.00166666666666667,-76.6336337,39.307272,-76.6340237,39.306961,1,"A"
"2",724,0.724,0.4498936,118,1.96666666666667,0.0327777777777778,-76.6340237,39.306961,-76.6281851,39.3022744,2,"A"
"3",44,0.044,0.0273416,5,0.0833333333333333,0.00138888888888889,-76.6281851,39.3022744,-76.6285422,39.3019968,3,"A"
"4",540,0.54,0.335556,156,2.6,0.0433333333333333,-76.6285422,39.3019968,-76.624204,39.2984885,4,"A"
"5",263,0.263,0.1634282,49,0.816666666666667,0.0136111111111111,-76.624204,39.2984885,-76.626304,39.296775,5,"A"
"6",300,0.3,0.18642,83,1.38333333333333,0.0230555555555556,-76.626304,39.296775,-76.6239532,39.294782,6,"A"
"7",954,0.954,0.5928156,259,4.31666666666667,0.0719444444444444,-76.6239532,39.294782,-76.6235202,39.2862126,7,"A"
"8",1668,1.668,1.0364952,439,7.31666666666667,0.121944444444444,-76.6235202,39.2862126,-76.6041651,39.286939,8,"A"
"9",450,0.45,0.27963,128,2.13333333333333,0.0355555555555556,-76.6041651,39.286939,-76.6017267,39.2833571,9,"A"
"10",177,0.177,0.1099878,40,0.666666666666667,0.0111111111111111,-76.6017267,39.2833571,-76.6006908,39.2823882,10,"A"
"11",148,0.148,0.0919672,27,0.45,0.0075,-76.6006908,39.2823882,-76.598968,39.282448,11,"A"
"12",218,0.218,0.1354652,40,0.666666666666667,0.0111111111111111,-76.598968,39.282448,-76.596568,39.2824106,12,"A"
"13",120,0.12,0.074568,22,0.366666666666667,0.00611111111111111,-76.6336337,39.307272,-76.6346118,39.3080473,1,"B"
"14",202,0.202,0.1255228,37,0.616666666666667,0.0102777777777778,-76.6346118,39.3080473,-76.6329158,39.309305,2,"B"
"15",1729,1.729,1.0744006,390,6.5,0.108333333333333,-76.6329158,39.309305,-76.6214258,39.2973091,3,"B"
"16",379,0.379,0.2355106,48,0.8,0.0133333333333333,-76.6214258,39.2973091,-76.617032,39.2974882,4,"B"
"17",133,0.133,0.0826462,16,0.266666666666667,0.00444444444444444,-76.617032,39.2974882,-76.6169577,39.2962935,5,"B"
"18",581,0.581,0.3610334,237,3.95,0.0658333333333333,-76.6169577,39.2962935,-76.6104278,39.2969558,6,"B"
"19",955,0.955,0.593437,267,4.45,0.0741666666666667,-76.6104278,39.2969558,-76.6056732,39.2899909,7,"B"
"20",47,0.047,0.0292058,34,0.566666666666667,0.00944444444444444,-76.6056732,39.2899909,-76.6060172,39.289814,8,"B"
"21",808,0.808,0.5020912,246,4.1,0.0683333333333333,-76.6060172,39.289814,-76.6017267,39.2833571,9,"B"
"22",177,0.177,0.1099878,40,0.666666666666667,0.0111111111111111,-76.6017267,39.2833571,-76.6006908,39.2823882,10,"B"
"23",148,0.148,0.0919672,27,0.45,0.0075,-76.6006908,39.2823882,-76.598968,39.282448,11,"B"
"24",218,0.218,0.1354652,40,0.666666666666667,0.0111111111111111,-76.598968,39.282448,-76.596568,39.2824106,12,"B"
"25",120,0.12,0.074568,22,0.366666666666667,0.00611111111111111,-76.6336337,39.307272,-76.6346118,39.3080473,1,"C"
"26",202,0.202,0.1255228,37,0.616666666666667,0.0102777777777778,-76.6346118,39.3080473,-76.6329158,39.309305,2,"C"
"27",968,0.968,0.6015152,207,3.45,0.0575,-76.6329158,39.309305,-76.625165,39.302995,3,"C"
"28",422,0.422,0.2622308,79,1.31666666666667,0.0219444444444444,-76.625165,39.302995,-76.620712,39.304236,4,"C"
"29",244,0.244,0.1516216,56,0.933333333333333,0.0155555555555556,-76.620712,39.304236,-76.6183537,39.3033529,5,"C"
"30",81,0.081,0.0503334,35,0.583333333333333,0.00972222222222222,-76.6183537,39.3033529,-76.6174086,39.3033813,6,"C"
"31",118,0.118,0.0733252,42,0.7,0.0116666666666667,-76.6174086,39.3033813,-76.6173015,39.3023281,7,"C"
"32",470,0.47,0.292058,189,3.15,0.0525,-76.6173015,39.3023281,-76.6118473,39.3025387,8,"C"
"33",1431,1.431,0.8892234,325,5.41666666666667,0.0902777777777778,-76.6118473,39.3025387,-76.6109764,39.2897015,9,"C"
"34",341,0.341,0.2118974,97,1.61666666666667,0.0269444444444444,-76.6109764,39.2897015,-76.6107073,39.2866376,10,"C"
"35",564,0.564,0.3504696,131,2.18333333333333,0.0363888888888889,-76.6107073,39.2866376,-76.6041651,39.286939,11,"C"
"36",450,0.45,0.27963,128,2.13333333333333,0.0355555555555556,-76.6041651,39.286939,-76.6017267,39.2833571,12,"C"
"37",177,0.177,0.1099878,40,0.666666666666667,0.0111111111111111,-76.6017267,39.2833571,-76.6006908,39.2823882,13,"C"
"38",148,0.148,0.0919672,27,0.45,0.0075,-76.6006908,39.2823882,-76.598968,39.282448,14,"C"
"39",218,0.218,0.1354652,40,0.666666666666667,0.0111111111111111,-76.598968,39.282448,-76.596568,39.2824106,15,"C"
