"","m","km","miles","seconds","minutes","hours","startLon","startLat","endLon","endLat","leg","route"
"1",270,0.27,0.167778,59,0.983333333333333,0.0163888888888889,-76.6209634,39.289946,-76.6208115,39.2875231,1,"A"
"2",239,0.239,0.1485146,112,1.86666666666667,0.0311111111111111,-76.6208115,39.2875231,-76.6235888,39.2874169,2,"A"
"3",268,0.268,0.1665352,97,1.61666666666667,0.0269444444444444,-76.6235888,39.2874169,-76.6234766,39.2850073,3,"A"
"4",1522,1.522,0.9457708,344,5.73333333333333,0.0955555555555556,-76.6234766,39.2850073,-76.6380745,39.2785363,4,"A"
"5",28,0.028,0.0173992,5,0.0833333333333333,0.00138888888888889,-76.6380745,39.2785363,-76.6383344,39.2786739,5,"A"
"6",1007,1.007,0.6257498,204,3.4,0.0566666666666667,-76.6383344,39.2786739,-76.6463405,39.2721956,6,"A"
"7",11,0.011,0.0068354,1,0.0166666666666667,0.000277777777777778,-76.6463405,39.2721956,-76.6462431,39.2721285,7,"A"
"8",285,0.285,0.177099,90,1.5,0.025,-76.6462431,39.2721285,-76.6484187,39.2702007,8,"A"
"9",4951,4.951,3.0765514,1082,18.0333333333333,0.300555555555556,-76.6484187,39.2702007,-76.663282,39.2375785,9,"A"
"10",1569,1.569,0.9749766,327,5.45,0.0908333333333333,-76.663282,39.2375785,-76.6654664,39.2245956,10,"A"
"11",1036,1.036,0.6437704,234,3.9,0.065,-76.6654664,39.2245956,-76.675581,39.2203025,11,"A"
"12",1988,1.988,1.2353432,434,7.23333333333333,0.120555555555556,-76.675581,39.2203025,-76.6940039,39.2115885,12,"A"
"13",954,0.954,0.5928156,265,4.41666666666667,0.0736111111111111,-76.6940039,39.2115885,-76.7028979,39.212954,13,"A"
"14",3170,3.17,1.969838,577,9.61666666666667,0.160277777777778,-76.7028979,39.212954,-76.7207922,39.1905019,14,"A"
"15",209,0.209,0.1298726,69,1.15,0.0191666666666667,-76.7207922,39.1905019,-76.7189736,39.1892564,15,"A"
"16",1964,1.964,1.2204296,426,7.1,0.118333333333333,-76.7189736,39.1892564,-76.7326558,39.1796081,16,"A"
"17",342,0.342,0.2125188,51,0.85,0.0141666666666667,-76.7326558,39.1796081,-76.7352987,39.1818667,17,"A"
"18",793,0.793,0.4927702,304,5.06666666666667,0.0844444444444444,-76.7352987,39.1818667,-76.74099,39.1763543,18,"A"
"19",220,0.22,0.136708,39,0.65,0.0108333333333333,-76.74099,39.1763543,-76.7431389,39.1773866,19,"A"
"20",2644,2.644,1.6429816,611,10.1833333333333,0.169722222222222,-76.7431389,39.1773866,-76.7591519,39.1597572,20,"A"
"21",1111,1.111,0.6903754,262,4.36666666666667,0.0727777777777778,-76.7591519,39.1597572,-76.7701593,39.1644284,21,"A"
"22",5776,5.776,3.5892064,1495,24.9166666666667,0.415277777777778,-76.7701593,39.1644284,-76.7964728,39.1208592,22,"A"
"23",328,0.328,0.2038192,64,1.06666666666667,0.0177777777777778,-76.7964728,39.1208592,-76.7983897,39.1222727,23,"A"
"24",8543,8.543,5.3086202,1701,28.35,0.4725,-76.7983897,39.1222727,-76.8430963,39.07002,24,"A"
"25",616,0.616,0.3827824,152,2.53333333333333,0.0422222222222222,-76.8430963,39.07002,-76.8488989,39.0669666,25,"A"
"26",1410,1.41,0.876174,374,6.23333333333333,0.103888888888889,-76.8488989,39.0669666,-76.8549041,39.0558306,26,"A"
"27",1275,1.275,0.792285,272,4.53333333333333,0.0755555555555556,-76.8549041,39.0558306,-76.869487,39.0562355,27,"A"
"28",1148,1.148,0.7133672,183,3.05,0.0508333333333333,-76.869487,39.0562355,-76.8734374,39.0469823,28,"A"
"29",2219,2.219,1.3788866,445,7.41666666666667,0.123611111111111,-76.8734374,39.0469823,-76.897783,39.04307,29,"A"
