"","m","km","miles","seconds","minutes","hours","startLon","startLat","endLon","endLat","leg","route"
"1",242,0.242,0.1503788,29,0.483333333333333,0.00805555555555556,-76.633238,39.3075608,-76.6313005,39.305985,1,"A"
"2",153,0.153,0.0950742,25,0.416666666666667,0.00694444444444444,-76.6313005,39.305985,-76.630029,39.3069418,2,"A"
"3",2598,2.598,1.6143972,721,12.0166666666667,0.200277777777778,-76.630029,39.3069418,-76.6207379,39.286258,3,"A"
"4",1429,1.429,0.8879806,377,6.28333333333333,0.104722222222222,-76.6207379,39.286258,-76.6041651,39.286939,4,"A"
"5",450,0.45,0.27963,128,2.13333333333333,0.0355555555555556,-76.6041651,39.286939,-76.6017267,39.2833571,5,"A"
"6",504,0.504,0.3131856,123,2.05,0.0341666666666667,-76.6017267,39.2833571,-76.596615,39.283386,6,"A"
"7",160,0.16,0.099424,25,0.416666666666667,0.00694444444444444,-76.596615,39.283386,-76.5965369,39.2819469,7,"A"
"8",242,0.242,0.1503788,29,0.483333333333333,0.00805555555555556,-76.633238,39.3075608,-76.6313005,39.305985,1,"B"
"9",153,0.153,0.0950742,25,0.416666666666667,0.00694444444444444,-76.6313005,39.305985,-76.630029,39.3069418,2,"B"
"10",1368,1.368,0.8500752,344,5.73333333333333,0.0955555555555556,-76.630029,39.3069418,-76.6214258,39.2973091,3,"B"
"11",379,0.379,0.2355106,48,0.8,0.0133333333333333,-76.6214258,39.2973091,-76.617032,39.2974882,4,"B"
"12",133,0.133,0.0826462,16,0.266666666666667,0.00444444444444444,-76.617032,39.2974882,-76.6169577,39.2962935,5,"B"
"13",581,0.581,0.3610334,237,3.95,0.0658333333333333,-76.6169577,39.2962935,-76.6104278,39.2969558,6,"B"
"14",955,0.955,0.593437,267,4.45,0.0741666666666667,-76.6104278,39.2969558,-76.6056732,39.2899909,7,"B"
"15",47,0.047,0.0292058,34,0.566666666666667,0.00944444444444444,-76.6056732,39.2899909,-76.6060172,39.289814,8,"B"
"16",808,0.808,0.5020912,246,4.1,0.0683333333333333,-76.6060172,39.289814,-76.6017267,39.2833571,9,"B"
"17",504,0.504,0.3131856,123,2.05,0.0341666666666667,-76.6017267,39.2833571,-76.596615,39.283386,10,"B"
"18",160,0.16,0.099424,25,0.416666666666667,0.00694444444444444,-76.596615,39.283386,-76.5965369,39.2819469,11,"B"
"19",242,0.242,0.1503788,29,0.483333333333333,0.00805555555555556,-76.633238,39.3075608,-76.6313005,39.305985,1,"C"
"20",153,0.153,0.0950742,25,0.416666666666667,0.00694444444444444,-76.6313005,39.305985,-76.630029,39.3069418,2,"C"
"21",606,0.606,0.3765684,161,2.68333333333333,0.0447222222222222,-76.630029,39.3069418,-76.625165,39.302995,3,"C"
"22",422,0.422,0.2622308,79,1.31666666666667,0.0219444444444444,-76.625165,39.302995,-76.620712,39.304236,4,"C"
"23",244,0.244,0.1516216,56,0.933333333333333,0.0155555555555556,-76.620712,39.304236,-76.6183537,39.3033529,5,"C"
"24",81,0.081,0.0503334,35,0.583333333333333,0.00972222222222222,-76.6183537,39.3033529,-76.6174086,39.3033813,6,"C"
"25",118,0.118,0.0733252,42,0.7,0.0116666666666667,-76.6174086,39.3033813,-76.6173015,39.3023281,7,"C"
"26",470,0.47,0.292058,189,3.15,0.0525,-76.6173015,39.3023281,-76.6118473,39.3025387,8,"C"
"27",1431,1.431,0.8892234,325,5.41666666666667,0.0902777777777778,-76.6118473,39.3025387,-76.6109764,39.2897015,9,"C"
"28",341,0.341,0.2118974,97,1.61666666666667,0.0269444444444444,-76.6109764,39.2897015,-76.6107073,39.2866376,10,"C"
"29",564,0.564,0.3504696,131,2.18333333333333,0.0363888888888889,-76.6107073,39.2866376,-76.6041651,39.286939,11,"C"
"30",450,0.45,0.27963,128,2.13333333333333,0.0355555555555556,-76.6041651,39.286939,-76.6017267,39.2833571,12,"C"
"31",504,0.504,0.3131856,123,2.05,0.0341666666666667,-76.6017267,39.2833571,-76.596615,39.283386,13,"C"
"32",160,0.16,0.099424,25,0.416666666666667,0.00694444444444444,-76.596615,39.283386,-76.5965369,39.2819469,14,"C"
